SO2
wavelength (nm)   cross section (cm2/molecule)
6.0000e-02        3.4000e-22     
1.2000e-01        2.9000e-21     
2.4000e-01        2.0000e-20     
5.0000e-01        1.5000e-19     
5.2000e-01        3.0000e-20     
6.2000e-01        5.5000e-20     
1.2600e+00        3.9000e-19     
2.2600e+00        1.5000e-19     
2.3600e+00        7.0000e-19     
2.4600e+00        8.0000e-19     
5.0300e+00        4.7000e-18     
5.2500e+00        4.7000e-18     
6.2100e+00        5.1000e-18     
6.7500e+00        6.0000e-18     
7.0500e+00        3.4000e-18     
7.3500e+00        1.3000e-18     
1.2170e+01        3.9000e-18     
2.0000e+01        1.0000e-17     
2.5000e+01        1.3000e-17     
3.0000e+01        1.6000e-17     
3.5000e+01        1.7500e-17     
4.0000e+01        2.2000e-17     
4.5000e+01        2.3500e-17     
5.0000e+01        3.0000e-17     
5.5000e+01        4.2500e-17     
6.0000e+01        5.1000e-17     
6.5000e+01        5.5000e-17     
7.0000e+01        5.3000e-17     
7.5000e+01        4.1500e-17     
8.0000e+01        3.4000e-17     
8.3500e+01        3.9000e-17     
1.0650e+02        1.9700e-17     
1.0700e+02        1.4900e-17     
1.0800e+02        2.1600e-17     
1.0850e+02        1.2300e-17     
1.0900e+02        1.4900e-17     
1.1000e+02        1.1500e-17     
1.1080e+02        1.8600e-17     
1.1120e+02        1.6700e-17     
1.1200e+02        2.9800e-17     
1.1250e+02        2.6000e-17     
1.1350e+02        4.4600e-17     
1.1400e+02        1.4900e-17     
1.1450e+02        2.7900e-17     
1.1500e+02        8.5600e-18     
1.1600e+02        7.4400e-18     
1.1700e+02        8.5600e-18     
1.1800e+02        7.4400e-18     
1.2000e+02        1.6000e-17     
1.2200e+02        3.4400e-17     
1.2400e+02        5.9500e-17     
1.2550e+02        1.3000e-16     
1.2800e+02        4.0900e-17     
1.3050e+02        1.0400e-17     
1.3150e+02        1.4900e-17     
1.3200e+02        1.1500e-17     
1.3300e+02        1.1000e-17     
1.3400e+02        1.0800e-17     
1.3450e+02        3.2700e-18     
1.3500e+02        4.4600e-18     
1.3600e+02        3.1600e-18     
1.3950e+02        3.7200e-18     
1.4000e+02        3.3500e-18     
1.4220e+02        4.4600e-18     
1.4300e+02        3.7200e-18     
1.4350e+02        4.0900e-18     
1.4420e+02        3.5300e-18     
1.4470e+02        4.8400e-18     
