SO2Cl2 (wavelength = nm, xs = cm2/molecule)
wavelength          300K                
1.90000000e+02      1.14000000e-17      
1.92000000e+02      8.15000000e-18      
1.94000000e+02      6.75000000e-18      
1.96000000e+02      4.72000000e-18      
1.98000000e+02      3.20000000e-18      
2.00000000e+02      2.09000000e-18      
2.02000000e+02      1.44000000e-18      
2.04000000e+02      1.01000000e-18      
2.06000000e+02      7.69000000e-19      
2.08000000e+02      6.45000000e-19      
2.10000000e+02      5.90000000e-19      
2.12000000e+02      5.73000000e-19      
2.14000000e+02      5.85000000e-19      
2.16000000e+02      6.03000000e-19      
2.18000000e+02      6.33000000e-19      
2.20000000e+02      6.59000000e-19      
2.22000000e+02      6.77000000e-19      
2.24000000e+02      6.79000000e-19      
2.26000000e+02      6.77000000e-19      
2.28000000e+02      6.66000000e-19      
2.30000000e+02      6.29000000e-19      
2.32000000e+02      5.96000000e-19      
2.34000000e+02      5.57000000e-19      
2.36000000e+02      5.16000000e-19      
2.38000000e+02      4.70000000e-19      
2.40000000e+02      4.21000000e-19      
2.42000000e+02      3.71000000e-19      
2.44000000e+02      3.22000000e-19      
2.46000000e+02      2.79000000e-19      
2.48000000e+02      2.40000000e-19      
2.50000000e+02      2.00000000e-19      
2.52000000e+02      1.69000000e-19      
2.54000000e+02      1.40000000e-19      
2.56000000e+02      1.15000000e-19      
2.58000000e+02      9.30000000e-20      
2.60000000e+02      7.35000000e-20      
2.62000000e+02      5.67000000e-20      
2.64000000e+02      4.58000000e-20      
2.66000000e+02      3.66000000e-20      
2.68000000e+02      2.99000000e-20      
2.70000000e+02      2.28000000e-20      
2.72000000e+02      1.72000000e-20      
2.74000000e+02      1.35000000e-20      
2.76000000e+02      1.10000000e-20      
2.78000000e+02      8.75000000e-21      
2.80000000e+02      7.39000000e-21      
2.82000000e+02      7.16000000e-21      
2.84000000e+02      6.43000000e-21      
2.86000000e+02      5.85000000e-21      
2.88000000e+02      5.04000000e-21      
2.90000000e+02      4.84000000e-21      
2.92000000e+02      4.26000000e-21      
2.94000000e+02      4.08000000e-21      
2.96000000e+02      3.78000000e-21      
2.98000000e+02      3.50000000e-21      
3.00000000e+02      3.04000000e-21      
