C2 + hv => C + C (wavelength = nm, qy = unitless)
wavelength          300K                
6.00000000e-02      0.00000000e+00      
1.20000000e-01      2.61250000e-06      
2.40000000e-01      7.85070000e-06      
6.20000000e-01      2.44550000e-05      
1.26000000e+00      5.23330000e-05      
2.46000000e+00      1.04640000e-04      
4.08000000e+00      1.75450000e-04      
4.25000000e+00      1.82890000e-04      
6.20000000e+00      2.67780000e-04      
1.22000000e+01      5.28990000e-04      
2.48000000e+01      1.07800000e-03      
2.61000000e+01      1.13600000e-03      
2.76000000e+01      1.20100000e-03      
2.92000000e+01      1.27030000e-03      
3.10000000e+01      1.34940000e-03      
3.31000000e+01      1.44400000e-03      
3.54000000e+01      1.54140000e-03      
3.81000000e+01      1.66280000e-03      
4.13000000e+01      1.80000000e-03      
4.51000000e+01      1.96690000e-03      
4.96000000e+01      2.16030000e-03      
5.51000000e+01      2.40000000e-03      
6.20000000e+01      2.70160000e-03      
7.08000000e+01      3.07690000e-03      
8.27000000e+01      3.59860000e-03      
8.55000000e+01      3.72760000e-03      
9.18000000e+01      4.00000000e-03      
9.54000000e+01      2.60520000e-01      
9.72000000e+01      5.50000000e-01      
9.92000000e+01      8.71430000e-01      
1.01600000e+02      1.00000000e+00      
1.03300000e+02      1.00000000e+00      
1.05500000e+02      1.00000000e+00      
1.07800000e+02      1.00000000e+00      
1.09700000e+02      1.00000000e+00      
1.12700000e+02      1.00000000e+00      
1.15300000e+02      1.00000000e+00      
1.17000000e+02      1.00000000e+00      
1.17800000e+02      1.00000000e+00      
1.18000000e+02      1.00000000e+00      
1.19200000e+02      1.00000000e+00      
1.21000000e+02      1.00000000e+00      
1.43600000e+02      1.00000000e+00      
