C2 (wavelength = nm, xs = cm2/molecule)
wavelength          300K                
6.00000000e-02      7.00000000e-24      
1.20000000e-01      8.00000000e-23      
2.40000000e-01      6.70000000e-22      
6.20000000e-01      1.10000000e-20      
1.26000000e+00      9.00000000e-20      
2.46000000e+00      5.60000000e-19      
4.08000000e+00      2.20000000e-18      
4.25000000e+00      7.60000000e-20      
6.20000000e+00      1.80000000e-19      
1.22000000e+01      6.90000000e-19      
2.48000000e+01      4.87000000e-18      
2.61000000e+01      5.44000000e-18      
2.76000000e+01      6.07000000e-18      
2.92000000e+01      6.66000000e-18      
3.10000000e+01      7.07000000e-18      
3.31000000e+01      7.41000000e-18      
3.54000000e+01      7.85000000e-18      
3.81000000e+01      8.66000000e-18      
4.13000000e+01      1.00000000e-17      
4.51000000e+01      1.21000000e-17      
4.96000000e+01      1.56000000e-17      
5.51000000e+01      2.15000000e-17      
6.20000000e+01      3.15000000e-17      
7.08000000e+01      4.55000000e-17      
8.27000000e+01      5.53000000e-17      
8.55000000e+01      5.58000000e-17      
9.18000000e+01      5.00000000e-17      
9.54000000e+01      4.99000000e-17      
9.72000000e+01      4.00000000e-18      
9.92000000e+01      7.00000000e-18      
1.01600000e+02      7.70000000e-18      
1.03300000e+02      7.00000000e-18      
1.05500000e+02      4.00000000e-18      
1.07800000e+02      4.00000000e-19      
1.09700000e+02      4.00000000e-20      
1.12700000e+02      4.00000000e-19      
1.15300000e+02      1.00000000e-18      
1.17000000e+02      5.00000000e-18      
1.17800000e+02      1.60000000e-18      
1.18000000e+02      1.00000000e-17      
1.19200000e+02      2.00000000e-19      
1.21000000e+02      2.00000000e-20      
1.43600000e+02      1.00000000e-35      
