C2H2 (wavelength = nm, xs = cm2/molecule)
wavelength          300K                
1.00000000e-01      4.00000000e-23      
5.00000000e-01      6.00000000e-21      
1.00000000e+00      4.60000000e-20      
1.50000000e+00      1.48000000e-19      
2.00000000e+00      3.40000000e-19      
2.50000000e+00      6.00000000e-19      
3.00000000e+00      9.60000000e-19      
3.50000000e+00      1.44000000e-18      
4.10000000e+00      2.00000000e-18      
4.30000000e+00      8.70000000e-20      
5.00000000e+00      1.35000000e-19      
6.00000000e+00      2.00000000e-19      
7.00000000e+00      2.80000000e-19      
8.00000000e+00      4.00000000e-19      
9.00000000e+00      5.00000000e-19      
1.00000000e+01      6.60000000e-19      
1.20000000e+01      9.00000000e-19      
1.50000000e+01      1.50000000e-18      
2.00000000e+01      2.49000000e-18      
2.50000000e+01      4.00000000e-18      
3.00000000e+01      5.40000000e-18      
4.00000000e+01      9.24000000e-18      
5.00000000e+01      1.88000000e-17      
6.00000000e+01      2.40000000e-17      
6.20000000e+01      2.70000000e-17      
6.40000000e+01      2.90000000e-17      
6.60000000e+01      3.10000000e-17      
6.80000000e+01      3.20000000e-17      
6.97000000e+01      3.24000000e-17      
7.00000000e+01      3.25000000e-17      
7.20000000e+01      3.35000000e-17      
7.40000000e+01      3.70000000e-17      
7.60000000e+01      4.45000000e-17      
7.80000000e+01      4.85000000e-17      
8.00000000e+01      4.85000000e-17      
8.20000000e+01      4.65000000e-17      
8.40000000e+01      3.60000000e-17      
8.60000000e+01      3.20000000e-17      
8.80000000e+01      3.25000000e-17      
9.00000000e+01      3.60000000e-17      
9.20000000e+01      3.90000000e-17      
9.40000000e+01      3.70000000e-17      
9.60000000e+01      3.25000000e-17      
9.80000000e+01      3.00000000e-17      
1.00000000e+02      2.80000000e-17      
1.05000000e+02      2.29000000e-17      
1.06000000e+02      2.38000000e-17      
1.07500000e+02      2.52000000e-17      
1.08500000e+02      2.24000000e-17      
1.08600000e+02      2.88000000e-17      
1.08700000e+02      3.51000000e-17      
1.09100000e+02      2.17000000e-17      
1.09400000e+02      2.76000000e-17      
1.10000000e+02      2.04000000e-17      
1.10100000e+02      1.66000000e-17      
1.10200000e+02      4.27000000e-17      
1.10600000e+02      2.92000000e-17      
1.11100000e+02      2.15000000e-17      
