C2H6 + hv => 1CH2 + CH4 (wavelength = nm, qy = unitless)
wavelength          300K                
6.00000000e-02      1.51900000e-06      
1.20000000e-01      9.71250000e-05      
2.40000000e-01      2.79100000e-04      
6.20000000e-01      8.41820000e-04      
1.26000000e+00      1.81110000e-03      
2.46000000e+00      3.64910000e-03      
4.08000000e+00      6.09090000e-03      
4.25000000e+00      6.36670000e-03      
6.21000000e+00      9.32260000e-03      
1.21700000e+01      1.83640000e-02      
2.48600000e+01      3.77080000e-02      
3.54000000e+01      5.36000000e-02      
3.65000000e+01      5.52730000e-02      
3.76000000e+01      5.70000000e-02      
3.87000000e+01      5.86150000e-02      
4.00000000e+01      6.05710000e-02      
4.13000000e+01      6.26000000e-02      
4.28000000e+01      6.50000000e-02      
4.42000000e+01      6.70000000e-02      
4.59000000e+01      6.96000000e-02      
4.77000000e+01      7.23330000e-02      
4.96000000e+01      7.51430000e-02      
5.17000000e+01      7.84210000e-02      
5.39000000e+01      8.16670000e-02      
5.64000000e+01      8.55320000e-02      
5.90000000e+01      8.94230000e-02      
6.20000000e+01      9.40000000e-02      
6.53000000e+01      9.90320000e-02      
6.89000000e+01      1.04480000e-01      
7.29000000e+01      1.10560000e-01      
7.75000000e+01      1.17500000e-01      
8.27000000e+01      1.25470000e-01      
8.86000000e+01      1.34320000e-01      
9.54000000e+01      1.44620000e-01      
1.03300000e+02      1.56600000e-01      
1.06400000e+02      1.65000000e-01      
1.12700000e+02      1.99760000e-01      
1.16000000e+02      2.17960000e-01      
1.18000000e+02      2.29080000e-01      
1.20000000e+02      2.40160000e-01      
1.22000000e+02      2.51120000e-01      
1.24000000e+02      2.55950000e-01      
1.26000000e+02      2.35320000e-01      
1.28000000e+02      2.14750000e-01      
1.30000000e+02      1.94170000e-01      
1.32000000e+02      1.73770000e-01      
1.34000000e+02      1.53520000e-01      
1.36000000e+02      1.32410000e-01      
1.38000000e+02      1.12500000e-01      
1.39600000e+02      9.58730000e-02      
1.40000000e+02      9.17500000e-02      
1.40900000e+02      8.25000000e-02      
1.41700000e+02      7.42860000e-02      
1.42000000e+02      7.13430000e-02      
1.42700000e+02      6.40620000e-02      
1.44000000e+02      5.07410000e-02      
1.45000000e+02      4.05000000e-02      
1.46000000e+02      3.02500000e-02      
1.47000000e+02      2.00000000e-02      
1.48000000e+02      1.98670000e-02      
1.49000000e+02      1.96670000e-02      
1.50000000e+02      1.95650000e-02      
1.51000000e+02      1.93850000e-02      
1.52000000e+02      1.92090000e-02      
1.53000000e+02      1.90380000e-02      
1.54000000e+02      1.89170000e-02      
1.55000000e+02      1.87140000e-02      
1.56000000e+02      1.85710000e-02      
1.57000000e+02      1.84170000e-02      
1.58000000e+02      1.82500000e-02      
1.59000000e+02      1.80950000e-02      
1.60000000e+02      1.79090000e-02      
