C2H6 + hv => CH3 + CH3 (wavelength = nm, qy = unitless)
wavelength          300K                
6.00000000e-02      1.18610000e-06      
1.20000000e-01      7.58750000e-05      
2.40000000e-01      2.17910000e-04      
6.20000000e-01      6.58180000e-04      
1.26000000e+00      1.42220000e-03      
2.46000000e+00      2.84210000e-03      
4.08000000e+00      4.77270000e-03      
4.25000000e+00      4.96670000e-03      
6.21000000e+00      7.29030000e-03      
1.21700000e+01      1.43640000e-02      
2.48600000e+01      2.93750000e-02      
3.54000000e+01      4.19000000e-02      
3.65000000e+01      4.31820000e-02      
3.76000000e+01      4.45000000e-02      
3.87000000e+01      4.58460000e-02      
4.00000000e+01      4.73570000e-02      
4.13000000e+01      4.88670000e-02      
4.28000000e+01      5.06670000e-02      
4.42000000e+01      5.25000000e-02      
4.59000000e+01      5.44000000e-02      
4.77000000e+01      5.63330000e-02      
4.96000000e+01      5.88570000e-02      
5.17000000e+01      6.13160000e-02      
5.39000000e+01      6.38100000e-02      
5.64000000e+01      6.68090000e-02      
5.90000000e+01      6.98080000e-02      
6.20000000e+01      7.34550000e-02      
6.53000000e+01      7.74190000e-02      
6.89000000e+01      8.16420000e-02      
7.29000000e+01      8.63890000e-02      
7.75000000e+01      9.18420000e-02      
8.27000000e+01      9.80000000e-02      
8.86000000e+01      1.05000000e-01      
9.54000000e+01      1.13080000e-01      
1.03300000e+02      1.22450000e-01      
1.06400000e+02      1.22800000e-01      
1.12700000e+02      1.07140000e-01      
1.16000000e+02      9.88020000e-02      
1.18000000e+02      9.37910000e-02      
1.20000000e+02      8.89340000e-02      
1.22000000e+02      8.38570000e-02      
1.24000000e+02      7.88550000e-02      
1.26000000e+02      7.27660000e-02      
1.28000000e+02      6.68030000e-02      
1.30000000e+02      6.09870000e-02      
1.32000000e+02      5.46450000e-02      
1.34000000e+02      4.88730000e-02      
1.36000000e+02      4.28700000e-02      
1.38000000e+02      3.68750000e-02      
1.39600000e+02      3.20630000e-02      
1.40000000e+02      3.10000000e-02      
1.40900000e+02      2.81670000e-02      
1.41700000e+02      2.58570000e-02      
1.42000000e+02      2.49250000e-02      
1.42700000e+02      2.28750000e-02      
1.44000000e+02      1.89630000e-02      
1.45000000e+02      1.60000000e-02      
1.46000000e+02      1.30000000e-02      
1.47000000e+02      1.00000000e-02      
1.48000000e+02      9.93330000e-03      
1.49000000e+02      9.91670000e-03      
1.50000000e+02      9.82610000e-03      
1.51000000e+02      9.76920000e-03      
1.52000000e+02      9.72090000e-03      
1.53000000e+02      9.65380000e-03      
1.54000000e+02      9.58330000e-03      
1.55000000e+02      9.54290000e-03      
1.56000000e+02      9.50000000e-03      
1.57000000e+02      9.41670000e-03      
1.58000000e+02      9.37500000e-03      
1.59000000e+02      9.33330000e-03      
1.60000000e+02      9.27270000e-03      
