CH3OH + hv => H2CO + H2 (wavelength = nm, qy = unitless)
wavelength          300K                
1.00000000e-01      0.00000000e+00      
2.00000000e+01      0.00000000e+00      
4.00000000e+01      0.00000000e+00      
6.00000000e+01      0.00000000e+00      
8.00000000e+01      4.00000000e-02      
9.70000000e+01      7.00000000e-02      
9.76000000e+01      9.00000000e-02      
1.00000000e+02      1.00000000e-01      
1.00600000e+02      1.37000000e-01      
1.10000000e+02      1.50000000e-01      
1.14300000e+02      9.47060000e-01      
1.19900000e+02      9.46150000e-01      
1.20800000e+02      9.50000000e-01      
1.22900000e+02      9.46150000e-01      
1.25600000e+02      9.50000000e-01      
1.26900000e+02      9.50000000e-01      
1.28700000e+02      9.53330000e-01      
1.35100000e+02      9.50000000e-01      
1.36400000e+02      9.49230000e-01      
1.36800000e+02      9.50000000e-01      
1.38900000e+02      9.48570000e-01      
1.39300000e+02      9.48480000e-01      
1.39900000e+02      9.48480000e-01      
1.41200000e+02      9.50000000e-01      
1.41800000e+02      9.50000000e-01      
1.43500000e+02      9.50000000e-01      
1.44700000e+02      9.50000000e-01      
1.45600000e+02      9.50000000e-01      
1.46800000e+02      9.49230000e-01      
1.47900000e+02      9.52000000e-01      
1.48800000e+02      9.50000000e-01      
1.49900000e+02      9.50000000e-01      
1.52000000e+02      9.50000000e-01      
1.52200000e+02      9.48570000e-01      
1.54800000e+02      9.50000000e-01      
1.56500000e+02      9.50000000e-01      
1.57000000e+02      9.50000000e-01      
1.57500000e+02      9.50000000e-01      
1.58200000e+02      9.50000000e-01      
1.58700000e+02      9.50000000e-01      
1.59200000e+02      9.50000000e-01      
1.59700000e+02      9.50000000e-01      
1.60500000e+02      9.49520000e-01      
1.62300000e+02      9.50000000e-01      
1.63900000e+02      9.50000000e-01      
1.66700000e+02      9.51430000e-01      
1.69500000e+02      9.50000000e-01      
1.75400000e+02      9.50000000e-01      
1.81800000e+02      9.50000000e-01      
1.85200000e+02      9.50000000e-01      
1.92300000e+02      9.50000000e-01      
2.00000000e+02      9.50000000e-01      
2.05300000e+02      9.50000000e-01      
2.05300001e+02      9.50000000e-01      
3.15000000e+02      9.50000000e-01      
3.15000001e+02      1.00000000e+00      
1.35000000e+03      1.00000000e+00      
