CN + hv => C + N (wavelength = nm, qy = unitless)
wavelength          300K                
6.10000000e-02      1.00000000e+00      
1.24000000e-01      1.00000000e+00      
2.44000000e-01      1.00000000e+00      
6.15000000e-01      1.00000000e+00      
1.25700000e+00      1.00000000e+00      
2.46200000e+00      1.00000000e+00      
2.91000000e+00      1.00000000e+00      
3.04000000e+00      1.00000000e+00      
4.08000000e+00      1.00000000e+00      
4.25000000e+00      1.00000000e+00      
6.20900000e+00      1.00000000e+00      
1.21700000e+01      1.00000000e+00      
2.48600000e+01      1.00000000e+00      
6.26800000e+01      1.00000000e+00      
6.54000000e+01      1.00000000e+00      
9.05800000e+01      1.00000000e+00      
9.12500000e+01      1.00000000e+00      
9.26100000e+01      1.00000000e+00      
9.40200000e+01      1.00000000e+00      
9.54600000e+01      1.00000000e+00      
9.69500000e+01      1.00000000e+00      
9.84900000e+01      1.00000000e+00      
9.89600000e+01      1.00000000e+00      
9.94400000e+01      1.00000000e+00      
1.00500000e+02      1.00000000e+00      
1.01600000e+02      1.00000000e+00      
1.02200000e+02      1.00000000e+00      
1.03300000e+02      1.00000000e+00      
1.05000000e+02      1.00000000e+00      
1.10800000e+02      1.00000000e+00      
1.12800000e+02      1.00000000e+00      
1.14900000e+02      1.00000000e+00      
1.17100000e+02      1.00000000e+00      
1.20000000e+02      1.00000000e+00      
1.30000000e+02      1.00000000e+00      
1.59000000e+02      1.00000000e+00      
