CO2 + hv => CO + O1D (wavelength = nm, qy = unitless)
wavelength          300K                
1.00000000e-01      0.00000000e+00      
4.00000000e-01      0.00000000e+00      
7.50000000e-01      0.00000000e+00      
1.25000000e+00      0.00000000e+00      
1.90000000e+00      0.00000000e+00      
2.69000000e+00      0.00000000e+00      
3.60000000e+00      0.00000000e+00      
5.15000000e+00      0.00000000e+00      
7.25000000e+00      0.00000000e+00      
9.30000000e+00      0.00000000e+00      
1.20500000e+01      0.00000000e+00      
1.51500000e+01      0.00000000e+00      
1.72500000e+01      0.00000000e+00      
1.85000000e+01      0.00000000e+00      
1.97500000e+01      0.00000000e+00      
2.12500000e+01      0.00000000e+00      
2.30000000e+01      0.00000000e+00      
2.50000000e+01      0.00000000e+00      
2.57000000e+01      0.00000000e+00      
2.70000000e+01      0.00000000e+00      
3.03800000e+01      0.00000000e+00      
4.35000000e+01      0.00000000e+00      
5.07400000e+01      5.70000000e-03      
5.07700000e+01      5.86670000e-03      
5.08200000e+01      6.12460000e-03      
5.22200000e+01      1.38260000e-02      
5.25800000e+01      1.58010000e-02      
5.37000000e+01      2.19430000e-02      
5.53300000e+01      3.07690000e-02      
5.54100000e+01      3.12830000e-02      
5.54500000e+01      3.16270000e-02      
5.55300000e+01      3.18580000e-02      
5.82700000e+01      4.69770000e-02      
5.85200000e+01      4.46900000e-02      
5.90000000e+01      4.39130000e-02      
6.05000000e+01      4.19090000e-02      
6.10000000e+01      4.24370000e-02      
6.15000000e+01      4.05620000e-02      
6.20000000e+01      2.26910000e-02      
6.25000000e+01      3.96820000e-02      
6.30000000e+01      3.96820000e-02      
6.36900000e+01      3.41940000e-02      
6.40000000e+01      3.18980000e-02      
6.50000000e+01      2.39150000e-02      
6.59500000e+01      1.66180000e-02      
6.65000000e+01      3.96820000e-02      
6.70000000e+01      2.42790000e-02      
6.75000000e+01      1.58140000e-02      
6.77000000e+01      1.59910000e-02      
6.80000000e+01      3.42790000e-02      
6.82000000e+01      3.18980000e-02      
6.83000000e+01      3.61160000e-02      
6.85000000e+01      2.94870000e-02      
6.86000000e+01      5.47950000e-02      
6.87000000e+01      4.81930000e-02      
6.88700000e+01      6.53850000e-02      
6.89300000e+01      4.05620000e-02      
6.89600000e+01      5.22730000e-02      
6.90000000e+01      6.45160000e-02      
6.90400000e+01      6.51720000e-02      
6.90900000e+01      5.02490000e-02      
6.91500000e+01      5.86210000e-02      
6.92100000e+01      5.90640000e-02      
6.92400000e+01      3.44710000e-02      
6.92900000e+01      3.62010000e-02      
6.93200000e+01      3.37070000e-02      
6.93600000e+01      8.62500000e-02      
6.94100000e+01      5.78690000e-02      
6.94400000e+01      5.01820000e-02      
6.94800000e+01      5.07460000e-02      
6.95700000e+01      2.84270000e-02      
6.96200000e+01      4.34830000e-02      
6.96600000e+01      3.08720000e-02      
6.97000000e+01      3.03960000e-02      
6.97300000e+01      2.31050000e-02      
6.97800000e+01      7.80990000e-02      
6.98500000e+01      2.78020000e-02      
6.99000000e+01      3.16250000e-02      
6.99500000e+01      3.84920000e-02      
7.00000000e+01      5.12690000e-02      
7.00500000e+01      4.92040000e-02      
7.01400000e+01      3.42790000e-02      
7.01900000e+01      5.47950000e-02      
7.02300000e+01      6.93470000e-02      
7.03000000e+01      5.47950000e-02      
7.03600000e+01      4.18180000e-02      
7.04100000e+01      3.70970000e-02      
7.04600000e+01      4.61190000e-02      
7.05000000e+01      5.76920000e-02      
7.05800000e+01      4.88270000e-02      
7.06300000e+01      3.50250000e-02      
7.07000000e+01      1.16000000e-01      
7.07600000e+01      6.93550000e-02      
7.08000000e+01      5.47950000e-02      
7.08500000e+01      2.78020000e-02      
7.09000000e+01      4.12240000e-02      
7.09300000e+01      3.18980000e-02      
7.09800000e+01      6.09320000e-02      
7.10600000e+01      1.12010000e-01      
7.11400000e+01      7.44110000e-02      
7.11700000e+01      7.02480000e-02      
7.12000000e+01      6.60290000e-02      
7.12400000e+01      6.59340000e-02      
7.12900000e+01      7.41940000e-02      
7.13300000e+01      7.45100000e-02      
