H2O + hv => H + OH (wavelength = nm, qy = unitless)
wavelength          300K                
1.00000000e-01      7.51000000e-02      
5.00000000e-01      7.55000000e-02      
1.00000000e+00      7.60290000e-02      
2.00000000e+00      7.69230000e-02      
2.25000000e+00      7.73210000e-02      
2.35000000e+00      7.75860000e-02      
1.00000000e+01      8.56000000e-02      
1.80000000e+01      9.38000000e-02      
2.00000000e+01      9.59650000e-02      
2.20000000e+01      9.80300000e-02      
2.40000000e+01      1.00260000e-01      
2.60000000e+01      1.02290000e-01      
2.80000000e+01      1.04170000e-01      
3.00000000e+01      1.06930000e-01      
3.20000000e+01      1.08490000e-01      
3.40000000e+01      1.10430000e-01      
3.60000000e+01      1.13010000e-01      
3.80000000e+01      1.15150000e-01      
4.00000000e+01      1.16780000e-01      
4.20000000e+01      1.19230000e-01      
4.40000000e+01      1.20930000e-01      
4.60000000e+01      1.23030000e-01      
4.80000000e+01      1.25420000e-01      
5.00000000e+01      1.27320000e-01      
5.20000000e+01      1.29470000e-01      
5.40000000e+01      1.31660000e-01      
5.60000000e+01      1.33820000e-01      
5.80000000e+01      1.35680000e-01      
6.00000000e+01      1.37900000e-01      
6.20000000e+01      1.34220000e-01      
6.40000000e+01      1.29070000e-01      
6.60000000e+01      1.34210000e-01      
6.80000000e+01      2.23790000e-01      
7.00000000e+01      2.17810000e-01      
7.20000000e+01      2.23390000e-01      
7.22800000e+01      2.23850000e-01      
7.34500000e+01      2.21100000e-01      
7.42000000e+01      2.10000000e-01      
7.50000000e+01      2.28110000e-01      
7.58700000e+01      1.91190000e-01      
7.66600000e+01      1.96920000e-01      
7.76700000e+01      1.60110000e-01      
7.84000000e+01      1.44190000e-01      
7.93600000e+01      1.31140000e-01      
8.00000000e+01      1.21870000e-01      
8.02500000e+01      1.23780000e-01      
8.08600000e+01      1.39290000e-01      
8.15600000e+01      1.57890000e-01      
8.22200000e+01      1.74010000e-01      
8.29700000e+01      1.96110000e-01      
8.33700000e+01      2.05110000e-01      
8.36500000e+01      2.22040000e-01      
8.44200000e+01      2.62770000e-01      
8.48800000e+01      2.54100000e-01      
8.51100000e+01      2.91920000e-01      
8.52600000e+01      2.87100000e-01      
8.55200000e+01      2.90960000e-01      
8.57500000e+01      3.14140000e-01      
8.59200000e+01      3.16240000e-01      
8.61000000e+01      3.07870000e-01      
8.62500000e+01      3.14140000e-01      
8.65000000e+01      3.35030000e-01      
8.66800000e+01      3.32830000e-01      
8.67900000e+01      3.39200000e-01      
8.70200000e+01      3.69760000e-01      
8.72400000e+01      3.67960000e-01      
8.74100000e+01      3.74150000e-01      
8.77700000e+01      3.74150000e-01      
8.79000000e+01      3.80190000e-01      
8.83300000e+01      3.77070000e-01      
8.85800000e+01      4.11950000e-01      
8.87400000e+01      4.14900000e-01      
8.91400000e+01      4.02780000e-01      
8.93000000e+01      4.30380000e-01      
8.94400000e+01      4.36840000e-01      
9.00300000e+01      4.38020000e-01      
9.03000000e+01      4.30960000e-01      
9.05000000e+01      4.39790000e-01      
9.08100000e+01      4.70830000e-01      
9.09000000e+01      4.75210000e-01      
9.10000000e+01      4.82760000e-01      
9.11500000e+01      4.65880000e-01      
9.15500000e+01      4.66670000e-01      
9.16700000e+01      4.86380000e-01      
9.17500000e+01      4.85480000e-01      
9.18600000e+01      4.89080000e-01      
9.23800000e+01      4.62220000e-01      
9.25300000e+01      4.81010000e-01      
9.26200000e+01      5.03940000e-01      
9.27400000e+01      5.04270000e-01      
9.30000000e+01      4.78240000e-01      
9.32400000e+01      4.91670000e-01      
9.33800000e+01      4.85600000e-01      
9.34800000e+01      4.89360000e-01      
9.36300000e+01      4.90910000e-01      
9.41200000e+01      5.02180000e-01      
9.42600000e+01      4.93780000e-01      
9.43400000e+01      4.77060000e-01      
9.45300000e+01      4.81070000e-01      
9.48000000e+01      4.84000000e-01      
9.49400000e+01      4.95150000e-01      
9.51100000e+01      4.76240000e-01      
9.52100000e+01      4.76240000e-01      
9.58200000e+01      5.00000000e-01      
9.59800000e+01      4.98970000e-01      
9.60800000e+01      4.83050000e-01      
9.63300000e+01      4.97190000e-01      
9.65400000e+01      4.80840000e-01      
9.67300000e+01      4.93750000e-01      
