H2O + hv => O + H + H (wavelength = nm, qy = unitless)
wavelength          300K                
1.00000000e-01      0.00000000e+00      
5.00000000e-01      0.00000000e+00      
1.00000000e+00      0.00000000e+00      
2.00000000e+00      0.00000000e+00      
2.25000000e+00      0.00000000e+00      
2.35000000e+00      0.00000000e+00      
1.00000000e+01      0.00000000e+00      
1.80000000e+01      0.00000000e+00      
2.00000000e+01      0.00000000e+00      
2.20000000e+01      0.00000000e+00      
2.40000000e+01      0.00000000e+00      
2.60000000e+01      0.00000000e+00      
2.80000000e+01      0.00000000e+00      
3.00000000e+01      0.00000000e+00      
3.20000000e+01      0.00000000e+00      
3.40000000e+01      0.00000000e+00      
3.60000000e+01      0.00000000e+00      
3.80000000e+01      0.00000000e+00      
4.00000000e+01      0.00000000e+00      
4.20000000e+01      0.00000000e+00      
4.40000000e+01      0.00000000e+00      
4.60000000e+01      0.00000000e+00      
4.80000000e+01      0.00000000e+00      
5.00000000e+01      0.00000000e+00      
5.20000000e+01      0.00000000e+00      
5.40000000e+01      0.00000000e+00      
5.60000000e+01      0.00000000e+00      
5.80000000e+01      0.00000000e+00      
6.00000000e+01      0.00000000e+00      
6.20000000e+01      0.00000000e+00      
6.40000000e+01      0.00000000e+00      
6.60000000e+01      0.00000000e+00      
6.80000000e+01      0.00000000e+00      
7.00000000e+01      0.00000000e+00      
7.20000000e+01      0.00000000e+00      
7.22800000e+01      0.00000000e+00      
7.34500000e+01      0.00000000e+00      
7.42000000e+01      0.00000000e+00      
7.50000000e+01      0.00000000e+00      
7.58700000e+01      0.00000000e+00      
7.66600000e+01      0.00000000e+00      
7.76700000e+01      0.00000000e+00      
7.84000000e+01      0.00000000e+00      
7.93600000e+01      0.00000000e+00      
8.00000000e+01      0.00000000e+00      
8.02500000e+01      0.00000000e+00      
8.08600000e+01      0.00000000e+00      
8.15600000e+01      0.00000000e+00      
8.22200000e+01      0.00000000e+00      
8.29700000e+01      0.00000000e+00      
8.33700000e+01      0.00000000e+00      
8.36500000e+01      0.00000000e+00      
8.44200000e+01      0.00000000e+00      
8.48800000e+01      0.00000000e+00      
8.51100000e+01      0.00000000e+00      
8.52600000e+01      0.00000000e+00      
8.55200000e+01      0.00000000e+00      
8.57500000e+01      0.00000000e+00      
8.59200000e+01      0.00000000e+00      
8.61000000e+01      0.00000000e+00      
8.62500000e+01      0.00000000e+00      
8.65000000e+01      0.00000000e+00      
8.66800000e+01      0.00000000e+00      
8.67900000e+01      0.00000000e+00      
8.70200000e+01      0.00000000e+00      
8.72400000e+01      0.00000000e+00      
8.74100000e+01      0.00000000e+00      
8.77700000e+01      0.00000000e+00      
8.79000000e+01      0.00000000e+00      
8.83300000e+01      0.00000000e+00      
8.85800000e+01      0.00000000e+00      
8.87400000e+01      0.00000000e+00      
8.91400000e+01      0.00000000e+00      
8.93000000e+01      0.00000000e+00      
8.94400000e+01      0.00000000e+00      
9.00300000e+01      0.00000000e+00      
9.03000000e+01      0.00000000e+00      
9.05000000e+01      0.00000000e+00      
9.08100000e+01      0.00000000e+00      
9.09000000e+01      0.00000000e+00      
9.10000000e+01      0.00000000e+00      
9.11500000e+01      0.00000000e+00      
9.15500000e+01      0.00000000e+00      
9.16700000e+01      0.00000000e+00      
9.17500000e+01      0.00000000e+00      
9.18600000e+01      0.00000000e+00      
9.23800000e+01      0.00000000e+00      
9.25300000e+01      0.00000000e+00      
9.26200000e+01      0.00000000e+00      
9.27400000e+01      0.00000000e+00      
9.30000000e+01      0.00000000e+00      
9.32400000e+01      0.00000000e+00      
9.33800000e+01      0.00000000e+00      
9.34800000e+01      0.00000000e+00      
9.36300000e+01      0.00000000e+00      
9.41200000e+01      0.00000000e+00      
9.42600000e+01      0.00000000e+00      
9.43400000e+01      0.00000000e+00      
9.45300000e+01      0.00000000e+00      
9.48000000e+01      0.00000000e+00      
9.49400000e+01      0.00000000e+00      
9.51100000e+01      0.00000000e+00      
9.52100000e+01      0.00000000e+00      
9.58200000e+01      0.00000000e+00      
9.59800000e+01      0.00000000e+00      
9.60800000e+01      0.00000000e+00      
9.63300000e+01      0.00000000e+00      
9.65400000e+01      0.00000000e+00      
9.67300000e+01      0.00000000e+00      
9.68400000e+01      0.00000000e+00      
9.70000000e+01      0.00000000e+00      
9.77200000e+01      0.00000000e+00      
9.78000000e+01      0.00000000e+00      
9.84000000e+01      1.50000000e-01      
1.00000000e+02      1.50000000e-01      
1.02000000e+02      1.50000000e-01      
1.04000000e+02      1.50000000e-01      
1.06000000e+02      1.50000000e-01      
1.06500000e+02      1.49850000e-01      
1.07000000e+02      1.50000000e-01      
1.07500000e+02      1.49520000e-01      
1.08000000e+02      1.50000000e-01      
1.08500000e+02      1.50000000e-01      
1.09000000e+02      1.50000000e-01      
1.09500000e+02      1.50000000e-01      
1.10000000e+02      1.50000000e-01      
1.10500000e+02      1.50000000e-01      
1.11000000e+02      1.50000000e-01      
1.11200000e+02      1.50000000e-01      
1.11500000e+02      1.50000000e-01      
1.11800000e+02      1.50000000e-01      
1.12000000e+02      1.49730000e-01      
1.12500000e+02      1.50000000e-01      
1.12600000e+02      1.50000000e-01      
1.13000000e+02      1.50000000e-01      
1.13500000e+02      1.50000000e-01      
1.14000000e+02      1.50000000e-01      
1.15000000e+02      1.50000000e-01      
1.16000000e+02      1.50270000e-01      
1.17200000e+02      1.50000000e-01      
1.18000000e+02      1.50000000e-01      
1.19000000e+02      1.50000000e-01      
1.20000000e+02      1.50000000e-01      
1.20500000e+02      1.50000000e-01      
1.21000000e+02      1.50000000e-01      
1.21500000e+02      1.50000000e-01      
1.21800000e+02      1.49730000e-01      
1.22000000e+02      1.50000000e-01      
1.22500000e+02      1.50000000e-01      
1.23000000e+02      1.50000000e-01      
1.23500000e+02      1.50000000e-01      
1.24000000e+02      1.50000000e-01      
1.24500000e+02      1.50000000e-01      
1.25000000e+02      1.49250000e-01      
1.30000000e+02      1.50000000e-01      
1.30400000e+02      1.50000000e-01      
1.30410000e+02      0.00000000e+00      
1.35000000e+02      0.00000000e+00      
1.40000000e+02      0.00000000e+00      
1.43000000e+02      0.00000000e+00      
1.45000000e+02      0.00000000e+00      
1.50000000e+02      0.00000000e+00      
1.55000000e+02      0.00000000e+00      
