H2O (wavelength = nm, xs = cm2/molecule)
wavelength          300K                
1.00000000e-01      1.00000000e-22
5.00000000e-01      1.00000000e-20
1.00000000e+00      6.80000000e-20
2.00000000e+00      1.30000000e-19
2.25000000e+00      5.60000000e-19
2.35000000e+00      2.90000000e-20
1.00000000e+01      1.25000000e-18
1.80000000e+01      5.00000000e-18
2.00000000e+01      5.70000000e-18
2.20000000e+01      6.60000000e-18
2.40000000e+01      7.60000000e-18
2.60000000e+01      8.30000000e-18
2.80000000e+01      9.60000000e-18
3.00000000e+01      1.01000000e-17
3.20000000e+01      1.06000000e-17
3.40000000e+01      1.15000000e-17
3.60000000e+01      1.23000000e-17
3.80000000e+01      1.32000000e-17
4.00000000e+01      1.43000000e-17
4.20000000e+01      1.56000000e-17
4.40000000e+01      1.72000000e-17
4.60000000e+01      1.78000000e-17
4.80000000e+01      1.77000000e-17
5.00000000e+01      1.83000000e-17
5.20000000e+01      1.90000000e-17
5.40000000e+01      1.99000000e-17
5.60000000e+01      2.07000000e-17
5.80000000e+01      2.13000000e-17
6.00000000e+01      2.19000000e-17
6.20000000e+01      2.25000000e-17
6.40000000e+01      2.27000000e-17
6.60000000e+01      2.28000000e-17
6.80000000e+01      2.27000000e-17
7.00000000e+01      2.19000000e-17
7.20000000e+01      2.18000000e-17
7.22800000e+01      2.18000000e-17
7.34500000e+01      2.18000000e-17
7.42000000e+01      2.00000000e-17
7.50000000e+01      2.17000000e-17
7.58700000e+01      1.93000000e-17
7.66600000e+01      1.95000000e-17
7.76700000e+01      1.78000000e-17
7.84000000e+01      1.72000000e-17
7.93600000e+01      1.67000000e-17
8.00000000e+01      1.60000000e-17
8.02500000e+01      1.64000000e-17
8.08600000e+01      1.68000000e-17
8.15600000e+01      1.71000000e-17
8.22200000e+01      1.77000000e-17
8.29700000e+01      1.80000000e-17
8.33700000e+01      1.76000000e-17
8.36500000e+01      1.86000000e-17
8.44200000e+01      1.88000000e-17
8.48800000e+01      1.83000000e-17
8.51100000e+01      1.98000000e-17
8.52600000e+01      1.86000000e-17
8.55200000e+01      1.88000000e-17
8.57500000e+01      1.98000000e-17
8.59200000e+01      1.97000000e-17
8.61000000e+01      1.78000000e-17
8.62500000e+01      1.91000000e-17
8.65000000e+01      1.97000000e-17
8.66800000e+01      1.98000000e-17
8.67900000e+01      1.99000000e-17
8.70200000e+01      2.05000000e-17
