HCN + hv => H + CN (wavelength = nm, qy = unitless)
wavelength          300K                
1.00000000e-01      0.00000000e+00      
3.00000000e+00      0.00000000e+00      
3.10000000e+00      0.00000000e+00      
4.10000000e+00      0.00000000e+00      
4.30000000e+00      0.00000000e+00      
5.00000000e+00      0.00000000e+00      
1.00000000e+01      0.00000000e+00      
2.00000000e+01      0.00000000e+00      
3.00000000e+01      0.00000000e+00      
4.00000000e+01      0.00000000e+00      
5.00000000e+01      0.00000000e+00      
6.00000000e+01      0.00000000e+00      
7.00000000e+01      0.00000000e+00      
8.00000000e+01      0.00000000e+00      
9.00000000e+01      0.00000000e+00      
9.11200000e+01      0.00000000e+00      
9.12000000e+01      1.00000000e+00      
1.05000000e+02      1.00000000e+00      
1.05150000e+02      1.00000000e+00      
1.05270000e+02      1.00000000e+00      
1.05580000e+02      1.00000000e+00      
1.05900000e+02      1.00000000e+00      
1.06010000e+02      1.00000000e+00      
1.06330000e+02      1.00000000e+00      
1.06460000e+02      1.00000000e+00      
1.06640000e+02      1.00000000e+00      
1.06790000e+02      1.00000000e+00      
1.06880000e+02      1.00000000e+00      
1.07000000e+02      1.00000000e+00      
1.07330000e+02      1.00000000e+00      
1.07560000e+02      1.00000000e+00      
1.07740000e+02      1.00000000e+00      
1.08090000e+02      1.00000000e+00      
1.08200000e+02      1.00000000e+00      
1.08390000e+02      1.00000000e+00      
1.08570000e+02      1.00000000e+00      
1.08890000e+02      1.00000000e+00      
1.09030000e+02      1.00000000e+00      
1.09450000e+02      1.00000000e+00      
1.09830000e+02      1.00000000e+00      
1.10330000e+02      1.00000000e+00      
1.10500000e+02      1.00000000e+00      
1.10700000e+02      1.00000000e+00      
1.10810000e+02      1.00000000e+00      
1.11060000e+02      1.00000000e+00      
1.11150000e+02      1.00000000e+00      
1.11430000e+02      1.00000000e+00      
1.12170000e+02      1.00000000e+00      
1.12580000e+02      1.00000000e+00      
1.12660000e+02      1.00000000e+00      
1.13070000e+02      1.00000000e+00      
1.13540000e+02      1.00000000e+00      
1.13690000e+02      1.00000000e+00      
1.13930000e+02      1.00000000e+00      
1.14110000e+02      1.00000000e+00      
1.14290000e+02      1.00000000e+00      
1.15130000e+02      1.00000000e+00      
1.15610000e+02      1.00000000e+00      
1.17220000e+02      1.00000000e+00      
1.17450000e+02      1.00000000e+00      
1.17740000e+02      1.00000000e+00      
1.18030000e+02      1.00000000e+00      
1.18410000e+02      1.00000000e+00      
1.18530000e+02      1.00000000e+00      
1.18940000e+02      1.00000000e+00      
1.19520000e+02      1.00000000e+00      
1.19710000e+02      1.00000000e+00      
1.20380000e+02      1.00000000e+00      
1.20760000e+02      1.00000000e+00      
1.21050000e+02      1.00000000e+00      
1.21500000e+02      1.00000000e+00      
1.21980000e+02      1.00000000e+00      
1.22310000e+02      1.00000000e+00      
1.22410000e+02      1.00000000e+00      
1.22900000e+02      1.00000000e+00      
1.23070000e+02      1.00000000e+00      
1.23420000e+02      1.00000000e+00      
1.23960000e+02      1.00000000e+00      
1.24600000e+02      1.00000000e+00      
1.24870000e+02      1.00000000e+00      
1.25820000e+02      1.00000000e+00      
1.27000000e+02      1.00000000e+00      
1.29030000e+02      1.00000000e+00      
1.29520000e+02      1.00000000e+00      
1.30000000e+02      1.00000000e+00      
1.30140000e+02      1.00000000e+00      
1.30460000e+02      1.00000000e+00      
1.30870000e+02      1.00000000e+00      
1.30990000e+02      1.00000000e+00      
1.31090000e+02      1.00000000e+00      
1.31170000e+02      1.00000000e+00      
1.31480000e+02      1.00000000e+00      
1.31620000e+02      1.00000000e+00      
1.32120000e+02      1.00000000e+00      
1.32410000e+02      1.00000000e+00      
1.32670000e+02      1.00000000e+00      
1.32840000e+02      1.00000000e+00      
1.33030000e+02      1.00000000e+00      
1.33220000e+02      1.00000000e+00      
1.33240000e+02      1.00000000e+00      
1.33710000e+02      1.00000000e+00      
1.33870000e+02      1.00000000e+00      
1.33970000e+02      1.00000000e+00      
1.34060000e+02      1.00000000e+00      
1.34440000e+02      1.00000000e+00      
1.34630000e+02      1.00000000e+00      
1.34930000e+02      1.00000000e+00      
1.35170000e+02      1.00000000e+00      
1.35400000e+02      1.00000000e+00      
1.35570000e+02      1.00000000e+00      
1.35940000e+02      1.00000000e+00      
1.36160000e+02      1.00000000e+00      
1.36290000e+02      1.00000000e+00      
1.36420000e+02      1.00000000e+00      
1.36580000e+02      1.00000000e+00      
1.36710000e+02      1.00000000e+00      
1.36790000e+02      1.00000000e+00      
1.37220000e+02      1.00000000e+00      
1.37350000e+02      1.00000000e+00      
1.37780000e+02      1.00000000e+00      
1.38050000e+02      1.00000000e+00      
1.38210000e+02      1.00000000e+00      
1.38750000e+02      1.00000000e+00      
1.39200000e+02      1.00000000e+00      
1.39690000e+02      1.00000000e+00      
1.39720000e+02      1.00000000e+00      
1.40000000e+02      1.00000000e+00      
1.40800000e+02      1.00000000e+00      
1.41150000e+02      1.00000000e+00      
1.41240000e+02      1.00000000e+00      
1.41660000e+02      1.00000000e+00      
1.42000000e+02      1.00000000e+00      
1.42630000e+02      1.00000000e+00      
1.42870000e+02      1.00000000e+00      
1.42900000e+02      1.00000000e+00      
1.43390000e+02      1.00000000e+00      
1.44430000e+02      1.00000000e+00      
1.44680000e+02      1.00000000e+00      
1.44770000e+02      1.00000000e+00      
1.45050000e+02      1.00000000e+00      
