HCN (wavelength = nm, xs = cm2/molecule)
wavelength          300K                
1.00000000e-01      6.00000000e-23      
3.00000000e+00      1.20000000e-18      
3.10000000e+00      5.00000000e-19      
4.10000000e+00      1.10000000e-18      
4.30000000e+00      1.20000000e-19      
5.00000000e+00      1.80000000e-19      
1.00000000e+01      9.20000000e-19      
2.00000000e+01      3.65000000e-18      
3.00000000e+01      7.33000000e-18      
4.00000000e+01      1.12000000e-17      
5.00000000e+01      1.62000000e-17      
6.00000000e+01      2.06000000e-17      
7.00000000e+01      2.43000000e-17      
8.00000000e+01      2.70000000e-17      
9.00000000e+01      1.56000000e-17      
9.11200000e+01      1.55000000e-17      
9.12000000e+01      1.55000000e-17      
1.05000000e+02      1.46000000e-17      
1.05150000e+02      1.46000000e-17      
1.05270000e+02      2.06000000e-17      
1.05580000e+02      1.45000000e-17      
1.05900000e+02      2.26000000e-17      
1.06010000e+02      2.05000000e-17      
1.06330000e+02      2.33000000e-17      
1.06460000e+02      2.03000000e-17      
1.06640000e+02      2.55000000e-17      
1.06790000e+02      1.88000000e-17      
1.06880000e+02      2.89000000e-17      
1.07000000e+02      2.69000000e-17      
1.07330000e+02      6.38000000e-17      
1.07560000e+02      3.77000000e-17      
1.07740000e+02      5.89000000e-17      
1.08090000e+02      2.79000000e-17      
1.08200000e+02      2.85000000e-17      
1.08390000e+02      2.49000000e-17      
1.08570000e+02      3.33000000e-17      
1.08890000e+02      2.15000000e-17      
1.09030000e+02      4.36000000e-17      
1.09450000e+02      1.91000000e-17      
1.09830000e+02      2.47000000e-17      
1.10330000e+02      1.74000000e-17      
1.10500000e+02      2.82000000e-17      
1.10700000e+02      2.37000000e-17      
1.10810000e+02      2.42000000e-17      
1.11060000e+02      2.19000000e-17      
1.11150000e+02      3.68000000e-17      
1.11430000e+02      2.22000000e-17      
1.12170000e+02      8.16000000e-17      
1.12580000e+02      4.46000000e-17      
1.12660000e+02      4.51000000e-17      
1.13070000e+02      3.73000000e-17      
1.13540000e+02      4.55000000e-17      
1.13690000e+02      4.32000000e-17      
1.13930000e+02      4.43000000e-17      
1.14110000e+02      4.17000000e-17      
1.14290000e+02      4.36000000e-17      
1.15130000e+02      3.61000000e-17      
1.15610000e+02      4.51000000e-17      
1.17220000e+02      1.73000000e-17      
1.17450000e+02      1.67000000e-17      
1.17740000e+02      2.24000000e-17      
1.18030000e+02      1.97000000e-17      
1.18410000e+02      2.89000000e-17      
1.18530000e+02      2.90000000e-17      
1.18940000e+02      3.69000000e-17      
1.19520000e+02      2.50000000e-17      
1.19710000e+02      2.87000000e-17      
1.20380000e+02      2.03000000e-17      
1.20760000e+02      2.82000000e-17      
1.21050000e+02      2.32000000e-17      
1.21500000e+02      4.24000000e-17      
1.21980000e+02      3.66000000e-17      
1.22310000e+02      2.64000000e-17      
1.22410000e+02      2.54000000e-17      
1.22900000e+02      1.72000000e-17      
1.23070000e+02      2.06000000e-17      
1.23420000e+02      1.16000000e-17      
1.23960000e+02      6.56000000e-18      
1.24600000e+02      4.32000000e-18      
1.24870000e+02      4.32000000e-18      
1.25820000e+02      1.83000000e-18      
1.27000000e+02      1.11000000e-18      
1.29030000e+02      2.14000000e-18      
1.29520000e+02      1.07000000e-18      
1.30000000e+02      1.68000000e-18      
1.30140000e+02      1.91000000e-18      
1.30460000e+02      1.49000000e-18      
1.30870000e+02      1.76000000e-18      
1.30990000e+02      2.79000000e-18      
1.31090000e+02      2.68000000e-18      
1.31170000e+02      3.10000000e-18      
1.31480000e+02      2.14000000e-18      
1.31620000e+02      2.64000000e-18      
1.32120000e+02      1.53000000e-18      
1.32410000e+02      3.29000000e-18      
1.32670000e+02      3.33000000e-18      
1.32840000e+02      2.56000000e-18      
1.33030000e+02      2.83000000e-18      
1.33220000e+02      2.45000000e-18      
1.33240000e+02      3.14000000e-18      
1.33710000e+02      1.72000000e-18      
1.33870000e+02      6.20000000e-18      
1.33970000e+02      5.93000000e-18      
1.34060000e+02      8.52000000e-18      
1.34440000e+02      1.87000000e-18      
1.34630000e+02      1.26000000e-18      
1.34930000e+02      2.14000000e-18      
1.35170000e+02      7.09000000e-18      
1.35400000e+02      4.68000000e-18      
1.35570000e+02      8.83000000e-18      
1.35940000e+02      2.07000000e-18      
1.36160000e+02      1.91000000e-18      
1.36290000e+02      3.56000000e-18      
1.36420000e+02      2.71000000e-18      
1.36580000e+02      4.95000000e-18      
1.36710000e+02      3.48000000e-18      
1.36790000e+02      2.46000000e-17      
1.37220000e+02      2.33000000e-18      
1.37350000e+02      2.49000000e-18      
1.37780000e+02      1.15000000e-18      
1.38050000e+02      2.64000000e-18      
1.38210000e+02      2.54000000e-17      
1.38750000e+02      1.68000000e-18      
1.39200000e+02      8.79000000e-19      
1.39690000e+02      3.10000000e-18      
1.39720000e+02      2.86000000e-17      
1.40000000e+02      4.28000000e-18      
1.40800000e+02      7.27000000e-19      
1.41150000e+02      1.26000000e-18      
1.41240000e+02      2.53000000e-17      
1.41660000e+02      2.41000000e-18      
1.42000000e+02      2.60000000e-18      
1.42630000e+02      6.51000000e-19      
1.42870000e+02      2.14000000e-18      
1.42900000e+02      1.51000000e-17      
1.43390000e+02      1.80000000e-18      
1.44430000e+02      8.43000000e-19      
1.44680000e+02      1.30000000e-18      
1.44770000e+02      1.12000000e-17      
1.45050000e+02      1.53000000e-18      
1.46300000e+02      5.35000000e-19      
1.46480000e+02      1.22000000e-18      
1.46600000e+02      5.93000000e-18      
1.46810000e+02      1.65000000e-18      
1.47070000e+02      8.43000000e-19      
1.48300000e+02      5.76000000e-19      
1.48450000e+02      3.71000000e-18      
1.48600000e+02      7.63000000e-19      
1.50230000e+02      6.87000000e-19      
1.50310000e+02      1.87000000e-18      
1.50560000e+02      4.21000000e-19      
1.52270000e+02      4.95000000e-19      
1.52400000e+02      7.63000000e-19      
1.52540000e+02      4.60000000e-19      
1.55000000e+02      3.82000000e-19      
1.56100000e+02      2.53000000e-19      
1.56450000e+02      2.65000000e-19      
1.56750000e+02      2.10000000e-19      
1.57550000e+02      2.90000000e-19      
1.58700000e+02      1.71000000e-19      
1.59200000e+02      2.65000000e-19      
1.60700000e+02      1.39000000e-19      
1.61350000e+02      2.65000000e-19      
1.62500000e+02      1.05000000e-19      
1.63250000e+02      2.36000000e-19      
1.64500000e+02      6.34000000e-20      
1.65250000e+02      2.01000000e-19      
1.66600000e+02      4.60000000e-20      
1.67050000e+02      1.96000000e-19      
1.67300000e+02      1.45000000e-19      
1.67600000e+02      1.42000000e-19      
1.68400000e+02      4.28000000e-20      
1.68450000e+02      5.04000000e-20      
1.68800000e+02      3.11000000e-20      
1.69050000e+02      1.03000000e-19      
1.69150000e+02      9.19000000e-20      
1.69350000e+02      1.71000000e-19      
1.70800000e+02      1.59000000e-20      
1.71050000e+02      3.03000000e-20      
1.71150000e+02      2.41000000e-20      
1.71400000e+02      1.33000000e-19      
1.71600000e+02      5.26000000e-20      
1.71850000e+02      1.30000000e-19      
1.72300000e+02      2.36000000e-20      
1.72600000e+02      4.46000000e-20      
1.73450000e+02      1.05000000e-20      
1.73850000e+02      1.27000000e-19      
1.74250000e+02      2.25000000e-20      
1.74400000e+02      9.19000000e-20      
1.75150000e+02      1.00000000e-20      
1.75450000e+02      2.36000000e-20      
1.75950000e+02      6.83000000e-21      
1.76250000e+02      1.00000000e-19      
1.76900000e+02      7.99000000e-21      
1.77150000e+02      5.26000000e-20      
1.77450000e+02      7.32000000e-21      
1.78000000e+02      5.26000000e-21      
1.78150000e+02      1.33000000e-20      
