HNCO + hv => NH + CO (wavelength = nm, qy = unitless)
wavelength          300K                
6.00000000e-02      4.98140000e-01      
1.20000000e-01      5.00000000e-01      
2.40000000e-01      4.97670000e-01      
6.20000000e-01      5.01470000e-01      
1.26000000e+00      5.00000000e-01      
2.46000000e+00      4.99370000e-01      
6.21000000e+00      5.00000000e-01      
1.21700000e+01      5.01660000e-01      
2.48600000e+01      5.00000000e-01      
6.26800000e+01      4.98550000e-01      
1.20000000e+02      5.00000000e-01      
1.22000000e+02      5.00000000e-01      
1.24000000e+02      5.00000000e-01      
1.26000000e+02      4.98460000e-01      
1.28000000e+02      5.00000000e-01      
1.30000000e+02      5.01490000e-01      
1.32000000e+02      5.00000000e-01      
1.34000000e+02      5.00500000e-01      
1.34500000e+02      5.00000000e-01      
1.35200000e+02      5.01030000e-01      
1.36000000e+02      5.00000000e-01      
1.37000000e+02      5.00000000e-01      
1.38000000e+02      5.00000000e-01      
1.40000000e+02      5.00000000e-01      
1.42000000e+02      5.00000000e-01      
1.44000000e+02      5.00000000e-01      
1.46000000e+02      5.02240000e-01      
1.48000000e+02      5.00000000e-01      
1.50000000e+02      5.00000000e-01      
1.52000000e+02      4.98630000e-01      
1.54000000e+02      5.00000000e-01      
1.56000000e+02      5.00000000e-01      
1.58000000e+02      5.00000000e-01      
1.60000000e+02      5.00000000e-01      
1.62000000e+02      4.98630000e-01      
1.64000000e+02      4.98930000e-01      
1.66000000e+02      4.98990000e-01      
1.68000000e+02      4.98930000e-01      
1.70000000e+02      5.01120000e-01      
1.72000000e+02      5.00000000e-01      
1.74000000e+02      5.01580000e-01      
1.76000000e+02      5.02240000e-01      
1.78000000e+02      5.00000000e-01      
1.80000000e+02      5.00000000e-01      
1.85000000e+02      5.00680000e-01      
1.90000000e+02      4.99180000e-01      
1.95000000e+02      4.98970000e-01      
2.00000000e+02      5.01540000e-01      
2.10000000e+02      5.00000000e-01      
2.20000000e+02      5.00000000e-01      
2.30000000e+02      5.00000000e-01      
2.40000000e+02      5.00000000e-01      
2.50000000e+02      5.00000000e-01      
2.55000000e+02      1.00000000e+00      
3.54000000e+02      1.00000000e+00      
