HNCO (wavelength = nm, xs = cm2/molecule)
wavelength          300K                
6.00000000e-02      2.69000000e-23      
1.20000000e-01      2.64000000e-22      
2.40000000e-01      2.15000000e-21      
6.20000000e-01      3.41000000e-20      
1.26000000e+00      2.54000000e-19      
2.46000000e+00      7.91000000e-19      
6.21000000e+00      6.56000000e-19      
1.21700000e+01      3.01000000e-18      
2.48600000e+01      1.12000000e-17      
6.26800000e+01      3.45000000e-17      
1.20000000e+02      5.28000000e-17      
1.22000000e+02      2.64000000e-17      
1.24000000e+02      4.06000000e-17      
1.26000000e+02      3.25000000e-17      
1.28000000e+02      2.64000000e-17      
1.30000000e+02      3.35000000e-17      
1.32000000e+02      1.42000000e-17      
1.34000000e+02      9.95000000e-17      
1.34500000e+02      1.73000000e-17      
1.35200000e+02      4.87000000e-17      
1.36000000e+02      1.62000000e-17      
1.37000000e+02      1.26000000e-16      
1.38000000e+02      2.74000000e-17      
1.40000000e+02      1.12000000e-17      
1.42000000e+02      3.74000000e-18      
1.44000000e+02      3.00000000e-18      
1.46000000e+02      2.23000000e-18      
1.48000000e+02      2.52000000e-18      
1.50000000e+02      2.76000000e-18      
1.52000000e+02      3.65000000e-18      
1.54000000e+02      3.74000000e-18      
1.56000000e+02      4.26000000e-18      
1.58000000e+02      4.34000000e-18      
1.60000000e+02      3.98000000e-18      
1.62000000e+02      3.65000000e-18      
1.64000000e+02      4.67000000e-18      
1.66000000e+02      4.95000000e-18      
1.68000000e+02      4.67000000e-18      
1.70000000e+02      4.47000000e-18      
1.72000000e+02      3.74000000e-18      
1.74000000e+02      3.17000000e-18      
1.76000000e+02      2.23000000e-18      
1.78000000e+02      1.62000000e-18      
1.80000000e+02      1.22000000e-18      
1.85000000e+02      7.31000000e-19      
1.90000000e+02      6.09000000e-19      
1.95000000e+02      4.87000000e-19      
2.00000000e+02      3.25000000e-19      
2.10000000e+02      3.00000000e-20      
2.20000000e+02      8.00000000e-21      
2.30000000e+02      3.00000000e-21      
2.40000000e+02      1.00000000e-21      
2.50000000e+02      5.00000000e-22      
2.55000000e+02      3.00000000e-22      
3.54000000e+02      1.00000000e-24      
