HNO3 + hv => OH + NO2 (wavelength = nm, qy = unitless)
wavelength          300K                
6.10000000e-02      1.00000000e+00      
1.12000000e-01      1.00000000e+00      
2.44000000e-01      1.00000000e+00      
6.15000000e-01      1.00000000e+00      
1.25700000e+00      1.00000000e+00      
2.26400000e+00      1.00000000e+00      
2.36100000e+00      1.00000000e+00      
2.46200000e+00      1.00000000e+00      
2.91300000e+00      1.00000000e+00      
3.03800000e+00      1.00000000e+00      
6.20900000e+00      1.00000000e+00      
1.21700000e+01      1.00000000e+00      
2.48600000e+01      1.00000000e+00      
6.25800000e+01      1.00000000e+00      
9.15000000e+01      1.00000000e+00      
9.40000000e+01      1.00000000e+00      
1.08000000e+02      1.00000000e+00      
1.10000000e+02      1.00000000e+00      
1.12000000e+02      1.00000000e+00      
1.14000000e+02      1.00000000e+00      
1.16000000e+02      1.00000000e+00      
1.18000000e+02      1.00000000e+00      
1.20000000e+02      1.00000000e+00      
1.22000000e+02      1.00000000e+00      
1.24000000e+02      1.00000000e+00      
1.26000000e+02      1.00000000e+00      
1.28000000e+02      1.00000000e+00      
1.30000000e+02      1.00000000e+00      
1.32000000e+02      1.00000000e+00      
1.34000000e+02      1.00000000e+00      
1.36000000e+02      1.00000000e+00      
1.38000000e+02      1.00000000e+00      
1.40000000e+02      1.00000000e+00      
1.42000000e+02      1.00000000e+00      
1.44000000e+02      1.00000000e+00      
1.46000000e+02      1.00000000e+00      
1.48000000e+02      1.00000000e+00      
1.50000000e+02      1.00000000e+00      
1.55000000e+02      1.00000000e+00      
1.60000000e+02      1.00000000e+00      
1.65000000e+02      1.00000000e+00      
1.70000000e+02      1.00000000e+00      
1.75000000e+02      1.00000000e+00      
1.80000000e+02      1.00000000e+00      
1.85000000e+02      1.00000000e+00      
1.90000000e+02      1.00000000e+00      
1.95000000e+02      1.00000000e+00      
2.00000000e+02      1.00000000e+00      
2.05000000e+02      1.00000000e+00      
2.10000000e+02      1.00000000e+00      
2.15000000e+02      1.00000000e+00      
2.20000000e+02      1.00000000e+00      
2.25000000e+02      1.00000000e+00      
2.30000000e+02      1.00000000e+00      
2.35000000e+02      1.00000000e+00      
2.40000000e+02      1.00000000e+00      
2.45000000e+02      1.00000000e+00      
2.50000000e+02      1.00000000e+00      
2.55000000e+02      1.00000000e+00      
2.60000000e+02      1.00000000e+00      
2.65000000e+02      1.00000000e+00      
2.70000000e+02      1.00000000e+00      
2.75000000e+02      1.00000000e+00      
2.80000000e+02      1.00000000e+00      
2.85000000e+02      1.00000000e+00      
2.90000000e+02      1.00000000e+00      
2.95000000e+02      1.00000000e+00      
3.00000000e+02      1.00000000e+00      
3.05000000e+02      1.00000000e+00      
3.10000000e+02      1.00000000e+00      
3.15000000e+02      1.00000000e+00      
3.20000000e+02      1.00000000e+00      
3.25000000e+02      1.00000000e+00      
3.30000000e+02      1.00000000e+00      
