HO2 (wavelength = nm, xs = cm2/molecule)
wavelength          300K                
1.00000000e-01      2.00000000e-22      
5.00000000e-01      2.00000000e-20      
1.00000000e+00      2.00000000e-19      
2.26000000e+00      1.10000000e-18      
2.36000000e+00      6.00000000e-20      
1.00000000e+01      2.00000000e-18      
2.00000000e+01      1.00000000e-17      
3.00000000e+01      2.00000000e-17      
4.00000000e+01      2.50000000e-17      
5.00000000e+01      3.00000000e-17      
6.00000000e+01      3.40000000e-17      
7.00000000e+01      3.50000000e-17      
8.00000000e+01      3.00000000e-17      
9.00000000e+01      2.40000000e-17      
1.00000000e+02      1.00000000e-17      
1.20000000e+02      1.00000000e-17      
1.25000000e+02      1.00000000e-17      
1.30000000e+02      9.67000000e-18      
1.35000000e+02      7.81000000e-18      
1.40000000e+02      5.58000000e-18      
1.45000000e+02      4.28000000e-18      
1.50000000e+02      3.72000000e-18      
1.55000000e+02      3.53000000e-18      
1.60000000e+02      3.72000000e-18      
1.65000000e+02      4.09000000e-18      
1.70000000e+02      3.53000000e-18      
1.75000000e+02      2.05000000e-18      
1.80000000e+02      1.30000000e-18      
1.85000000e+02      1.04000000e-18      
1.90000000e+02      4.30000000e-18      
2.00000000e+02      4.80000000e-18      
2.10000000e+02      4.90000000e-18      
2.20000000e+02      4.00000000e-18      
2.30000000e+02      2.60000000e-18      
2.40000000e+02      1.20000000e-18      
2.50000000e+02      5.00000000e-19      
