N2 + hv => N + N (wavelength = nm, qy = unitless)
wavelength          300K                
1.00000000e-01      0.00000000e+00      
9.90000000e-01      0.00000000e+00      
1.34000000e+00      0.00000000e+00      
2.90000000e+00      0.00000000e+00      
3.00000000e+00      0.00000000e+00      
4.46000000e+00      0.00000000e+00      
6.80000000e+00      0.00000000e+00      
1.00000000e+01      0.00000000e+00      
1.50000000e+01      0.00000000e+00      
2.09300000e+01      0.00000000e+00      
2.47200000e+01      0.00000000e+00      
3.03800000e+01      0.00000000e+00      
3.48000000e+01      0.00000000e+00      
3.95000000e+01      0.00000000e+00      
4.30000000e+01      0.00000000e+00      
4.35000000e+01      0.00000000e+00      
4.98000000e+01      0.00000000e+00      
5.07500000e+01      0.00000000e+00      
5.08200000e+01      0.00000000e+00      
5.10400000e+01      0.00000000e+00      
5.19600000e+01      2.00000000e-02      
5.22200000e+01      3.50000000e-02      
5.25800000e+01      2.00000000e-02      
5.37000000e+01      3.50000000e-02      
5.53300000e+01      4.00000000e-02      
5.54100000e+01      5.49410000e-02      
5.54500000e+01      7.47970000e-02      
5.55300000e+01      4.51610000e-02      
5.84300000e+01      5.02160000e-03      
5.97800000e+01      3.00000000e-02      
5.99600000e+01      4.61540000e-02      
6.00000000e+01      4.41610000e-02      
6.08400000e+01      5.00000000e-03      
6.09800000e+01      5.00000000e-03      
6.10800000e+01      1.00000000e-02      
6.17000000e+01      2.00000000e-02      
6.20000000e+01      2.39310000e-02      
6.24600000e+01      3.00000000e-02      
6.25100000e+01      3.00000000e-02      
6.25800000e+01      2.00000000e-02      
6.29700000e+01      3.00000000e-02      
6.30000000e+01      3.11300000e-02      
6.40000000e+01      6.90480000e-02      
6.50000000e+01      1.06800000e-01      
6.60000000e+01      1.44800000e-01      
6.70000000e+01      1.82810000e-01      
6.71400000e+01      1.87820000e-01      
6.74100000e+01      1.55090000e-01      
6.75100000e+01      2.10120000e-01      
6.79700000e+01      1.87960000e-01      
6.81900000e+01      1.78970000e-01      
6.85000000e+01      4.48560000e-02      
6.85700000e+01      4.01610000e-02      
6.86300000e+01      4.48130000e-02      
6.90900000e+01      1.61060000e-01      
6.94900000e+01      1.57910000e-01      
7.00000000e+01      2.34030000e-01      
7.10000000e+01      2.44270000e-01      
7.15300000e+01      2.49780000e-01      
7.21300000e+01      2.85070000e-01      
7.23400000e+01      1.67010000e-01      
7.26000000e+01      2.45910000e-01      
7.29500000e+01      2.88850000e-01      
7.33000000e+01      2.83970000e-01      
7.34800000e+01      2.24060000e-01      
7.35900000e+01      1.53180000e-01      
7.36800000e+01      8.05190000e-02      
7.37400000e+01      6.40000000e-02      
7.37800000e+01      8.19380000e-02      
7.38400000e+01      2.16960000e-02      
7.39700000e+01      2.53910000e-01      
7.40500000e+01      1.67310000e-01      
7.41400000e+01      4.65000000e-02      
7.42600000e+01      1.94770000e-01      
7.43700000e+01      1.04950000e-01      
7.44700000e+01      4.11070000e-01      
7.45500000e+01      1.85920000e-01      
7.46500000e+01      5.29640000e-01      
7.47000000e+01      3.50940000e-01      
7.47600000e+01      2.05930000e-01      
7.48400000e+01      1.61060000e-01      
7.49300000e+01      5.19710000e-01      
7.49600000e+01      3.93940000e-01      
7.50800000e+01      6.91360000e-01      
7.52000000e+01      2.63690000e-01      
7.52500000e+01      3.75000000e-01      
7.52900000e+01      4.04120000e-01      
7.54300000e+01      3.24950000e-01      
7.56500000e+01      3.32690000e-01      
7.57300000e+01      5.40620000e-01      
7.57700000e+01      4.25990000e-01      
7.58500000e+01      3.08640000e-01      
7.58700000e+01      2.50210000e-01      
7.59400000e+01      1.39660000e-01      
7.59500000e+01      3.10260000e-01      
7.60300000e+01      4.29800000e-01      
7.61100000e+01      4.48880000e-01      
7.61500000e+01      5.29720000e-01      
7.62000000e+01      5.39570000e-01      
7.62700000e+01      4.06250000e-01      
7.63300000e+01      2.00000000e-01      
7.63600000e+01      2.05170000e-01      
7.64400000e+01      3.10370000e-01      
7.64500000e+01      3.71000000e-01      
7.65000000e+01      2.53730000e-01      
7.65100000e+01      2.29510000e-01      
7.67000000e+01      1.21050000e-01      
7.68500000e+01      4.00000000e-01      
7.70500000e+01      2.25490000e-01      
7.71500000e+01      5.59240000e-01      
7.74000000e+01      2.75000000e-01      
7.74500000e+01      6.00000000e-01      
7.78500000e+01      5.14930000e-01      
7.79900000e+01      3.50000000e-01      
7.80000000e+01      4.93290000e-01      
7.81000000e+01      1.91950000e-01      
7.82500000e+01      3.46210000e-01      
7.83500000e+01      5.47900000e-01      
7.85200000e+01      4.19870000e-01      
7.86200000e+01      4.42950000e-01      
7.87700000e+01      1.09990000e-01      
7.88000000e+01      2.98390000e-01      
7.89500000e+01      5.06800000e-01      
7.90200000e+01      5.46260000e-01      
7.90500000e+01      4.19810000e-01      
7.92000000e+01      2.80460000e-01      
7.93500000e+01      7.95120000e-01      
7.95000000e+01      8.67920000e-01      
7.98000000e+01      1.00000000e+00      
8.01000000e+01      1.00000000e+00      
8.01500000e+01      1.00000000e+00      
8.02200000e+01      1.00000000e+00      
8.02300000e+01      1.00000000e+00      
8.03700000e+01      1.00000000e+00      
8.04000000e+01      1.00000000e+00      
8.04500000e+01      1.00000000e+00      
8.05000000e+01      1.00000000e+00      
8.05800000e+01      1.00000000e+00      
8.06000000e+01      1.00000000e+00      
8.06300000e+01      1.00000000e+00      
8.06500000e+01      1.00000000e+00      
8.06600000e+01      1.00000000e+00      
8.08000000e+01      1.00000000e+00      
8.08800000e+01      1.00000000e+00      
8.09000000e+01      1.00000000e+00      
8.10000000e+01      1.00000000e+00      
8.10500000e+01      1.00000000e+00      
8.11500000e+01      1.00000000e+00      
8.12500000e+01      1.00000000e+00      
8.13500000e+01      1.00000000e+00      
8.13700000e+01      1.00000000e+00      
8.15000000e+01      1.00000000e+00      
8.16000000e+01      1.00000000e+00      
8.17500000e+01      1.00000000e+00      
8.18600000e+01      1.00000000e+00      
8.19000000e+01      1.00000000e+00      
8.20100000e+01      1.00000000e+00      
