N2 (wavelength = nm, xs = cm2/molecule)
wavelength          300K                
1.00000000e-01      8.00000000e-23      
9.90000000e-01      4.20000000e-20      
1.34000000e+00      8.90000000e-20      
2.90000000e+00      1.40000000e-18      
3.00000000e+00      7.00000000e-20      
4.46000000e+00      1.80000000e-19      
6.80000000e+00      4.50000000e-19      
1.00000000e+01      8.50000000e-19      
1.50000000e+01      2.40000000e-18      
2.09300000e+01      6.50000000e-18      
2.47200000e+01      9.80000000e-18      
3.03800000e+01      1.20000000e-17      
3.48000000e+01      1.60000000e-17      
3.95000000e+01      1.85000000e-17      
4.30000000e+01      2.10000000e-17      
4.35000000e+01      2.37000000e-17      
4.98000000e+01      2.42000000e-17      
5.07500000e+01      2.43000000e-17      
5.08200000e+01      2.23000000e-17      
5.10400000e+01      2.30000000e-17      
5.19600000e+01      2.58000000e-17      
5.22200000e+01      2.36000000e-17      
5.25800000e+01      2.62000000e-17      
5.37000000e+01      2.52000000e-17      
5.53300000e+01      2.49000000e-17      
5.54100000e+01      2.53000000e-17      
5.54500000e+01      2.46000000e-17      
5.55300000e+01      2.48000000e-17      
5.84300000e+01      2.31000000e-17      
5.97800000e+01      2.34000000e-17      
5.99600000e+01      2.34000000e-17      
6.00000000e+01      2.74000000e-17      
6.08400000e+01      2.34000000e-17      
6.09800000e+01      2.60000000e-17      
6.10800000e+01      2.33000000e-17      
6.17000000e+01      2.37000000e-17      
6.20000000e+01      2.90000000e-17      
6.24600000e+01      2.40000000e-17      
6.25100000e+01      2.39000000e-17      
6.25800000e+01      2.40000000e-17      
6.29700000e+01      2.42000000e-17      
6.30000000e+01      2.92000000e-17      
6.40000000e+01      2.94000000e-17      
6.50000000e+01      2.94000000e-17      
6.60000000e+01      2.79000000e-17      
6.70000000e+01      2.21000000e-17      
6.71400000e+01      2.38000000e-17      
6.74100000e+01      2.16000000e-17      
6.75100000e+01      2.57000000e-17      
6.79700000e+01      2.16000000e-17      
6.81900000e+01      2.90000000e-17      
6.85000000e+01      2.43000000e-17      
6.85700000e+01      2.49000000e-17      
6.86300000e+01      2.41000000e-17      
6.90900000e+01      2.08000000e-17      
6.94900000e+01      3.54000000e-17      
7.00000000e+01      2.38000000e-17      
7.10000000e+01      2.53000000e-17      
7.15300000e+01      2.31000000e-17      
7.21300000e+01      2.68000000e-17      
7.23400000e+01      4.91000000e-17      
7.26000000e+01      2.57000000e-17      
7.29500000e+01      2.96000000e-17      
7.33000000e+01      2.62000000e-17      
7.34800000e+01      2.66000000e-17      
7.35900000e+01      2.20000000e-17      
7.36800000e+01      2.31000000e-17      
7.37400000e+01      1.75000000e-17      
7.37800000e+01      2.27000000e-17      
7.38400000e+01      1.71000000e-17      
7.39700000e+01      2.43000000e-17      
7.40500000e+01      1.56000000e-17      
7.41400000e+01      1.60000000e-17      
7.42600000e+01      1.53000000e-17      
7.43700000e+01      2.83000000e-17      
7.44700000e+01      2.53000000e-17      
7.45500000e+01      2.77000000e-17      
7.46500000e+01      2.53000000e-17      
7.47000000e+01      2.12000000e-17      
7.47600000e+01      2.53000000e-17      
7.48400000e+01      2.08000000e-17      
7.49300000e+01      2.79000000e-17      
7.49600000e+01      2.64000000e-17      
7.50800000e+01      3.24000000e-17      
7.52000000e+01      1.57000000e-17      
7.52500000e+01      2.08000000e-17      
7.52900000e+01      1.94000000e-17      
7.54300000e+01      5.17000000e-17      
7.56500000e+01      1.56000000e-17      
7.57300000e+01      3.57000000e-17      
7.57700000e+01      2.27000000e-17      
7.58500000e+01      3.24000000e-17      
7.58700000e+01      2.39000000e-17      
7.59400000e+01      1.16000000e-17      
7.59500000e+01      1.56000000e-17      
7.60300000e+01      1.98000000e-17      
7.61100000e+01      4.01000000e-17      
7.61500000e+01      3.87000000e-17      
7.62000000e+01      2.78000000e-17      
7.62700000e+01      1.28000000e-17      
7.63300000e+01      2.73000000e-17      
7.63600000e+01      2.90000000e-17      
7.64400000e+01      1.35000000e-17      
7.64500000e+01      2.31000000e-17      
7.65000000e+01      4.69000000e-17      
7.65100000e+01      8.54000000e-17      
7.67000000e+01      1.14000000e-17      
7.68500000e+01      2.90000000e-17      
7.70500000e+01      1.02000000e-17      
7.71500000e+01      6.33000000e-17      
7.74000000e+01      1.04000000e-17      
7.74500000e+01      3.40000000e-17      
7.78500000e+01      2.68000000e-17      
7.79900000e+01      1.28000000e-17      
7.80000000e+01      1.49000000e-17      
7.81000000e+01      4.47000000e-17      
7.82500000e+01      1.45000000e-17      
7.83500000e+01      8.56000000e-17      
7.85200000e+01      1.51000000e-17      
7.86200000e+01      2.98000000e-17      
7.87700000e+01      8.41000000e-18      
7.88000000e+01      7.44000000e-18      
7.89500000e+01      2.94000000e-17      
