O2 + hv => O + O1D (wavelength = nm, qy = unitless)
wavelength          300K                
1.00000000e-01      0.00000000e+00      
4.00000000e-01      0.00000000e+00      
7.50000000e-01      0.00000000e+00      
9.90000000e-01      0.00000000e+00      
1.25000000e+00      0.00000000e+00      
1.34000000e+00      0.00000000e+00      
1.90000000e+00      0.00000000e+00      
2.69000000e+00      0.00000000e+00      
3.60000000e+00      0.00000000e+00      
4.13000000e+00      0.00000000e+00      
4.86000000e+00      0.00000000e+00      
5.15000000e+00      0.00000000e+00      
5.28000000e+00      0.00000000e+00      
5.77000000e+00      0.00000000e+00      
6.36000000e+00      0.00000000e+00      
6.80000000e+00      0.00000000e+00      
7.08000000e+00      0.00000000e+00      
7.25000000e+00      0.00000000e+00      
8.00000000e+00      0.00000000e+00      
9.18000000e+00      0.00000000e+00      
9.30000000e+00      0.00000000e+00      
1.00000000e+01      0.00000000e+00      
1.07800000e+01      0.00000000e+00      
1.20500000e+01      0.00000000e+00      
1.30500000e+01      0.00000000e+00      
1.51500000e+01      0.00000000e+00      
1.65300000e+01      0.00000000e+00      
1.67500000e+01      0.00000000e+00      
1.69800000e+01      0.00000000e+00      
1.72200000e+01      0.00000000e+00      
1.72500000e+01      0.00000000e+00      
1.74600000e+01      0.00000000e+00      
1.77100000e+01      0.00000000e+00      
1.79700000e+01      0.00000000e+00      
1.82300000e+01      0.00000000e+00      
1.85000000e+01      0.00000000e+00      
1.85100000e+01      0.00000000e+00      
1.87900000e+01      0.00000000e+00      
1.90700000e+01      0.00000000e+00      
1.93700000e+01      0.00000000e+00      
1.96800000e+01      0.00000000e+00      
1.97500000e+01      0.00000000e+00      
2.00000000e+01      0.00000000e+00      
2.03300000e+01      0.00000000e+00      
2.06600000e+01      0.00000000e+00      
2.09300000e+01      0.00000000e+00      
2.10100000e+01      0.00000000e+00      
2.12500000e+01      0.00000000e+00      
2.13800000e+01      0.00000000e+00      
2.17500000e+01      0.00000000e+00      
2.21400000e+01      0.00000000e+00      
2.25400000e+01      0.00000000e+00      
2.29600000e+01      0.00000000e+00      
2.30000000e+01      0.00000000e+00      
2.33900000e+01      0.00000000e+00      
2.38400000e+01      0.00000000e+00      
2.43100000e+01      0.00000000e+00      
2.47200000e+01      0.00000000e+00      
2.48000000e+01      0.00000000e+00      
2.50000000e+01      0.00000000e+00      
2.53000000e+01      0.00000000e+00      
2.57000000e+01      0.00000000e+00      
2.58300000e+01      0.00000000e+00      
2.63800000e+01      0.00000000e+00      
2.69500000e+01      0.00000000e+00      
2.70000000e+01      0.00000000e+00      
2.75500000e+01      0.00000000e+00      
2.81800000e+01      0.00000000e+00      
2.88300000e+01      0.00000000e+00      
2.95000000e+01      0.00000000e+00      
2.95200000e+01      0.00000000e+00      
3.02400000e+01      0.00000000e+00      
3.03800000e+01      0.00000000e+00      
3.10000000e+01      0.00000000e+00      
3.17900000e+01      0.00000000e+00      
3.26300000e+01      0.00000000e+00      
3.35100000e+01      0.00000000e+00      
3.44400000e+01      0.00000000e+00      
3.54200000e+01      0.00000000e+00      
3.64700000e+01      0.00000000e+00      
3.75700000e+01      0.00000000e+00      
3.87500000e+01      0.00000000e+00      
4.00000000e+01      0.00000000e+00      
4.13300000e+01      0.00000000e+00      
4.27500000e+01      0.00000000e+00      
4.30200000e+01      0.00000000e+00      
4.35000000e+01      0.00000000e+00      
4.42800000e+01      0.00000000e+00      
4.59200000e+01      0.00000000e+00      
4.76900000e+01      0.00000000e+00      
4.95900000e+01      0.00000000e+00      
5.07700000e+01      0.00000000e+00      
5.08200000e+01      0.00000000e+00      
5.16600000e+01      0.00000000e+00      
5.22200000e+01      0.00000000e+00      
5.25800000e+01      0.00000000e+00      
5.37000000e+01      0.00000000e+00      
5.39100000e+01      0.00000000e+00      
5.53300000e+01      0.00000000e+00      
5.54100000e+01      0.00000000e+00      
5.54500000e+01      0.00000000e+00      
5.55300000e+01      0.00000000e+00      
5.63600000e+01      0.00000000e+00      
5.84300000e+01      0.00000000e+00      
5.90400000e+01      0.00000000e+00      
