OCS (wavelength = nm, xs = cm2/molecule)
wavelength          300K                
6.00000000e-02      3.30000000e-22      
1.10000000e-01      2.80000000e-21      
2.40000000e-01      1.90000000e-20      
5.00000000e-01      1.30000000e-19      
5.20000000e-01      2.50000000e-20      
6.20000000e-01      4.30000000e-20      
1.26000000e+00      3.00000000e-19      
2.26000000e+00      8.50000000e-19      
2.36000000e+00      7.00000000e-19      
2.46000000e+00      7.70000000e-19      
5.03000000e+00      3.80000000e-18      
5.25000000e+00      3.50000000e-18      
6.21000000e+00      5.00000000e-18      
6.75000000e+00      5.80000000e-18      
7.05000000e+00      3.00000000e-18      
7.35000000e+00      1.00000000e-18      
1.21700000e+01      2.80000000e-18      
2.48000000e+01      9.75000000e-20      
2.53000000e+01      8.20000000e-20      
2.58000000e+01      9.20000000e-20      
2.64000000e+01      1.00000000e-19      
2.70000000e+01      1.02000000e-19      
2.76000000e+01      9.38000000e-20      
2.82000000e+01      9.93000000e-20      
2.88000000e+01      9.66000000e-20      
2.95000000e+01      1.10000000e-19      
3.02000000e+01      1.05000000e-19      
3.10000000e+01      1.08000000e-19      
3.18000000e+01      1.12000000e-19      
3.26000000e+01      1.10000000e-19      
3.35000000e+01      1.14000000e-19      
3.44000000e+01      1.20000000e-19      
3.54000000e+01      1.28000000e-19      
3.65000000e+01      1.33000000e-19      
3.76000000e+01      1.43000000e-19      
3.87000000e+01      1.46000000e-19      
4.00000000e+01      1.59000000e-19      
4.13000000e+01      1.67000000e-19      
4.28000000e+01      1.81000000e-19      
4.43000000e+01      1.93000000e-19      
4.59000000e+01      2.05000000e-19      
4.77000000e+01      2.21000000e-19      
4.96000000e+01      2.38000000e-19      
5.17000000e+01      2.49000000e-19      
5.39000000e+01      2.71000000e-19      
5.64000000e+01      2.96000000e-19      
5.90000000e+01      3.17000000e-19      
6.20000000e+01      3.53000000e-19      
6.53000000e+01      4.01000000e-19      
6.54000000e+01      4.00000000e-19      
6.89000000e+01      3.91000000e-19      
7.29000000e+01      3.54000000e-19      
7.75000000e+01      3.03000000e-19      
8.27000000e+01      3.70000000e-19      
8.86000000e+01      5.17000000e-19      
9.07000000e+01      5.00000000e-19      
9.54000000e+01      4.87000000e-19      
1.06000000e+02      2.88000000e-17      
1.07000000e+02      2.90000000e-17      
1.08000000e+02      2.88000000e-17      
1.09000000e+02      2.88000000e-17      
1.10000000e+02      2.52000000e-17      
1.11000000e+02      2.45000000e-17      
1.12000000e+02      2.25000000e-17      
1.13000000e+02      2.20000000e-17      
1.13700000e+02      2.70000000e-17      
1.14000000e+02      1.75000000e-17      
1.14500000e+02      2.55000000e-17      
1.14800000e+02      1.50000000e-17      
1.15000000e+02      2.60000000e-17      
1.15800000e+02      1.70000000e-17      
1.16400000e+02      3.50000000e-17      
1.16800000e+02      1.75000000e-17      
1.17100000e+02      2.35000000e-17      
1.17200000e+02      1.35000000e-17      
1.18000000e+02      1.80000000e-17      
1.18500000e+02      1.35000000e-17      
1.19000000e+02      2.20000000e-17      
1.19200000e+02      1.70000000e-17      
1.20000000e+02      3.15000000e-17      
1.20700000e+02      1.65000000e-17      
1.21000000e+02      2.50000000e-17      
1.21400000e+02      7.50000000e-18      
1.22000000e+02      1.30000000e-17      
1.23000000e+02      1.70000000e-17      
1.24000000e+02      7.00000000e-18      
1.24500000e+02      2.98000000e-18      
