SO + hv => S + O (wavelength = nm, qy = unitless)
wavelength          300K                
6.00000000e-02      0.00000000e+00      
1.20000000e-01      0.00000000e+00      
2.40000000e-01      0.00000000e+00      
6.20000000e-01      0.00000000e+00      
1.26000000e+00      0.00000000e+00      
2.36000000e+00      0.00000000e+00      
2.46000000e+00      0.00000000e+00      
6.21000000e+00      0.00000000e+00      
6.75000000e+00      0.00000000e+00      
7.05000000e+00      0.00000000e+00      
7.35000000e+00      0.00000000e+00      
1.21700000e+01      0.00000000e+00      
2.00000000e+01      0.00000000e+00      
3.00000000e+01      0.00000000e+00      
4.00000000e+01      0.00000000e+00      
5.00000000e+01      0.00000000e+00      
6.00000000e+01      0.00000000e+00      
7.00000000e+01      0.00000000e+00      
8.00000000e+01      0.00000000e+00      
1.20500000e+02      0.00000000e+00      
1.20600000e+02      1.00000000e+00      
1.90000000e+02      1.00000000e+00      
1.91000000e+02      1.00000000e+00      
1.92000000e+02      1.00000000e+00      
1.92500000e+02      1.00000000e+00      
1.93000000e+02      1.00000000e+00      
1.93500000e+02      1.00000000e+00      
1.94000000e+02      1.00000000e+00      
1.94250000e+02      1.00000000e+00      
1.94500000e+02      1.00000000e+00      
1.94750000e+02      1.00000000e+00      
1.95000000e+02      1.00000000e+00      
1.95500000e+02      1.00000000e+00      
1.95750000e+02      1.00000000e+00      
1.96000000e+02      1.00000000e+00      
1.96250000e+02      1.00000000e+00      
1.96750000e+02      1.00000000e+00      
1.97000000e+02      1.00000000e+00      
1.97500000e+02      1.00000000e+00      
1.97750000e+02      1.00000000e+00      
1.98250000e+02      1.00000000e+00      
1.98500000e+02      1.00000000e+00      
1.99500000e+02      1.00000000e+00      
2.00000000e+02      1.00000000e+00      
2.00700000e+02      1.00000000e+00      
2.01400000e+02      1.00000000e+00      
2.02000000e+02      1.00000000e+00      
2.03000000e+02      1.00000000e+00      
2.03600000e+02      1.00000000e+00      
2.04200000e+02      1.00000000e+00      
2.04500000e+02      1.00000000e+00      
2.05000000e+02      1.00000000e+00      
2.05200000e+02      1.00000000e+00      
2.06500000e+02      1.00000000e+00      
2.07200000e+02      1.00000000e+00      
2.07500000e+02      1.00000000e+00      
2.08500000e+02      1.00000000e+00      
2.09500000e+02      1.00000000e+00      
2.09800000e+02      1.00000000e+00      
2.11500000e+02      1.00000000e+00      
2.12200000e+02      1.00000000e+00      
2.12500000e+02      1.00000000e+00      
2.13500000e+02      1.00000000e+00      
2.14000000e+02      1.00000000e+00      
2.14500000e+02      1.00000000e+00      
2.15000000e+02      1.00000000e+00      
2.16500000e+02      1.00000000e+00      
2.17000000e+02      1.00000000e+00      
2.19000000e+02      1.00000000e+00      
2.19700000e+02      1.00000000e+00      
2.20000000e+02      1.00000000e+00      
2.21500000e+02      1.00000000e+00      
2.23000000e+02      1.00000000e+00      
2.24500000e+02      1.00000000e+00      
2.26000000e+02      1.00000000e+00      
2.27500000e+02      1.00000000e+00      
2.28500000e+02      1.00000000e+00      
2.30000000e+02      1.00000000e+00      
2.31400000e+02      1.00000000e+00      
