SO (wavelength = nm, xs = cm2/molecule)
wavelength          300K                
6.00000000e-02      3.25000000e-22      
1.20000000e-01      2.76000000e-21      
2.40000000e-01      1.88000000e-20      
6.20000000e-01      3.72000000e-20      
1.26000000e+00      2.61000000e-19      
2.36000000e+00      6.68000000e-19      
2.46000000e+00      7.65000000e-19      
6.21000000e+00      4.75000000e-18      
6.75000000e+00      5.62000000e-18      
7.05000000e+00      2.93000000e-18      
7.35000000e+00      8.37000000e-19      
1.21700000e+01      2.29000000e-18      
2.00000000e+01      6.00000000e-18      
3.00000000e+01      6.00000000e-18      
4.00000000e+01      1.20000000e-17      
5.00000000e+01      2.00000000e-17      
6.00000000e+01      3.70000000e-17      
7.00000000e+01      3.90000000e-17      
8.00000000e+01      2.00000000e-17      
1.20500000e+02      1.55000000e-17      
1.20600000e+02      1.55000000e-17      
1.90000000e+02      8.00000000e-18      
1.91000000e+02      1.05000000e-17      
1.92000000e+02      1.10000000e-17      
1.92500000e+02      1.35000000e-17      
1.93000000e+02      1.40000000e-17      
1.93500000e+02      8.00000000e-18      
1.94000000e+02      1.45000000e-17      
1.94250000e+02      8.50000000e-18      
1.94500000e+02      1.25000000e-17      
1.94750000e+02      9.00000000e-18      
1.95000000e+02      1.60000000e-17      
1.95500000e+02      1.10000000e-17      
1.95750000e+02      1.65000000e-17      
1.96000000e+02      1.05000000e-17      
1.96250000e+02      1.55000000e-17      
1.96750000e+02      1.20000000e-17      
1.97000000e+02      1.80000000e-17      
1.97500000e+02      1.10000000e-17      
1.97750000e+02      1.90000000e-17      
1.98250000e+02      1.20000000e-17      
1.98500000e+02      1.90000000e-17      
1.99500000e+02      8.00000000e-18      
2.00000000e+02      2.73000000e-17      
2.00700000e+02      1.10000000e-17      
2.01400000e+02      6.00000000e-18      
2.02000000e+02      2.76000000e-17      
2.03000000e+02      6.20000000e-18      
2.03600000e+02      5.50000000e-18      
2.04200000e+02      2.74000000e-17      
2.04500000e+02      5.00000000e-18      
2.05000000e+02      3.50000000e-18      
2.05200000e+02      2.74000000e-17      
2.06500000e+02      3.50000000e-18      
2.07200000e+02      2.60000000e-18      
2.07500000e+02      2.70000000e-17      
2.08500000e+02      4.00000000e-18      
2.09500000e+02      2.00000000e-18      
2.09800000e+02      2.25000000e-17      
2.11500000e+02      1.00000000e-18      
2.12200000e+02      6.20000000e-18      
2.12500000e+02      2.10000000e-17      
2.13500000e+02      2.40000000e-18      
2.14000000e+02      1.50000000e-18      
2.14500000e+02      1.78000000e-17      
2.15000000e+02      6.00000000e-18      
2.16500000e+02      1.00000000e-18      
2.17000000e+02      1.25000000e-17      
2.19000000e+02      1.00000000e-18      
2.19700000e+02      1.00000000e-18      
2.20000000e+02      8.00000000e-18      
2.21500000e+02      1.00000000e-24      
2.23000000e+02      5.20000000e-18      
2.24500000e+02      1.00000000e-24      
2.26000000e+02      2.00000000e-18      
2.27500000e+02      1.00000000e-24      
2.28500000e+02      1.00000000e-18      
2.30000000e+02      1.00000000e-24      
2.31400000e+02      1.00000000e-24      
