CO2 (wavelength = nm, xs = cm2/molecule)
wavelength          300K                
1.00000000e-01      1.00000000e-21      
4.00000000e-01      1.20000000e-20      
7.50000000e-01      7.50000000e-20      
1.25000000e+00      2.70000000e-19      
1.90000000e+00      7.00000000e-19      
2.69000000e+00      9.00000000e-20      
3.60000000e+00      2.00000000e-19      
5.15000000e+00      4.40000000e-19      
7.25000000e+00      8.00000000e-19      
9.30000000e+00      1.40000000e-18      
1.20500000e+01      2.20000000e-18      
1.51500000e+01      4.20000000e-18      
1.72500000e+01      1.10000000e-17      
1.85000000e+01      1.90000000e-17      
1.97500000e+01      1.90000000e-17      
2.12500000e+01      1.90000000e-17      
2.30000000e+01      2.50000000e-17      
2.50000000e+01      2.60000000e-17      
2.57000000e+01      2.60000000e-17      
2.70000000e+01      2.60000000e-17      
3.03800000e+01      2.34000000e-17      
4.35000000e+01      2.76000000e-17      
5.07400000e+01      3.00000000e-17      
5.07700000e+01      3.00000000e-17      
5.08200000e+01      2.89000000e-17      
5.22200000e+01      2.98000000e-17      
5.25800000e+01      3.12000000e-17      
5.37000000e+01      3.14000000e-17      
5.53300000e+01      3.38000000e-17      
5.54100000e+01      3.04000000e-17      
5.54500000e+01      3.32000000e-17      
5.55300000e+01      3.39000000e-17      
5.82700000e+01      2.15000000e-17      
5.85200000e+01      2.26000000e-17      
5.90000000e+01      2.30000000e-17      
6.05000000e+01      2.41000000e-17      
6.10000000e+01      2.38000000e-17      
6.15000000e+01      2.49000000e-17      
6.20000000e+01      2.23000000e-17      
6.25000000e+01      2.20000000e-17      
6.30000000e+01      2.20000000e-17      
6.36900000e+01      2.17000000e-17      
6.40000000e+01      2.16000000e-17      
6.50000000e+01      2.12000000e-17      
6.59500000e+01      2.04000000e-17      
6.65000000e+01      2.20000000e-17      
6.70000000e+01      2.08000000e-17      
6.75000000e+01      2.15000000e-17      
6.77000000e+01      2.12000000e-17      
6.80000000e+01      2.01000000e-17      
6.82000000e+01      2.16000000e-17      
6.83000000e+01      2.42000000e-17      
6.85000000e+01      2.34000000e-17      
6.86000000e+01      2.19000000e-17      
6.87000000e+01      2.49000000e-17      
6.88700000e+01      2.60000000e-17      
6.89300000e+01      2.49000000e-17      
6.89600000e+01      2.64000000e-17      
6.90000000e+01      1.86000000e-17      
6.90400000e+01      2.90000000e-17      
6.90900000e+01      2.01000000e-17      
6.91500000e+01      2.90000000e-17      
6.92100000e+01      1.71000000e-17      
6.92400000e+01      2.93000000e-17      
6.92900000e+01      2.79000000e-17      
6.93200000e+01      2.05000000e-17      
6.93600000e+01      1.60000000e-17      
6.94100000e+01      4.13000000e-17      
6.94400000e+01      2.75000000e-17      
6.94800000e+01      3.35000000e-17      
6.95700000e+01      1.78000000e-17      
6.96200000e+01      2.01000000e-17      
6.96600000e+01      4.47000000e-17      
6.97000000e+01      2.27000000e-17      
6.97300000e+01      2.19000000e-17      
6.97800000e+01      2.42000000e-17      
6.98500000e+01      1.82000000e-17      
