Cl2 (wavelength = nm, xs = cm2/molecule)
wavelength          300K                
1.76200000e+02      0.00000000e+00      
1.77800000e+02      0.00000000e+00      
1.79400000e+02      0.00000000e+00      
1.81000000e+02      0.00000000e+00      
1.82650000e+02      0.00000000e+00      
1.84350000e+02      0.00000000e+00      
1.86050000e+02      0.00000000e+00      
1.87800000e+02      0.00000000e+00      
1.89600000e+02      0.00000000e+00      
1.91400000e+02      0.00000000e+00      
1.93250000e+02      0.00000000e+00      
1.95150000e+02      0.00000000e+00      
1.97050000e+02      0.00000000e+00      
1.99000000e+02      0.00000000e+00      
2.01000000e+02      0.00000000e+00      
2.03050000e+02      0.00000000e+00      
2.05150000e+02      0.00000000e+00      
2.07250000e+02      0.00000000e+00      
2.09400000e+02      0.00000000e+00      
2.11650000e+02      0.00000000e+00      
2.13950000e+02      0.00000000e+00      
2.16250000e+02      0.00000000e+00      
2.18700000e+02      0.00000000e+00      
2.21100000e+02      0.00000000e+00      
2.23450000e+02      0.00000000e+00      
2.26000000e+02      0.00000000e+00      
2.28600000e+02      0.00000000e+00      
2.31250000e+02      0.00000000e+00      
2.33950000e+02      0.00000000e+00      
2.36700000e+02      0.00000000e+00      
2.39550000e+02      8.00000000e-22      
2.42450000e+02      8.60000000e-22      
2.45400000e+02      9.60000000e-22      
2.48450000e+02      1.10000000e-21      
2.51600000e+02      1.30000000e-21      
2.54800000e+02      1.50000000e-21      
2.58050000e+02      2.00000000e-21      
2.61450000e+02      2.70000000e-21      
2.64950000e+02      3.90000000e-21      
2.68500000e+02      6.00000000e-21      
2.72150000e+02      1.10000000e-20      
2.75900000e+02      1.80000000e-20      
2.79750000e+02      2.70000000e-20      
2.83700000e+02      3.90000000e-20      
2.87800000e+02      5.60000000e-20      
2.92000000e+02      7.70000000e-20      
2.96300000e+02      1.00000000e-19      
3.00750000e+02      1.20000000e-19      
3.05350000e+02      1.50000000e-19      
3.10100000e+02      1.80000000e-19      
3.15000000e+02      2.10000000e-19      
3.20000000e+02      2.30000000e-19      
3.25000000e+02      2.50000000e-19      
3.30000000e+02      2.60000000e-19      
3.35000000e+02      2.50000000e-19      
3.40000000e+02      2.40000000e-19      
3.43750000e+02      2.10000000e-19      
3.50000000e+02      1.90000000e-19      
3.60000000e+02      1.30000000e-19      
3.70000000e+02      8.30000000e-20      
3.80000000e+02      4.90000000e-20      
3.90000000e+02      3.30000000e-20      
4.00000000e+02      1.90000000e-20      
4.10000000e+02      1.30000000e-20      
4.20000000e+02      9.90000000e-21      
4.30000000e+02      7.30000000e-21      
4.40000000e+02      5.30000000e-21      
4.50000000e+02      3.40000000e-21      
