H2CO (wavelength = nm, xs = cm2/molecule)
wavelength          300K                
1.00000000e-01      9.00000000e-23      
1.00000000e+00      9.10000000e-20      
2.25000000e+00      7.60000000e-19      
2.35000000e+00      2.40000000e-19      
4.10000000e+00      1.10000000e-18      
4.30000000e+00      1.60000000e-19      
5.00000000e+00      2.50000000e-19      
1.00000000e+01      1.30000000e-18      
2.00000000e+01      5.90000000e-18      
3.00000000e+01      1.00000000e-17      
4.00000000e+01      1.42000000e-17      
5.00000000e+01      1.81000000e-17      
6.00000000e+01      2.50000000e-17      
6.15000000e+01      3.30000000e-17      
6.24000000e+01      3.10000000e-17      
6.28000000e+01      3.75000000e-17      
6.34000000e+01      3.50000000e-17      
6.42000000e+01      3.70000000e-17      
6.60000000e+01      3.40000000e-17      
6.70000000e+01      3.00000000e-17      
6.80000000e+01      3.60000000e-17      
6.90000000e+01      3.49000000e-17      
7.04000000e+01      3.49000000e-17      
7.19000000e+01      3.30000000e-17      
7.21000000e+01      3.70000000e-17      
7.23000000e+01      3.70000000e-17      
7.25000000e+01      3.00000000e-17      
7.35000000e+01      3.30000000e-17      
7.37000000e+01      2.71000000e-17      
7.41000000e+01      2.80000000e-17      
7.44000000e+01      3.50000000e-17      
7.50000000e+01      3.40000000e-17      
7.52000000e+01      3.09000000e-17      
7.60000000e+01      3.20000000e-17      
7.70000000e+01      3.70000000e-17      
7.74000000e+01      3.50000000e-17      
7.78000000e+01      4.40000000e-17      
7.80000000e+01      4.10000000e-17      
7.85000000e+01      4.80000000e-17      
7.91000000e+01      4.80000000e-17      
7.93000000e+01      4.09000000e-17      
8.00000000e+01      4.70000000e-17      
8.01000000e+01      3.51000000e-17      
8.05000000e+01      4.10000000e-17      
8.07000000e+01      3.30000000e-17      
8.12000000e+01      3.70000000e-17      
8.13000000e+01      4.80000000e-17      
8.15000000e+01      3.70000000e-17      
8.30000000e+01      4.10000000e-17      
8.32000000e+01      3.20000000e-17      
8.38000000e+01      4.70000000e-17      
8.40000000e+01      3.00000000e-17      
8.44000000e+01      4.10000000e-17      
8.50000000e+01      2.40000000e-17      
8.53000000e+01      3.60000000e-17      
8.57000000e+01      2.40000000e-17      
8.60000000e+01      2.80000000e-17      
8.67000000e+01      1.89000000e-17      
8.70000000e+01      2.49000000e-17      
8.75000000e+01      1.90000000e-17      
8.79000000e+01      2.89000000e-17      
8.81000000e+01      1.30000000e-17      
8.82000000e+01      1.38000000e-17      
9.00000000e+01      3.90000000e-17      
9.06000000e+01      3.60000000e-17      
9.10000000e+01      3.00000000e-17      
9.15000000e+01      4.60000000e-17      
9.19000000e+01      3.70000000e-17      
9.27000000e+01      5.00000000e-17      
9.28000000e+01      5.90000000e-17      
9.30000000e+01      5.20000000e-17      
9.33000000e+01      5.20000000e-17      
9.35000000e+01      7.10000000e-17      
9.38000000e+01      4.70000000e-17      
9.44000000e+01      6.70000000e-17      
9.50000000e+01      3.49000000e-17      
9.56000000e+01      5.80000000e-17      
9.60000000e+01      3.30000000e-17      
9.65000000e+01      2.40000000e-17      
9.70000000e+01      3.20000000e-17      
9.72000000e+01      2.01000000e-17      
9.81000000e+01      3.20000000e-17      
9.90000000e+01      1.50000000e-17      
1.00000000e+02      1.70000000e-17      
1.04300000e+02      1.62000000e-17      
1.04310000e+02      1.62000000e-17      
1.10000000e+02      1.51000000e-17      
1.14170000e+02      1.67000000e-17      
1.15000000e+02      1.70000000e-17      
1.16000000e+02      1.90000000e-17      
1.16400000e+02      1.10000000e-17      
1.16800000e+02      1.80000000e-17      
1.17200000e+02      9.30000000e-18      
1.17700000e+02      2.60000000e-17      
1.18100000e+02      7.40000000e-18      
1.18500000e+02      1.80000000e-17      
1.18900000e+02      9.00000000e-18      
1.19200000e+02      2.20000000e-17      
1.20500000e+02      3.70000000e-18      
1.21000000e+02      1.90000000e-17      
1.21500000e+02      7.40000000e-18      
1.22200000e+02      3.20000000e-17      
1.22600000e+02      7.30000000e-18      
1.23400000e+02      7.20000000e-18      
1.23700000e+02      3.00000000e-17      
1.24000000e+02      6.00000000e-18      
1.25600000e+02      8.60000000e-18      
1.26000000e+02      2.60000000e-17      
1.26600000e+02      7.40000000e-18      
1.28300000e+02      1.50000000e-17      
1.28800000e+02      7.30000000e-17      
1.29100000e+02      2.40000000e-17      
1.29300000e+02      3.10000000e-17      
1.29800000e+02      6.00000000e-18      
1.30200000e+02      1.20000000e-17      
1.30600000e+02      6.00000000e-18      
1.32100000e+02      6.00000000e-18      
1.33000000e+02      3.00000000e-18      
1.33900000e+02      1.40000000e-17      
1.34700000e+02      7.00000000e-18      
1.35000000e+02      1.90000000e-17      
1.35800000e+02      7.00000000e-18      
1.37000000e+02      1.10000000e-17      
1.37400000e+02      4.80000000e-17      
1.37700000e+02      1.30000000e-17      
1.38800000e+02      6.00000000e-18      
1.39400000e+02      8.00000000e-18      
1.39800000e+02      5.20000000e-17      
1.40000000e+02      1.00000000e-17      
1.41000000e+02      4.00000000e-18      
1.45000000e+02      3.00000000e-18      
1.47500000e+02      6.00000000e-18      
1.49000000e+02      4.00000000e-18      
1.50100000e+02      2.40000000e-17      
1.50600000e+02      5.00000000e-18      
1.51500000e+02      5.00000000e-18      
1.52000000e+02      5.80000000e-17      
1.52400000e+02      3.50000000e-17      
1.52800000e+02      7.10000000e-17      
1.53300000e+02      8.00000000e-18      
1.55000000e+02      7.00000000e-18      
1.55700000e+02      6.70000000e-17      
1.56000000e+02      4.00000000e-18      
1.57000000e+02      5.00000000e-19      
1.66000000e+02      5.00000000e-19      
1.68000000e+02      2.00000000e-18      
1.70000000e+02      1.00000000e-18      
1.71000000e+02      2.00000000e-18      
1.72400000e+02      1.10000000e-17      
1.73200000e+02      1.10000000e-17      
1.74000000e+02      2.20000000e-17      
1.74500000e+02      1.90000000e-17      
1.75000000e+02      5.20000000e-17      
1.75800000e+02      5.00000000e-18      
1.76000000e+02      4.00000000e-18      
1.80000000e+02      5.00000000e-18      
1.85000000e+02      2.00000000e-18      
2.00000000e+02      1.30000000e-20      
2.10000000e+02      8.00000000e-21      
2.20000000e+02      5.00000000e-21      
2.30000000e+02      3.60000000e-21      
2.40000000e+02      3.00000000e-21      
2.50000000e+02      4.80000000e-21      
2.56000000e+02      8.00000000e-21      
2.58500000e+02      5.70000000e-21      
2.60000000e+02      2.50000000e-21      
2.61200000e+02      6.00000000e-21      
2.61800000e+02      2.50000000e-21      
2.62500000e+02      2.50000000e-21      
2.63470000e+02      9.90000000e-21      
2.64000000e+02      1.20000000e-20      
2.64500000e+02      5.00000000e-21      
2.66500000e+02      2.50000000e-21      
2.67250000e+02      1.40000000e-20      
2.67500000e+02      8.00000000e-21      
2.68250000e+02      1.30000000e-20      
2.69000000e+02      6.50000000e-21      
2.70000000e+02      6.50000000e-21      
2.71000000e+02      2.00000000e-20      
2.71360000e+02      2.10000000e-20      
2.71600000e+02      2.00000000e-20      
2.73000000e+02      5.00000000e-21      
2.74500000e+02      5.00000000e-21      
2.75000000e+02      3.25000000e-20      
2.75000001e+02      3.25000000e-20      
2.75500000e+02      2.00000000e-20      
2.76260000e+02      2.80000000e-20      
2.76650000e+02      2.10000000e-20      
2.78000000e+02      6.50000000e-21      
2.79760000e+02      2.90000000e-20      
2.80700000e+02      1.10000000e-20      
2.81000000e+02      1.70000000e-20      
2.82500000e+02      5.00000000e-21      
2.83000000e+02      5.00000000e-21      
2.83500000e+02      5.00000000e-20      
2.84700000e+02      5.60000000e-20      
2.85000000e+02      3.50000000e-20      
2.87000000e+02      7.50000000e-21      
2.87500000e+02      2.50000000e-20      
2.88590000e+02      4.60000000e-20      
2.90000000e+02      6.50000000e-21      
2.91000000e+02      2.00000000e-20      
2.92000000e+02      7.50000000e-21      
2.92500000e+02      6.50000000e-21      
2.93810000e+02      8.40000000e-20      
2.94800000e+02      2.50000000e-20      
2.95000000e+02      4.20000000e-20      
2.95500000e+02      2.50000000e-20      
2.97000000e+02      7.00000000e-21      
2.98570000e+02      4.80000000e-20      
2.99500000e+02      1.25000000e-20      
3.00700000e+02      5.00000000e-21      
3.01200000e+02      2.50000000e-20      
3.02000000e+02      1.25000000e-20      
3.02800000e+02      5.00000000e-21      
3.04180000e+02      6.90000000e-20      
3.05000000e+02      2.40000000e-20      
3.05490000e+02      6.30000000e-20      
3.06000000e+02      4.50000000e-20      
3.07400000e+02      7.00000000e-21      
3.07700000e+02      7.00000000e-21      
3.08000000e+02      2.50000000e-20      
3.09100000e+02      4.20000000e-20      
3.09500000e+02      2.50000000e-20      
3.10500000e+02      1.00000000e-20      
3.11200000e+02      2.50000000e-21      
3.11800000e+02      1.00000000e-20      
3.12300000e+02      2.00000000e-20      
3.13000000e+02      6.50000000e-21      
3.14430000e+02      7.60000000e-20      
3.15000000e+02      3.70000000e-20      
3.16000000e+02      1.00000000e-20      
3.17120000e+02      7.10000000e-20      
3.17300000e+02      3.75000000e-20      
3.19500000e+02      2.50000000e-21      
3.19800000e+02      2.00000000e-21      
3.20300000e+02      2.25000000e-20      
3.21500000e+02      1.25000000e-20      
3.22500000e+02      1.00000000e-21      
3.22800000e+02      5.00000000e-22      
3.24100000e+02      1.20000000e-20      
3.24800000e+02      6.00000000e-21      
3.26180000e+02      7.10000000e-20      
3.27000000e+02      2.50000000e-20      
3.27600000e+02      3.00000000e-21      
3.28200000e+02      2.00000000e-21      
3.29580000e+02      5.40000000e-20      
3.30000000e+02      2.00000000e-20      
3.31000000e+02      1.00000000e-21      
3.32000000e+02      1.00000000e-22      
3.34000000e+02      1.00000000e-22      
