O3 + hv => O + O2 (wavelength = nm, qy = unitless)
wavelength          300K                
6.00000000e-02      0.00000000e+00      
1.10000000e-01      0.00000000e+00      
2.40000000e-01      0.00000000e+00      
6.20000000e-01      0.00000000e+00      
1.26000000e+00      0.00000000e+00      
2.26000000e+00      0.00000000e+00      
2.36000000e+00      0.00000000e+00      
2.46000000e+00      0.00000000e+00      
6.21000000e+00      0.00000000e+00      
1.21700000e+01      0.00000000e+00      
2.48600000e+01      0.00000000e+00      
6.25800000e+01      0.00000000e+00      
7.41500000e+01      0.00000000e+00      
1.06000000e+02      0.00000000e+00      
1.07000000e+02      0.00000000e+00      
1.08000000e+02      0.00000000e+00      
1.09000000e+02      0.00000000e+00      
1.10000000e+02      0.00000000e+00      
1.11000000e+02      0.00000000e+00      
1.12000000e+02      0.00000000e+00      
1.13000000e+02      0.00000000e+00      
1.14000000e+02      0.00000000e+00      
1.15000000e+02      0.00000000e+00      
1.16000000e+02      0.00000000e+00      
1.17000000e+02      0.00000000e+00      
1.18000000e+02      0.00000000e+00      
1.19000000e+02      0.00000000e+00      
1.20000000e+02      0.00000000e+00      
1.21000000e+02      0.00000000e+00      
1.22000000e+02      0.00000000e+00      
1.23000000e+02      0.00000000e+00      
1.24000000e+02      0.00000000e+00      
1.25000000e+02      0.00000000e+00      
1.26000000e+02      0.00000000e+00      
1.27000000e+02      0.00000000e+00      
1.28000000e+02      0.00000000e+00      
1.29000000e+02      0.00000000e+00      
1.30000000e+02      0.00000000e+00      
1.31000000e+02      0.00000000e+00      
1.32000000e+02      0.00000000e+00      
1.33000000e+02      0.00000000e+00      
1.34000000e+02      0.00000000e+00      
1.35000000e+02      0.00000000e+00      
1.36000000e+02      0.00000000e+00      
1.36500000e+02      0.00000000e+00      
1.37450000e+02      0.00000000e+00      
1.38400000e+02      0.00000000e+00      
1.39850000e+02      0.00000000e+00      
1.41800000e+02      0.00000000e+00      
1.43850000e+02      0.00000000e+00      
1.45950000e+02      0.00000000e+00      
1.48100000e+02      0.00000000e+00      
1.50350000e+02      0.00000000e+00      
1.52650000e+02      0.00000000e+00      
1.55000000e+02      0.00000000e+00      
1.57450000e+02      0.00000000e+00      
1.60000000e+02      0.00000000e+00      
1.62600000e+02      0.00000000e+00      
1.65300000e+02      0.00000000e+00      
1.68100000e+02      0.00000000e+00      
1.70950000e+02      0.00000000e+00      
1.73150000e+02      0.00000000e+00      
1.74650000e+02      0.00000000e+00      
1.75000000e+02      0.00000000e+00      
1.80000000e+02      0.00000000e+00      
1.85000000e+02      0.00000000e+00      
1.90000000e+02      0.00000000e+00      
1.95000000e+02      0.00000000e+00      
2.00000000e+02      0.00000000e+00      
2.10000000e+02      0.00000000e+00      
2.20000000e+02      0.00000000e+00      
2.30000000e+02      0.00000000e+00      
2.40000000e+02      0.00000000e+00      
2.50000000e+02      0.00000000e+00      
2.60000000e+02      0.00000000e+00      
2.70000000e+02      0.00000000e+00      
