O3 (wavelength = nm, xs = cm2/molecule)
wavelength          300K                
6.00000000e-02      4.50000000e-23      
1.10000000e-01      4.30000000e-22      
2.40000000e-01      3.50000000e-21      
6.20000000e-01      5.30000000e-20      
1.26000000e+00      3.90000000e-19      
2.26000000e+00      1.70000000e-18      
2.36000000e+00      9.50000000e-20      
2.46000000e+00      1.10000000e-19      
6.21000000e+00      1.00000000e-18      
1.21700000e+01      4.80000000e-18      
2.48600000e+01      1.60000000e-17      
6.25800000e+01      3.40000000e-17      
7.41500000e+01      3.60000000e-17      
1.06000000e+02      8.56000000e-18      
1.07000000e+02      8.18000000e-18      
1.08000000e+02      1.00000000e-17      
1.09000000e+02      9.67000000e-18      
1.10000000e+02      8.93000000e-18      
1.11000000e+02      9.67000000e-18      
1.12000000e+02      1.38000000e-17      
1.13000000e+02      1.26000000e-17      
1.14000000e+02      7.07000000e-18      
1.15000000e+02      7.07000000e-18      
1.16000000e+02      5.58000000e-18      
1.17000000e+02      8.00000000e-18      
1.18000000e+02      7.63000000e-18      
1.19000000e+02      9.30000000e-18      
1.20000000e+02      1.49000000e-17      
1.21000000e+02      2.12000000e-17      
1.22000000e+02      2.27000000e-17      
1.23000000e+02      2.05000000e-17      
1.24000000e+02      1.12000000e-17      
1.25000000e+02      8.18000000e-18      
1.26000000e+02      6.70000000e-18      
1.27000000e+02      5.58000000e-18      
1.28000000e+02      6.32000000e-18      
1.29000000e+02      7.25000000e-18      
1.30000000e+02      9.30000000e-18      
1.31000000e+02      1.56000000e-17      
1.32000000e+02      1.53000000e-17      
1.33000000e+02      1.53000000e-17      
1.34000000e+02      1.75000000e-17      
1.35000000e+02      1.71000000e-17      
1.36000000e+02      1.49000000e-17      
1.36500000e+02      1.35000000e-17      
1.37450000e+02      1.05000000e-17      
1.38400000e+02      7.97000000e-18      
1.39850000e+02      7.17000000e-18      
1.41800000e+02      6.28000000e-18      
1.43850000e+02      5.66000000e-18      
1.45950000e+02      5.23000000e-18      
1.48100000e+02      4.47000000e-18      
1.50350000e+02      3.69000000e-18      
1.52650000e+02      2.93000000e-18      
1.55000000e+02      2.19000000e-18      
1.57450000e+02      1.63000000e-18      
1.60000000e+02      1.20000000e-18      
1.62600000e+02      9.77000000e-19      
1.65300000e+02      8.66000000e-19      
1.68100000e+02      8.14000000e-19      
1.70950000e+02      8.17000000e-19      
1.73150000e+02      8.57000000e-19      
1.74650000e+02      8.40000000e-19      
1.75000000e+02      8.20000000e-19      
1.80000000e+02      7.70000000e-19      
1.85000000e+02      6.80000000e-19      
1.90000000e+02      5.20000000e-19      
1.95000000e+02      4.00000000e-19      
2.00000000e+02      3.10000000e-19      
2.10000000e+02      4.29000000e-19      
2.20000000e+02      1.71000000e-18      
2.30000000e+02      4.29000000e-18      
2.40000000e+02      8.14000000e-18      
2.50000000e+02      1.10000000e-17      
2.60000000e+02      1.08000000e-17      
2.70000000e+02      7.88000000e-18      
2.80000000e+02      3.86000000e-18      
2.90000000e+02      1.37000000e-18      
2.97500000e+02      5.75000000e-19      
2.98000000e+02      5.14000000e-19      
2.98500000e+02      4.92000000e-19      
2.99000000e+02      4.67000000e-19      
2.99500000e+02      4.36000000e-19      
3.00000000e+02      4.09000000e-19      
3.00500000e+02      3.85000000e-19      
3.01000000e+02      3.55000000e-19      
3.01500000e+02      3.31000000e-19      
3.02000000e+02      3.13000000e-19      
3.02500000e+02      2.91000000e-19      
3.03000000e+02      2.71000000e-19      
3.03500000e+02      2.52000000e-19      
3.04000000e+02      2.32000000e-19      
3.04500000e+02      2.14000000e-19      
3.05000000e+02      2.05000000e-19      
3.05500000e+02      1.88000000e-19      
3.06000000e+02      1.77000000e-19      
3.06500000e+02      1.64000000e-19      
3.07000000e+02      1.50000000e-19      
3.07500000e+02      1.36000000e-19      
3.08000000e+02      1.28000000e-19      
3.08500000e+02      1.19000000e-19      
3.09000000e+02      1.12000000e-19      
3.09500000e+02      1.06000000e-19      
3.10000000e+02      9.79000000e-20      
3.10500000e+02      9.31000000e-20      
3.11000000e+02      8.88000000e-20      
3.11500000e+02      8.26000000e-20      
3.12000000e+02      7.57000000e-20      
3.12500000e+02      7.31000000e-20      
3.13000000e+02      6.72000000e-20      
3.13500000e+02      7.00000000e-20      
3.14000000e+02      6.17000000e-20      
3.14500000e+02      5.76000000e-20      
3.15000000e+02      5.22000000e-20      
3.15500000e+02      5.30000000e-20      
3.16000000e+02      4.56000000e-20      
3.16500000e+02      4.09000000e-20      
3.17000000e+02      4.27000000e-20      
3.17500000e+02      3.83000000e-20      
3.18000000e+02      3.65000000e-20      
3.18500000e+02      3.20000000e-20      
3.19000000e+02      3.00000000e-20      
3.19500000e+02      2.86000000e-20      
3.20000000e+02      3.15000000e-20      
3.20500000e+02      2.51000000e-20      
3.21000000e+02      2.04000000e-20      
3.21500000e+02      1.94000000e-20      
3.22000000e+02      2.12000000e-20      
3.22500000e+02      2.20000000e-20      
3.23000000e+02      1.78000000e-20      
3.23500000e+02      1.55000000e-20      
3.24000000e+02      1.35000000e-20      
3.24500000e+02      1.73000000e-20      
3.25000000e+02      1.55000000e-20      
3.25500000e+02      1.25000000e-20      
3.26000000e+02      1.08000000e-20      
3.26500000e+02      9.50000000e-21      
3.27000000e+02      9.20000000e-21      
3.27500000e+02      1.13000000e-20      
3.28000000e+02      1.15000000e-20      
3.28500000e+02      9.10000000e-21      
3.29000000e+02      6.58000000e-21      
3.29500000e+02      5.43000000e-21      
3.30000000e+02      6.33000000e-21      
3.31000000e+02      8.23000000e-21      
3.32000000e+02      3.26000000e-21      
3.33000000e+02      5.57000000e-21      
3.35000000e+02      1.89000000e-21      
3.37000000e+02      3.94000000e-21      
3.38000000e+02      1.37000000e-21      
3.40000000e+02      2.14000000e-21      
