# Modern Earth pressure-temperature-eddy diffusion profile.
# Pressure and temperature source: COSPAR International Reference Atmosphere 1986 (CIRA-86), January 1, 1968, Equator.
# CIRA-86 source: https://catalogue.ceda.ac.uk/uuid/d758b820b4eba646ff0d6c05b552e23d/
# Eddy-diffusion source: Massie and Hunten (1981), composite Kzz profile from Table 3, https://doi.org/10.1029/JC086iC10p09859
# Kzz was interpolated linearly in log10(Kzz) versus altitude onto the CIRA-86 altitude points.
# Kzz was held at 1.000e5 cm^2/s below the 1 km source point and at 1.120e5 cm^2/s above the 50 km source point.
# altitude_km  pressure_bar  temperature_K  Kzz_cm2_s
0.000000e+00  1.013000e+00  3.008000e+02  1.000000e+05
2.124000e+00  7.889000e-01  2.878000e+02  1.000000e+05
4.195000e+00  6.144000e-01  2.769000e+02  1.000000e+05
6.189000e+00  4.785000e-01  2.657000e+02  1.000000e+05
8.101000e+00  3.727000e-01  2.536000e+02  1.000000e+05
9.908000e+00  2.902000e-01  2.400000e+02  8.165931e+04
1.162000e+01  2.260000e-01  2.262000e+02  2.109524e+04
1.322000e+01  1.760000e-01  2.121000e+02  7.453570e+03
1.473000e+01  1.371000e-01  2.004000e+02  4.897098e+03
1.617000e+01  1.068000e-01  1.949000e+02  3.982821e+03
1.760000e+01  8.315000e-02  1.967000e+02  3.900000e+03
1.905000e+01  6.476000e-02  2.013000e+02  4.123657e+03
2.053000e+01  5.043000e-02  2.059000e+02  4.858569e+03
2.205000e+01  3.928000e-02  2.106000e+02  5.837593e+03
2.361000e+01  3.059000e-02  2.148000e+02  7.135255e+03
2.519000e+01  2.382000e-02  2.181000e+02  8.681541e+03
2.680000e+01  1.855000e-02  2.208000e+02  1.037025e+04
2.843000e+01  1.445000e-02  2.236000e+02  1.242021e+04
3.008000e+01  1.125000e-02  2.275000e+02  1.442908e+04
3.177000e+01  8.764000e-03  2.330000e+02  1.706752e+04
3.349000e+01  6.826000e-03  2.391000e+02  1.995500e+04
3.526000e+01  5.316000e-03  2.446000e+02  2.374497e+04
3.707000e+01  4.140000e-03  2.495000e+02  2.920052e+04
3.891000e+01  3.224000e-03  2.537000e+02  3.562040e+04
4.078000e+01  2.511000e-03  2.576000e+02  4.308700e+04
4.268000e+01  1.956000e-03  2.609000e+02  5.300409e+04
4.460000e+01  1.523000e-03  2.636000e+02  6.495335e+04
4.654000e+01  1.186000e-03  2.657000e+02  8.022045e+04
4.849000e+01  9.237000e-04  2.673000e+02  9.677114e+04
5.046000e+01  7.194000e-04  2.679000e+02  1.120000e+05
5.241000e+01  5.603000e-04  2.674000e+02  1.120000e+05
5.436000e+01  4.363000e-04  2.653000e+02  1.120000e+05
5.629000e+01  3.398000e-04  2.617000e+02  1.120000e+05
5.818000e+01  2.647000e-04  2.566000e+02  1.120000e+05
6.004000e+01  2.061000e-04  2.507000e+02  1.120000e+05
6.185000e+01  1.605000e-04  2.445000e+02  1.120000e+05
6.362000e+01  1.250000e-04  2.379000e+02  1.120000e+05
6.533000e+01  9.736000e-05  2.313000e+02  1.120000e+05
6.699000e+01  7.582000e-05  2.250000e+02  1.120000e+05
6.862000e+01  5.905000e-05  2.196000e+02  1.120000e+05
7.022000e+01  4.599000e-05  2.153000e+02  1.120000e+05
7.178000e+01  3.582000e-05  2.124000e+02  1.120000e+05
7.333000e+01  2.789000e-05  2.104000e+02  1.120000e+05
7.487000e+01  2.172000e-05  2.089000e+02  1.120000e+05
7.639000e+01  1.692000e-05  2.077000e+02  1.120000e+05
7.791000e+01  1.318000e-05  2.069000e+02  1.120000e+05
7.943000e+01  1.026000e-05  2.060000e+02  1.120000e+05
8.094000e+01  7.992000e-06  2.045000e+02  1.120000e+05
8.243000e+01  6.224000e-06  2.023000e+02  1.120000e+05
8.390000e+01  4.847000e-06  1.991000e+02  1.120000e+05
8.535000e+01  3.775000e-06  1.957000e+02  1.120000e+05
8.676000e+01  2.940000e-06  1.927000e+02  1.120000e+05
8.816000e+01  2.290000e-06  1.901000e+02  1.120000e+05
8.955000e+01  1.783000e-06  1.885000e+02  1.120000e+05
9.093000e+01  1.389000e-06  1.875000e+02  1.120000e+05
9.231000e+01  1.082000e-06  1.872000e+02  1.120000e+05
9.369000e+01  8.423000e-07  1.873000e+02  1.120000e+05
9.508000e+01  6.560000e-07  1.872000e+02  1.120000e+05
9.647000e+01  5.109000e-07  1.873000e+02  1.120000e+05
9.786000e+01  3.979000e-07  1.876000e+02  1.120000e+05
9.927000e+01  3.099000e-07  1.883000e+02  1.120000e+05
1.007000e+02  2.413000e-07  1.894000e+02  1.120000e+05
1.021000e+02  1.880000e-07  1.917000e+02  1.120000e+05
1.036000e+02  1.464000e-07  1.957000e+02  1.120000e+05
1.051000e+02  1.140000e-07  2.022000e+02  1.120000e+05
1.067000e+02  8.878000e-08  2.114000e+02  1.120000e+05
1.084000e+02  6.914000e-08  2.263000e+02  1.120000e+05
1.103000e+02  5.385000e-08  2.507000e+02  1.120000e+05
1.124000e+02  4.194000e-08  2.832000e+02  1.120000e+05
1.148000e+02  3.266000e-08  3.238000e+02  1.120000e+05
1.176000e+02  2.544000e-08  3.725000e+02  1.120000e+05
