alt           press         den           temp          eddy          H2Oaer        CO2aer        S8aer         H2SO4aer      NH3aer        N2Oaer        C2H2aer       C2H4aer       C2H6aer       CH3CNaer      HCCCNaer      HCNaer        CH4aer        HCaer1        HCaer2        HCaer3        He            H             H2            H2O           OH            O             O2            CO            CO2           HCO           H2CO          C             CH            CH2           CH3           CH4           S             S2            S3            S4            S8            H2S           HS            SO            SO2           CS            CS2           OCS           CN            HCN           N             N2            NH            NH2           NH3           C2            C2H           C2H2          C2H4          NO            HNO           HO2           HNCO          N2O           H2O2          O3            NO2           NO3           SO3           HNO2          HNO3          H2SO4         HCl           Cl            Cl2           HOCl          N2H4          ClO           C2H6          CH3OH         CH2CO         CH3CHO        C3H4          C3H6          C4H2          C4H4          OClO          HCS           C2H3          C2H5          NCO           1CH2          HCCO          NNH           HSO           CH3O          H2COH         H2CN          N2H2          C4H           HCNOH         C2H2OH        CH3CO         CH2CHO        C2H3OH        C2H4OH        CH3O2         HSO3          N2H3          NH2CO         HS4           C4H3          CH2N2         CH2CN         CH3CN         HCCCN         O1D           N2D           H2Oaer_r      CO2aer_r      S8aer_r       H2SO4aer_r    NH3aer_r      N2Oaer_r      C2H2aer_r     C2H4aer_r     C2H6aer_r     CH3CNaer_r    HCCCNaer_r    HCNaer_r      CH4aer_r      HCaer1_r      HCaer2_r      HCaer3_r      
5.00000E-001  9.98067E-001  2.52298E+019  2.86525E+002  1.00000E+005  8.00137E-004  1.00000E-040  1.00000E-040  1.37855E-030  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.08209E-034  1.00000E-040  1.00000E-040  8.12584E-022  5.31027E-007  7.71850E-003  1.49702E-014  3.80035E-017  2.10407E-001  1.10213E-007  3.60697E-004  1.61256E-023  3.26550E-011  1.00000E-040  1.00000E-040  7.59016E-034  3.52512E-020  2.28789E-006  2.60202E-029  1.00000E-040  1.00000E-040  1.00000E-040  2.13603E-035  2.33927E-012  3.04941E-018  9.43558E-020  1.84035E-011  1.00000E-040  1.00000E-040  5.29162E-010  1.00000E-040  3.75080E-017  1.73944E-038  7.81511E-001  3.89271E-030  2.69733E-028  3.10948E-022  1.00000E-040  1.00000E-040  2.08689E-029  7.38481E-025  1.18725E-016  1.77575E-017  8.44638E-012  1.81672E-021  3.10600E-007  8.43755E-010  1.64633E-008  1.16843E-013  3.57670E-015  3.38353E-020  8.08662E-015  4.27580E-012  3.33946E-012  1.89587E-010  2.63615E-017  2.49713E-022  8.71365E-017  1.00000E-040  4.26661E-010  3.16486E-023  5.61705E-017  9.29516E-025  8.64296E-026  5.29089E-040  5.10454E-038  1.00000E-040  1.74011E-026  5.38814E-015  1.00000E-040  1.17956E-040  1.65875E-025  4.21792E-027  2.30944E-035  2.69566E-039  5.36904E-033  1.88196E-018  1.39901E-019  1.67796E-014  5.99038E-030  1.00000E-040  1.00000E-040  1.00498E-025  1.00000E-040  3.27631E-025  1.16214E-028  1.17573E-021  1.31258E-025  1.53647E-008  3.83907E-024  1.00000E-040  1.00893E-023  8.45641E-030  1.72348E-026  6.20524E-024  1.27997E-040  5.93743E-030  1.00000E-040  1.03672E-022  1.00000E-040  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
1.50000E+000  8.83408E-001  2.28496E+019  2.80027E+002  1.00000E+005  1.04244E-003  1.00000E-040  1.00000E-040  1.54067E-027  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  8.64879E-035  1.00000E-040  1.00000E-040  1.04907E-021  5.33558E-007  5.78438E-003  1.88832E-014  4.96908E-017  2.10817E-001  1.07670E-007  3.61406E-004  2.30545E-023  3.77833E-011  1.00000E-040  1.00000E-040  9.95246E-034  3.87009E-020  2.28917E-006  4.46895E-029  1.00000E-040  1.00000E-040  1.00000E-040  2.14019E-035  2.83495E-012  4.16435E-018  1.88268E-019  3.82242E-011  1.00000E-040  1.00000E-040  5.29814E-010  1.00000E-040  3.78742E-017  2.88337E-038  7.83034E-001  3.94847E-030  3.02607E-028  3.11571E-022  1.00000E-040  1.00000E-040  2.03545E-029  7.18006E-025  1.95607E-016  1.87071E-017  9.28837E-012  2.03936E-021  3.11162E-007  1.01746E-009  1.82639E-008  1.61898E-013  4.36870E-015  4.13028E-020  9.97536E-015  6.12232E-012  6.85661E-012  1.85083E-010  2.42377E-017  1.40451E-022  6.46214E-017  1.00000E-040  4.36429E-010  3.17887E-023  5.34016E-017  1.10977E-024  9.70216E-026  5.30121E-040  4.98002E-038  1.00000E-040  1.42255E-026  3.80433E-015  1.00000E-040  1.35832E-040  1.57698E-025  6.90750E-027  2.82448E-035  4.12828E-039  4.31937E-033  4.07177E-018  2.09657E-019  1.80459E-014  5.34651E-030  1.00000E-040  1.00000E-040  2.07205E-025  1.00000E-040  4.82736E-025  2.09077E-028  1.17802E-021  1.56410E-025  1.49466E-008  1.04341E-023  1.00000E-040  1.02148E-023  1.02389E-029  2.19101E-026  6.28989E-024  1.25520E-040  5.93856E-030  1.00000E-040  1.45032E-022  1.00000E-040  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
2.50000E+000  7.79940E-001  2.06525E+019  2.73530E+002  1.00000E+005  9.06632E-004  1.00000E-040  1.00000E-040  1.52014E-024  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  6.83872E-035  1.00000E-040  1.00142E-040  1.34599E-021  5.36068E-007  4.17360E-003  2.34885E-014  6.67507E-017  2.11158E-001  1.05241E-007  3.61998E-004  3.33830E-023  4.49231E-011  1.00000E-040  1.00000E-040  1.26081E-033  4.17149E-020  2.28993E-006  6.44689E-029  1.00000E-040  1.32075E-031  1.29400E-030  2.14365E-035  3.01807E-012  4.86254E-018  3.34020E-019  5.19495E-011  1.00000E-040  1.00000E-040  5.30290E-010  1.00000E-040  3.82733E-017  4.93983E-038  7.84303E-001  4.14207E-030  3.43850E-028  3.12033E-022  1.00000E-040  1.00000E-040  1.93819E-029  6.81598E-025  3.57509E-016  2.08175E-017  1.01719E-011  1.97578E-021  3.11618E-007  1.19824E-009  2.07874E-008  2.42933E-013  5.92154E-015  3.77723E-020  1.46742E-014  9.18595E-012  1.03370E-011  1.74867E-010  2.22425E-017  7.75093E-023  4.69135E-017  1.00000E-040  4.51714E-010  3.20032E-023  4.93922E-017  1.47998E-024  1.05880E-025  5.30981E-040  4.76801E-038  1.00000E-040  1.09671E-026  2.74712E-015  1.00000E-040  1.50559E-040  1.47066E-025  7.12270E-027  3.32640E-035  5.86404E-039  3.38306E-033  7.86235E-018  3.28626E-019  2.02180E-014  4.43778E-030  1.00000E-040  1.00000E-040  4.31222E-025  1.00000E-040  7.10740E-025  5.03350E-028  1.17993E-021  1.71706E-025  1.40746E-008  1.83310E-023  1.00000E-040  1.03796E-023  1.45551E-029  2.87433E-026  6.13456E-024  1.20622E-040  5.92897E-030  1.00000E-040  2.03917E-022  1.00000E-040  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
3.50000E+000  6.86692E-001  1.86256E+019  2.67036E+002  1.00000E+005  8.20478E-004  1.00000E-040  1.00000E-040  1.23292E-021  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  4.24937E-035  1.00000E-040  1.00281E-040  1.68237E-021  5.38590E-007  2.79101E-003  2.81408E-014  9.14053E-017  2.11452E-001  1.02962E-007  3.62507E-004  4.85152E-023  5.45925E-011  1.00000E-040  1.00000E-040  1.47128E-033  4.30881E-020  2.29038E-006  8.13320E-029  1.00000E-040  4.95926E-035  4.98764E-034  2.14662E-035  2.98879E-012  5.03086E-018  5.41933E-019  6.02231E-011  1.00000E-040  1.00000E-040  5.30640E-010  1.00000E-040  3.87127E-017  1.85635E-036  7.85392E-001  4.46313E-030  3.82776E-028  3.12313E-022  1.00000E-040  1.00000E-040  1.80841E-029  6.36230E-025  6.71727E-016  2.44806E-017  1.10359E-011  1.82604E-021  3.11997E-007  1.35685E-009  2.40760E-008  3.63647E-013  8.10657E-015  3.22765E-020  2.41653E-014  1.33938E-011  1.32027E-011  1.61391E-010  1.99283E-017  4.13085E-023  3.33714E-017  1.00000E-040  4.70093E-010  3.23061E-023  4.50236E-017  2.08261E-024  1.07344E-025  5.31720E-040  4.50362E-038  1.00000E-040  7.77353E-027  2.00226E-015  1.00000E-040  1.57999E-040  1.36177E-025  5.42402E-027  3.59595E-035  8.31877E-039  2.52540E-033  1.39405E-017  5.24717E-019  2.33371E-014  3.50379E-030  1.00000E-040  1.00000E-040  8.86042E-025  1.00000E-040  1.02206E-024  1.35098E-027  1.18156E-021  1.72986E-025  1.27743E-008  2.65036E-023  1.00000E-040  1.05669E-023  2.29373E-029  3.85297E-026  5.50997E-024  1.13736E-040  5.91468E-030  1.00000E-040  2.87503E-022  1.00000E-040  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
4.50000E+000  6.02944E-001  1.67615E+019  2.60544E+002  1.00000E+005  6.18363E-004  8.19824E-039  1.00000E-040  9.84735E-019  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  3.06202E-035  1.00000E-040  1.00381E-040  2.12922E-021  5.41009E-007  1.79578E-003  3.38433E-014  1.26495E-016  2.11663E-001  1.00812E-007  3.62875E-004  7.06968E-023  6.68231E-011  1.00000E-040  1.00000E-040  1.71425E-033  4.43932E-020  2.29012E-006  9.61236E-029  1.00000E-040  7.58348E-035  7.72081E-034  2.14876E-035  2.80200E-012  4.92260E-018  8.51730E-019  6.36568E-011  1.00000E-040  1.00000E-040  5.30777E-010  1.00000E-040  3.91924E-017  3.17313E-036  7.86176E-001  4.96356E-030  4.32218E-028  3.12366E-022  1.00000E-040  1.00000E-040  1.65954E-029  5.87238E-025  1.28265E-015  3.02491E-017  1.20386E-011  1.68218E-021  3.12249E-007  1.53869E-009  2.81297E-008  5.33085E-013  1.09905E-014  2.90215E-020  4.22872E-014  1.94099E-011  1.53495E-011  1.46372E-010  1.76008E-017  2.18308E-023  2.38986E-017  1.00000E-040  4.89729E-010  3.27117E-023  4.07187E-017  3.02053E-024  1.03822E-025  5.32253E-040  4.21031E-038  1.00000E-040  1.83080E-027  1.46165E-015  1.00000E-040  1.64550E-040  1.25769E-025  3.67625E-027  3.86671E-035  4.28556E-036  1.86448E-033  2.40530E-017  8.42818E-019  2.69709E-014  2.66273E-030  1.00000E-040  1.00000E-040  1.87694E-024  1.00000E-040  1.49626E-024  3.81099E-027  1.18274E-021  1.65171E-025  1.11080E-008  3.51440E-023  1.00000E-040  1.07716E-023  3.81095E-029  1.50806E-026  4.88387E-024  1.05360E-040  5.89848E-030  1.00000E-040  4.03907E-022  1.00000E-040  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
5.50000E+000  5.27856E-001  1.50490E+019  2.54053E+002  1.00000E+005  4.37544E-004  5.29898E-036  1.00000E-040  6.36474E-016  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  2.41221E-035  1.00000E-040  1.00449E-040  2.74512E-021  5.43314E-007  1.12251E-003  4.11928E-014  1.75762E-016  2.11805E-001  9.87770E-008  3.63126E-004  1.02258E-022  8.12467E-011  1.00000E-040  1.00000E-040  2.02595E-033  4.59717E-020  2.28929E-006  1.08712E-028  1.00000E-040  1.30702E-034  1.35245E-033  2.15020E-035  2.49750E-012  4.64197E-018  1.31359E-018  6.29196E-011  1.00000E-040  1.00000E-040  5.30735E-010  1.00000E-040  3.97211E-017  2.93845E-037  7.86706E-001  5.67550E-030  4.96436E-028  3.12188E-022  1.00000E-040  1.00000E-040  1.50385E-029  5.38226E-025  2.48477E-015  3.89712E-017  1.31941E-011  1.56195E-021  3.12393E-007  1.74495E-009  3.29283E-008  7.55930E-013  1.46285E-014  3.10340E-020  7.67776E-014  2.75744E-011  1.61262E-011  1.31089E-010  1.54432E-017  1.15742E-023  1.73494E-017  1.00000E-040  5.09355E-010  3.32460E-023  3.66923E-017  4.46760E-024  9.81540E-026  5.32616E-040  3.90404E-038  1.00000E-040  1.03093E-027  1.06634E-015  1.00000E-040  1.72189E-040  1.16091E-025  2.47864E-027  4.20019E-035  4.18200E-032  1.36720E-033  4.09329E-017  1.34584E-018  3.07675E-014  1.96021E-030  1.00000E-040  1.00000E-040  4.14177E-024  1.00000E-040  2.25012E-024  1.12036E-026  1.18354E-021  1.53154E-025  9.16409E-009  4.41938E-023  1.00000E-040  1.09953E-023  6.50681E-029  1.24324E-026  4.34422E-024  1.00000E-040  5.88195E-030  1.00000E-040  5.63204E-022  1.00000E-040  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
6.50000E+000  4.60651E-001  1.34772E+019  2.47565E+002  1.00000E+005  2.97055E-004  2.46613E-033  1.00000E-040  2.96176E-013  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.80846E-034  1.00000E-040  1.00493E-040  3.59126E-021  5.45495E-007  6.82145E-004  5.06193E-014  2.44085E-016  2.11899E-001  9.68359E-008  3.63292E-004  1.45897E-022  9.74507E-011  1.00000E-040  1.00000E-040  2.41527E-033  4.77144E-020  2.28805E-006  1.17827E-028  1.00000E-040  2.31066E-034  2.42534E-033  2.15114E-035  2.11016E-012  4.21774E-018  1.97930E-018  5.87816E-011  1.00000E-040  1.00000E-040  5.30556E-010  1.00000E-040  4.03096E-017  5.87901E-037  7.87053E-001  6.61031E-030  5.75625E-028  3.11776E-022  1.00000E-040  1.00000E-040  1.33476E-029  4.91486E-025  4.95713E-015  5.19455E-017  1.44666E-011  1.45842E-021  3.12457E-007  1.96471E-009  3.84258E-008  1.03454E-012  1.91476E-014  4.20258E-020  1.43641E-013  3.80563E-011  1.43763E-011  1.16471E-010  1.35586E-017  6.20294E-024  1.27722E-017  1.00000E-040  5.28065E-010  3.39406E-023  3.30542E-017  6.67709E-024  9.20022E-026  5.32856E-040  3.59611E-038  1.00000E-040  5.03834E-028  7.80108E-016  1.00000E-040  1.81193E-040  1.07217E-025  1.71871E-027  4.58221E-035  2.84323E-032  9.90126E-034  6.84453E-017  2.12342E-018  3.45343E-014  1.40363E-030  1.00000E-040  1.00000E-040  9.51771E-024  1.00000E-040  3.46844E-024  3.44647E-026  1.18406E-021  1.40135E-025  7.05427E-009  5.31405E-023  1.00000E-040  1.12415E-023  1.13059E-028  1.02466E-026  3.85554E-024  1.00000E-040  5.86596E-030  1.00000E-040  7.77464E-022  1.00000E-040  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
7.50000E+000  4.00627E-001  1.20364E+019  2.41079E+002  1.00000E+005  1.93357E-004  7.45892E-031  1.00000E-040  8.94795E-011  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  4.85336E-032  1.00000E-040  1.00522E-040  4.73836E-021  5.47515E-007  4.02368E-004  6.24031E-014  3.37702E-016  2.11958E-001  9.49573E-008  3.63400E-004  2.05772E-022  1.15645E-010  1.00000E-040  1.00000E-040  2.86534E-033  4.92921E-020  2.28654E-006  1.21130E-028  1.00000E-040  4.14782E-034  4.40869E-033  2.15174E-035  1.67392E-012  3.65028E-018  2.87298E-018  5.21469E-011  1.00000E-040  1.00000E-040  5.30277E-010  1.00000E-040  4.09698E-017  1.21128E-036  7.87273E-001  7.75881E-030  6.65780E-028  3.11123E-022  1.00000E-040  1.00000E-040  1.19544E-029  4.48555E-025  1.05815E-014  7.11429E-017  1.58178E-011  1.35946E-021  3.12462E-007  2.18200E-009  4.45431E-008  1.37755E-012  2.47728E-014  6.72890E-020  2.76818E-013  5.09117E-011  8.61211E-012  1.03178E-010  1.19881E-017  3.38960E-024  9.55032E-018  1.00000E-040  5.45216E-010  3.48325E-023  2.98610E-017  9.94776E-024  8.60963E-026  5.33012E-040  3.29547E-038  1.00000E-040  2.29008E-028  5.77599E-016  1.00000E-040  1.91114E-040  9.91541E-026  1.21179E-027  4.95105E-035  1.00000E-040  7.02328E-034  1.10976E-016  3.32208E-018  3.82463E-014  9.81867E-031  1.00000E-040  1.00000E-040  2.27010E-023  1.00000E-040  5.44232E-024  1.00000E-040  1.18439E-021  1.27887E-025  4.91591E-009  6.10013E-023  1.00000E-040  1.15145E-023  1.99317E-028  8.42630E-027  3.36441E-024  1.00000E-040  5.85104E-030  1.00000E-040  1.06067E-021  1.00000E-040  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
8.50000E+000  3.47150E-001  1.07181E+019  2.34594E+002  1.00000E+005  1.20355E-004  1.34600E-028  1.00000E-040  1.70681E-010  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  8.68609E-030  1.00000E-040  1.00539E-040  6.26425E-021  5.49308E-007  2.30124E-004  7.64355E-014  4.64435E-016  2.11994E-001  9.30904E-008  3.63469E-004  2.89968E-022  1.37529E-010  1.00000E-040  1.00000E-040  3.31446E-033  5.01606E-020  2.28485E-006  1.15690E-028  1.00000E-040  7.47230E-034  8.03049E-033  2.15210E-035  1.22627E-012  2.94474E-018  3.92461E-018  4.40985E-011  1.00000E-040  1.00000E-040  5.29922E-010  1.00000E-040  4.17146E-017  2.51964E-036  7.87409E-001  9.06947E-030  7.55721E-028  3.10211E-022  1.00000E-040  1.00000E-040  1.07088E-029  4.10846E-025  2.61213E-014  9.95130E-017  1.72386E-011  1.25278E-021  3.12424E-007  2.37144E-009  5.11573E-008  1.81971E-012  3.16039E-014  1.14953E-019  5.49665E-013  6.60988E-011  4.35594E-012  9.16630E-011  1.07165E-017  1.90620E-024  7.28493E-018  1.00000E-040  5.60359E-010  3.59664E-023  2.71421E-017  1.45956E-023  8.06986E-026  5.33112E-040  3.01018E-038  1.00000E-040  1.00741E-028  4.39326E-016  1.00000E-040  2.00936E-040  9.19203E-026  8.37003E-028  5.18925E-035  1.00000E-040  4.83610E-034  1.70648E-016  5.24155E-018  4.20592E-014  6.76351E-031  1.00000E-040  1.00000E-040  5.58783E-023  1.00000E-040  8.56487E-024  1.00000E-040  1.18460E-021  1.17366E-025  2.92057E-009  6.64694E-023  1.00000E-040  1.18191E-023  3.56046E-028  6.97717E-027  2.82580E-024  1.00000E-040  5.83757E-030  1.00000E-040  1.42830E-021  1.00000E-040  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
9.50000E+000  2.99637E-001  9.51402E+018  2.28112E+002  9.61769E+004  6.99990E-005  1.38140E-026  1.00000E-040  8.01880E-010  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  8.78812E-028  1.00000E-040  1.00549E-040  8.21072E-021  5.50795E-007  1.28243E-004  9.17381E-014  6.35224E-016  2.12016E-001  9.11044E-008  3.63511E-004  4.08063E-022  1.64457E-010  1.00000E-040  1.00000E-040  3.63285E-033  4.95551E-020  2.28299E-006  9.95287E-029  1.00000E-040  1.33962E-033  1.45374E-032  2.15231E-035  8.11578E-013  2.14511E-018  4.89076E-018  3.58243E-011  1.00000E-040  1.00000E-040  5.29494E-010  1.00000E-040  4.25746E-017  5.17064E-036  7.87489E-001  1.04392E-029  8.25426E-028  3.08994E-022  1.00000E-040  1.22918E-040  9.72761E-030  3.79992E-025  8.95734E-014  1.42084E-016  1.87281E-011  1.12937E-021  3.12350E-007  2.48054E-009  5.82148E-008  2.47333E-012  3.85736E-014  1.91186E-019  1.13175E-012  8.37793E-011  2.78256E-012  8.20321E-011  9.64400E-018  1.10982E-024  5.71137E-018  1.00000E-040  5.73447E-010  3.74248E-023  2.48636E-017  2.04364E-023  7.59787E-026  5.33176E-040  2.74308E-038  1.00000E-040  4.43922E-029  3.50023E-016  1.00000E-040  2.08972E-040  8.56652E-026  5.31309E-028  5.12504E-035  1.45029E-031  3.19084E-034  2.41629E-016  8.60676E-018  4.62953E-014  4.63869E-031  1.00000E-040  1.00000E-040  1.40528E-022  1.00000E-040  1.30376E-023  1.00000E-040  1.18472E-021  1.09098E-025  1.26446E-009  6.83335E-023  1.00000E-040  1.21673E-023  6.48535E-028  5.86663E-027  2.22637E-024  1.00000E-040  5.82558E-030  1.00000E-040  1.90057E-021  1.00000E-040  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
