# (dyne/cm2)    (K)  # averaging +- 10 deg with respect to the eastern terminator from Elsie Lee's GCM (exo-FMS) results of WASP-39b (10X solar metallicity) 
Pressure      Temp
1.816e+08   4504.0
1.222e+08   4190.8
8.216e+07   3887.4
5.526e+07   3590.3
3.717e+07   3304.3
2.500e+07   3028.2
1.682e+07   2765.5
1.131e+07   2505.3
7.607e+06   2246.3
5.117e+06   2026.8
3.441e+06   1858.6
2.315e+06   1734.4
1.557e+06   1652.3
1.047e+06   1605.3
7.044e+05   1595.7
4.738e+05   1567.0
3.187e+05   1523.1
2.144e+05   1472.5
1.442e+05   1425.7
9.702e+04   1382.2
6.527e+04   1333.2
4.392e+04   1278.4
2.956e+04   1223.3
1.990e+04   1165.1
1.340e+04   1107.0
9.030e+03   1050.8
6.089e+03   1004.7
4.111e+03    967.9
2.779e+03    939.9
1.883e+03    918.5
1.280e+03    904.0
8.735e+02    892.5
5.995e+02    883.9
4.146e+02    877.2
2.896e+02    872.9
2.050e+02    870.5
1.474e+02    871.3
1.081e+02    877.5
8.098e+01    885.3
6.216e+01    887.0
4.889e+01    881.5
3.935e+01    870.2
3.233e+01    856.5
2.700e+01    842.3
2.281e+01    829.1
1.939e+01    817.0
1.648e+01    807.5
1.392e+01    800.3
1.159e+01    793.6
9.421e+00    781.1
7.352e+00    759.5
5.349e+00    725.8
