# (dyne/cm2)    (K)  # averaging +- 10 deg with respect to the western terminator from Elsie Lee's GCM (exo-FMS) results of WASP-39b (10X solar metallicity) 
Pressure      Temp
1.816e+08   4503.4
1.222e+08   4190.6
8.216e+07   3886.0
5.526e+07   3589.6
3.717e+07   3302.8
2.500e+07   3028.7
1.682e+07   2766.0
1.131e+07   2505.9
7.607e+06   2246.5
5.117e+06   2024.9
3.441e+06   1853.3
2.315e+06   1725.7
1.557e+06   1640.7
1.047e+06   1576.9
7.044e+05   1518.7
4.738e+05   1453.3
3.187e+05   1385.2
2.144e+05   1318.5
1.442e+05   1249.0
9.702e+04   1180.7
6.527e+04   1117.8
4.392e+04   1061.5
2.956e+04   1010.1
1.990e+04    959.2
1.340e+04    909.3
9.030e+03    864.8
6.089e+03    824.3
4.111e+03    789.8
2.779e+03    759.0
1.883e+03    734.6
1.280e+03    714.9
8.735e+02    701.3
5.995e+02    691.3
4.146e+02    686.4
2.896e+02    687.8
2.050e+02    696.3
1.474e+02    709.1
1.081e+02    723.8
8.098e+01    737.4
6.216e+01    747.2
4.889e+01    754.9
3.935e+01    761.0
3.233e+01    765.3
2.700e+01    767.1
2.281e+01    767.2
1.939e+01    764.8
1.648e+01    761.3
1.392e+01    755.0
1.159e+01    746.8
9.421e+00    734.7
7.352e+00    720.2
5.349e+00    703.4
