HCCCN (wavelength = nm, xs = cm2/molecule)
wavelength          300K                
1.00000000e-01      1.00000000e-22      
1.00000000e+00      1.10000000e-19      
3.00000000e+00      2.20000000e-18      
3.10000000e+00      1.50000000e-18      
4.10000000e+00      3.10000000e-18      
4.30000000e+00      2.10000000e-19      
5.00000000e+00      3.10000000e-19      
1.00000000e+01      1.60000000e-18      
2.00000000e+01      5.80000000e-18      
3.00000000e+01      1.20000000e-17      
4.00000000e+01      2.00000000e-17      
5.00000000e+01      2.80000000e-17      
6.00000000e+01      3.60000000e-17      
7.00000000e+01      4.20000000e-17      
8.00000000e+01      4.80000000e-17      
1.05800000e+02      4.27000000e-17      
1.06100000e+02      3.11000000e-17      
1.06500000e+02      4.71000000e-17      
1.06900000e+02      2.21000000e-17      
1.07300000e+02      2.33000000e-17      
1.07400000e+02      3.21000000e-17      
1.07600000e+02      1.98000000e-17      
1.08400000e+02      3.26000000e-17      
1.08600000e+02      1.66000000e-17      
1.08900000e+02      2.33000000e-17      
1.09300000e+02      5.18000000e-17      
1.09700000e+02      1.86000000e-17      
1.10100000e+02      3.55000000e-17      
1.10900000e+02      1.93000000e-17      
1.11700000e+02      6.29000000e-17      
1.12200000e+02      3.83000000e-17      
1.12500000e+02      3.81000000e-17      
1.12600000e+02      3.36000000e-17      
1.12900000e+02      4.33000000e-17      
1.13300000e+02      2.78000000e-17      
1.13700000e+02      4.60000000e-17      
1.14200000e+02      4.43000000e-17      
1.15300000e+02      1.02000000e-16      
1.16000000e+02      2.48000000e-17      
1.16300000e+02      4.06000000e-17      
1.16800000e+02      3.29000000e-17      
1.17600000e+02      4.66000000e-17      
1.18200000e+02      1.47000000e-17      
1.18900000e+02      3.49000000e-17      
1.19100000e+02      3.57000000e-17      
1.19200000e+02      4.14000000e-17      
1.20400000e+02      1.43000000e-17      
1.21800000e+02      2.59000000e-17      
1.22000000e+02      6.47000000e-17      
1.22300000e+02      6.53000000e-17      
1.22400000e+02      9.79000000e-17      
1.23500000e+02      2.85000000e-17      
1.24600000e+02      4.00000000e-17      
1.25700000e+02      9.97000000e-17      
1.26900000e+02      3.57000000e-17      
1.28300000e+02      6.09000000e-17      
1.29000000e+02      1.86000000e-16      
1.30700000e+02      2.52000000e-17      
1.31900000e+02      2.55000000e-17      
1.32800000e+02      3.44000000e-17      
1.33500000e+02      3.59000000e-17      
1.36100000e+02      7.74000000e-17      
1.36500000e+02      7.63000000e-17      
1.38700000e+02      1.08000000e-16      
1.39500000e+02      1.39000000e-16      
1.40900000e+02      1.78000000e-16      
1.42600000e+02      1.36000000e-16      
1.44800000e+02      2.23000000e-16      
1.46000000e+02      1.81000000e-16      
1.49200000e+02      3.77000000e-17      
1.50400000e+02      5.14000000e-17      
1.53800000e+02      1.10000000e-17      
1.55700000e+02      1.10000000e-17      
1.58300000e+02      6.47000000e-18      
1.59500000e+02      7.96000000e-18      
1.60600000e+02      8.22000000e-18      
1.61200000e+02      8.89000000e-18      
1.62300000e+02      5.02000000e-18      
1.62800000e+02      4.92000000e-18      
1.63200000e+02      3.72000000e-18      
2.00000000e+02      1.00000000e-19      
