HO2NO2_+_hv_=>_OH_+_NO3.txt
wavelength          300K                
1.00000000e-01      5.00000000e-01      
6.00000000e-01      5.00000000e-01      
2.26000000e+00      5.00000000e-01      
2.36000000e+00      5.00000000e-01      
2.00000000e+01      5.00000000e-01      
6.00000000e+01      5.00000000e-01      
9.00000000e+01      5.00000000e-01      
1.20000000e+02      5.00000000e-01      
1.30000000e+02      4.97942387e-01      
1.40000000e+02      5.00000000e-01      
1.50000000e+02      5.00000000e-01      
1.60000000e+02      5.00000000e-01      
1.65000000e+02      5.00000000e-01      
1.70000000e+02      5.00000000e-01      
1.75000000e+02      5.00000000e-01      
1.80000000e+02      5.00000000e-01      
1.85000000e+02      5.00000000e-01      
1.90000000e+02      5.00000000e-01      
1.95000000e+02      5.00000000e-01      
2.00000000e+02      5.00888099e-01      
2.05000000e+02      4.98637602e-01      
2.10000000e+02      4.97925311e-01      
2.15000000e+02      5.00000000e-01      
2.20000000e+02      5.00000000e-01      
2.25000000e+02      5.00000000e-01      
2.30000000e+02      5.00000000e-01      
2.35000000e+02      5.00000000e-01      
2.40000000e+02      4.99153976e-01      
2.45000000e+02      5.01006036e-01      
2.50000000e+02      5.00000000e-01      
2.55000000e+02      5.01424501e-01      
2.60000000e+02      5.00000000e-01      
2.65000000e+02      5.00000000e-01      
2.70000000e+02      5.00000000e-01      
2.75000000e+02      5.00000000e-01      
2.80000000e+02      5.00000000e-01      
2.85000000e+02      5.00000000e-01      
2.90000000e+02      5.00000000e-01      
2.95000000e+02      5.00000000e-01      
3.00000000e+02      5.00000000e-01      
3.05000000e+02      5.00000000e-01      
3.10000000e+02      5.00000000e-01      
3.15000000e+02      5.00000000e-01      
3.20000000e+02      5.00000000e-01      
3.25000000e+02      5.00000000e-01      
3.30000000e+02      5.00000000e-01      
3.40000000e+02      5.00000000e-01      
3.50000000e+02      5.00000000e-01      
3.60000000e+02      5.00000000e-01      
7.30000000e+02      0.00000000e+00      
1.34000000e+03      0.00000000e+00      
