SO (wavelength = nm, xs = cm2/molecule)
wavelength          300K                
1.76200000e+02      1.00000000e-18      
1.77800000e+02      1.00000000e-18      
1.79400000e+02      1.00000000e-18      
1.81000000e+02      1.00000000e-18      
1.82650000e+02      1.00000000e-18      
1.84350000e+02      1.00000000e-18      
1.86050000e+02      2.26000000e-18      
1.87800000e+02      4.36000000e-18      
1.89600000e+02      6.52000000e-18      
1.91400000e+02      8.68000000e-18      
1.93250000e+02      1.09000000e-17      
1.95150000e+02      1.30300000e-17      
1.97050000e+02      1.34100000e-17      
1.99000000e+02      1.38000000e-17      
2.01000000e+02      1.32000000e-17      
2.03050000e+02      1.15600000e-17      
2.05150000e+02      9.97600000e-18      
2.07250000e+02      9.64000000e-18      
2.09400000e+02      9.29600000e-18      
2.11650000e+02      7.88000000e-18      
2.13950000e+02      6.04000000e-18      
2.16250000e+02      4.45000000e-18      
2.18700000e+02      2.98000000e-18      
2.21100000e+02      1.92900000e-18      
2.23450000e+02      1.35100000e-18      
2.26000000e+02      8.40000000e-19      
2.28600000e+02      5.02000000e-19      
2.31250000e+02      2.40000000e-19      
2.33950000e+02      6.72000000e-20      
2.36700000e+02      0.00000000e+00      
2.39550000e+02      0.00000000e+00      
2.42450000e+02      0.00000000e+00      
2.45400000e+02      0.00000000e+00      
2.48450000e+02      0.00000000e+00      
2.51600000e+02      0.00000000e+00      
2.54800000e+02      0.00000000e+00      
2.58050000e+02      0.00000000e+00      
2.61450000e+02      0.00000000e+00      
2.64950000e+02      0.00000000e+00      
2.68500000e+02      0.00000000e+00      
2.72150000e+02      0.00000000e+00      
2.75900000e+02      0.00000000e+00      
2.79750000e+02      0.00000000e+00      
2.83700000e+02      0.00000000e+00      
2.87800000e+02      0.00000000e+00      
2.92000000e+02      0.00000000e+00      
2.96300000e+02      0.00000000e+00      
3.00750000e+02      0.00000000e+00      
3.05350000e+02      0.00000000e+00      
3.10100000e+02      0.00000000e+00      
3.15000000e+02      0.00000000e+00      
3.20000000e+02      0.00000000e+00      
3.25000000e+02      0.00000000e+00      
3.30000000e+02      0.00000000e+00      
3.35000000e+02      0.00000000e+00      
3.40000000e+02      0.00000000e+00      
3.43750000e+02      0.00000000e+00      
3.50000000e+02      0.00000000e+00      
3.60000000e+02      0.00000000e+00      
3.70000000e+02      0.00000000e+00      
3.80000000e+02      0.00000000e+00      
3.90000000e+02      0.00000000e+00      
4.00000000e+02      0.00000000e+00      
4.10000000e+02      0.00000000e+00      
4.20000000e+02      0.00000000e+00      
4.30000000e+02      0.00000000e+00      
4.40000000e+02      0.00000000e+00      
4.50000000e+02      0.00000000e+00      
