   alt                        press                      temp                       eddy                       H2SO4aer                   S8aer                      H                          H2                         H2O                        OH                         O                          O2                         CO                         CO2                        HCO                        H2CO                       C                          CH                         CH2                        CH3                        CH4                        S                          S2                         S3                         S4                         H2S                        HS                         SO                         SO2                        CS                         CS2                        OCS                        CN                         HCN                        N                          NH                         NH2                        NH3                        C2                         C2H                        C2H2                       C2H4                       NO                         HNO                        HO2                        HNCO                       N2O                        H2O2                       O3                         NO2                        NO3                        SO3                        HNO2                       HNO3                       H2SO4                      HCl                        Cl                         Cl2                        HOCl                       N2H4                       ClO                        C2H6                       CH3OH                      CH2CO                      CH3CHO                     C3H4                       C3H6                       C4H2                       C4H4                       OClO                       HCS                        C2H3                       C2H5                       NCO                        HCCO                       HSO                        CH3O                       H2COH                      H2CN                       N2H2                       C4H                        HCNOH                      C2H2OH                     CH3CO                      CH2CHO                     C2H3OH                     C2H4OH                     CH3O2                      HSO3                       N2H3                       NH2CO                      HS4                        C4H3                       CH2N2                      CH2CN                      CH3CN                      HCCCN                      H2SO4aer_r                 S8aer_r                    
   2.50000000000000000E-001   9.82780837508612781E-001   2.77000000000000000E+002   9.92841389999998937E+004   1.19797637476529834E-004   1.51992515294702479E-001   1.97795373684810358E-016   1.20000000000000003E-004   6.30834777922918959E-003   1.75129200161617582E-019   6.10035539700086508E-023   5.40591098616594208E-015   2.00000000000000010E-004   2.99999999999999989E-002   5.38325910295760721E-013   6.94314530763208175E-012   9.99999999999999929E-041   5.54387532024062528E-032   4.44890226049917891E-019   2.00698864169717064E-014   1.19999999999999989E-003   1.15054816487260581E-014   3.33363971065586116E-012   2.45405177583589708E-014   1.10890034988072342E-013   1.18644168398555619E-010   4.73726873995980595E-014   1.28912516754698691E-015   1.33913560955587704E-010   4.07279700928530293E-011   8.24555913122454558E-012   2.24083608640779787E-005   1.89130257898643528E-033   4.68428950299223881E-010   4.94420904925472219E-025   1.22317919333016887E-023   5.32099316525822731E-026   9.47576383015094798E-013   9.99999999999999929E-041   3.21694591766904416E-040   7.67675128201081879E-011   1.89750613646999905E-008   1.15914745304426951E-017   4.34312235683510398E-016   1.71863527178930290E-014   1.78916592366318427E-016   1.12590869129987453E-014   2.92796236736991281E-017   1.31336423373852781E-028   1.35495020374191418E-020   3.88879799127347537E-023   4.82371907740842113E-025   8.30535354079757982E-014   1.18381610150851593E-023   1.58479947280185534E-016   7.21669030508865276E-006   6.95310132163418544E-017   7.95297986453778674E-021   1.26164963281403583E-015   9.78740493948338770E-031   1.25027084107687303E-009   1.75253738122112528E-004   1.01581451556304259E-009   2.11106937390288936E-012   1.12049913181582309E-013   9.56702805647107406E-015   2.02312929144890431E-014   3.35048335370764399E-017   1.46332696063831734E-014   7.76531246914531023E-009   1.20872419380465552E-015   6.35028476080905345E-020   1.43109974433351441E-012   4.96446846982927571E-022   8.21105279547278496E-028   1.67619030389598062E-013   6.93290373359427253E-020   1.04243780460669313E-017   7.99458459603401268E-018   5.13830431265820307E-027   9.99999999999999929E-041   3.48063459091618203E-023   3.01204901179136651E-029   6.39397944808580507E-016   6.12092153140570949E-012   3.35600673522288579E-009   5.69753340735949114E-013   4.49800345822890150E-018   3.24201950386278603E-020   4.84113251470516836E-035   7.74266047610216856E-014   3.67591147428048906E-014   1.25408754318389828E-021   1.04631271477332277E-014   1.82124452679231892E-019   3.45501100450954566E-013   1.64729620240487006E-014   1.00000000000000005E-004   1.00000000000000005E-004
   7.50000000000000000E-001   9.24590176015747445E-001   2.73000000000000000E+002   9.92841389999998937E+004   1.20197430078411904E-004   1.52180812943077393E-001   1.73893325578151616E-016   1.20072912715354723E-004   4.72911159178205417E-003   1.65782145332220213E-019   1.00321426566927372E-022   5.47974505028083059E-015   2.00077344598459985E-004   2.99999584972011589E-002   5.36628659306467541E-013   6.69668435908237505E-012   9.99999999999999929E-041   6.78237133572245238E-032   6.27561439102801931E-019   1.81876322764378541E-014   1.19996227462217759E-003   1.42721871272415721E-014   3.43822552554503470E-012   2.42168388206637234E-014   1.10720954200813075E-013   1.19540950014405971E-010   3.43590458032946362E-014   1.67678944304404471E-015   2.02938928808675652E-010   4.01691416429615226E-011   8.80450422992697481E-012   2.24083596577389644E-005   1.34217599446799870E-033   4.70119106306744435E-010   3.82250194015626395E-025   9.65160937374046939E-024   4.43995356436965833E-026   9.47537633133117726E-013   9.99999999999999929E-041   1.89254034163967357E-040   7.67686083801065081E-011   1.89739388189430171E-008   1.14718456327565045E-017   4.73041743473541302E-016   2.30623913531515232E-014   2.34420266727623006E-016   1.12590864525962875E-014   3.38289398676468086E-017   1.86703164535496142E-028   1.65933351825101967E-020   4.02163536408300895E-023   5.57403186315203345E-025   8.30536458702912081E-014   1.31389632576917014E-023   2.40167743538425412E-016   7.21666877719121896E-006   6.57575324897307154E-017   6.12296386064168960E-021   1.11648678070019798E-015   9.78759390568055924E-031   1.28474254606045311E-009   1.75253738527025204E-004   1.01581437374234754E-009   2.11137320859532295E-012   9.85235651241797966E-014   9.56687099224276686E-015   2.02465913702841213E-014   3.35134196485013564E-017   1.46332599685917049E-014   7.75218999499191427E-009   1.09027651029915368E-015   6.32582147280939198E-020   1.34180625405045463E-012   9.11542398941385072E-022   9.38336175422885575E-028   2.53223166374557775E-013   6.78335954773577743E-020   9.80675353243009922E-018   7.54641202328013934E-018   5.13847171089717232E-027   9.99999999999999929E-041   4.59745726373016864E-023   3.04935781942193151E-029   7.26017912458687545E-016   6.10684813284806600E-012   3.35603256819447039E-009   6.12933227250256947E-013   4.58459909522846425E-018   8.04133537021806303E-020   4.96360877988056151E-035   7.74630671369222486E-014   3.62716726342749981E-014   1.42489470103936179E-021   1.07216801650075828E-014   1.78497529502886734E-019   3.45500153028030673E-013   1.65323976739228245E-014   1.00000000000000005E-004   1.00000000000000005E-004
   1.25000000000000000E+000   8.69047177914204827E-001   2.69000000000000000E+002   9.92841389999998937E+004   1.20641483025303538E-004   1.52124718125738689E-001   1.59173440742414873E-016   1.20149335371109618E-004   3.51474193063622655E-003   1.63266216582481433E-019   1.70572354648358633E-022   5.56205042047345188E-015   2.00158400261890611E-004   2.99999149857679039E-002   5.30806841704310787E-013   6.12396257110978691E-012   9.99999999999999929E-041   8.80075583560669376E-032   9.02228481733488798E-019   1.71957127254687252E-014   1.19992274092574911E-003   1.74708460057143785E-014   3.51333926391199249E-012   2.34750511418984152E-014   1.08471878573871425E-013   1.19649318485730953E-010   2.60402285531233656E-014   2.17189177926337110E-015   2.67734006774086488E-010   3.94526597930919440E-011   9.52113810940014922E-012   2.24083593152722105E-005   9.90087639375253304E-034   4.71890315959372520E-010   3.09339316485362796E-025   7.92453147707885973E-024   3.87092461809798954E-026   9.47468037325730734E-013   9.99999999999999929E-041   1.14139975412517064E-040   7.67706189384989911E-011   1.89717214790823509E-008   1.22633872241089066E-017   5.41574595722642642E-016   2.71096688555103500E-014   2.75991752146731229E-016   1.12590859636734930E-014   3.81137298276555104E-017   2.79942630646457062E-028   1.94845172846085273E-020   4.31467836016888557E-023   5.71461373101270596E-025   8.30538608509511462E-014   1.45232419394403702E-023   3.25772377717316617E-016   7.21662809606467004E-006   6.49471020067129913E-017   4.87665527634033984E-021   9.90869298141471312E-016   9.78794970940191066E-031   1.34991112858036556E-009   1.75253739981048385E-004   1.01581410297157572E-009   2.11229175436228870E-012   8.41244700411241288E-014   9.56658761610653869E-015   2.02775460117026883E-014   3.35291810658514401E-017   1.46332429964162110E-014   7.72751351130041896E-009   9.36750183605407173E-016   6.58460668689688325E-020   1.27408213142779433E-012   1.60672842953465226E-021   1.22786617849593072E-027   3.42109925271162619E-013   6.96208320477507968E-020   9.94386163758896007E-018   6.89042573077002485E-018   5.13883882287116302E-027   9.99999999999999929E-041   6.37893152186576311E-023   3.21815697650267693E-029   8.66101694174091823E-016   6.08217339954848789E-012   3.35607833606993081E-009   6.82400223299901835E-013   4.75770580237813119E-018   1.84077724146312889E-019   5.30186774007842310E-035   7.75176289480346256E-014   3.54201095069583193E-014   1.70068717853133851E-021   1.11142717272207802E-014   1.72761057127668660E-019   3.45498453822333207E-013   1.65946835751187916E-014   1.00000000000000005E-004   1.00000000000000005E-004
   1.75000000000000000E+000   8.16074385490908605E-001   2.65000000000000000E+002   9.92841389999998937E+004   1.21132747154215577E-004   1.51853551941456721E-001   1.51661316397685798E-016   1.20229491276283208E-004   2.58872010675291345E-003   1.67253283207160586E-019   3.13154851061640510E-022   5.73414141081641135E-015   2.00243405033517238E-004   2.99998693352985443E-002   5.24565586176276995E-013   5.48817335345628285E-012   9.99999999999999929E-041   1.20067712978010271E-031   1.31083076273019298E-018   1.68625026902912499E-014   1.19988128280061591E-003   2.11769222837841087E-014   3.56201702540278334E-012   2.24148052712700790E-014   1.04559225287875027E-013   1.19105071337602233E-010   2.06141039280458254E-014   2.80501719953240594E-015   3.28204393791264699E-010   3.86843650525871950E-011   1.02895807561010543E-011   2.24083597273396888E-005   7.45312541401222379E-034   4.73747784677514436E-010   2.56621175661081397E-025   6.59431520900340303E-024   3.50002872008486147E-026   9.47372509081237353E-013   9.99999999999999929E-041   9.99999999999999929E-041   7.67734329213360362E-011   1.89684391840152434E-008   1.39196224711283072E-017   6.35063417298664834E-016   2.97974120597752681E-014   3.12324820186515102E-016   1.12590854436854443E-014   4.10910985426319724E-017   4.63193512334961337E-028   2.28243631725957074E-020   4.79595555305342699E-023   5.45891608756106306E-025   8.30541739192751217E-014   1.60090482628982740E-023   4.15544901681968792E-016   7.21656947864995305E-006   6.66013236673657930E-017   4.16330438772921819E-021   9.07623805816078036E-016   9.78846393627981930E-031   1.44361629744536960E-009   1.75253742443294802E-004   1.01581369633979752E-009   2.11410359602002948E-012   7.25183121536730113E-014   9.56619975209343170E-015   2.03252866693462441E-014   3.35512442153910014E-017   1.46332195105074072E-014   7.69222542121956768E-009   7.87301508761086768E-016   7.16165308928184409E-020   1.23328941877927359E-012   2.63417756706590182E-021   1.81202051366744233E-027   4.34136800221689379E-013   7.54828900396243561E-020   1.06269380789475893E-017   6.15618771190572955E-018   5.13941600693386887E-027   9.99999999999999929E-041   9.29971538641480823E-023   3.54027951703659066E-029   1.07941879080307274E-015   6.04913474286877821E-012   3.35613991920903295E-009   7.68203293527448007E-013   5.05430075974363874E-018   4.15203625698208323E-019   5.96870835363479060E-035   7.75818818486447524E-014   3.42981166146873542E-014   2.12988476840836785E-021   1.15478120203822913E-014   1.65817839801556308E-019   3.45496137181085052E-013   1.66600027872902877E-014   1.00000000000000005E-004   1.00000000000000005E-004
   2.25000000000000000E+000   7.65593534088609751E-001   2.61000000000000000E+002   9.92841389999998937E+004   1.21674408304199547E-004   1.51399583898795292E-001   1.49347136130195767E-016   1.20313622077154557E-004   1.88873724291210810E-003   1.76969557923867609E-019   6.08483562064118913E-022   6.06031214458817168E-015   2.00332616056651607E-004   2.99998214050377007E-002   5.17336952944602281E-013   4.86688488842055867E-012   9.99999999999999929E-041   1.70047824291012934E-031   1.91393677192571137E-018   1.69943920267386045E-014   1.19983777500444022E-003   2.54794220410031177E-014   3.58723296386019911E-012   2.11277533393595534E-014   9.93877849431622762E-014   1.18002584965734604E-010   1.69134745435832270E-014   3.62550563991433445E-015   3.84264128772329935E-010   3.78901061778991051E-011   1.10839681030757582E-011   2.24083607269309033E-005   5.61994051629430302E-034   4.75697127698487257E-010   2.14114973539736071E-025   5.46699993901104539E-024   3.24847113221929704E-026   9.47254488954742503E-013   9.99999999999999929E-041   9.99999999999999929E-041   7.67769853019800960E-011   1.89640870113875224E-008   1.63802980389524570E-017   7.50136870068171159E-016   3.15029916691430612E-014   3.47419510042462285E-016   1.12590848898133049E-014   4.24793872499094562E-017   8.36247752264172907E-028   2.67593748191623198E-020   5.49769661658076201E-023   4.96690368013384704E-025   8.30545818514150244E-014   1.76459886717472227E-023   5.09755611534694996E-016   7.21649357090487644E-006   7.02680281018233933E-017   3.78431112454060534E-021   8.58772636109768208E-016   9.78914032756725044E-031   1.56454401101858704E-009   1.75253745919561765E-004   1.01581314007565203E-009   2.11706924092114545E-012   6.38559029038828692E-014   9.56572342349130168E-015   2.03916025133393387E-014   3.35791014916564666E-017   1.46331899454540264E-014   7.64699283168040859E-009   6.56770498866900341E-016   8.08276801719863137E-020   1.21313128799003892E-012   3.97760489217501907E-021   2.92877620531542040E-027   5.29144104781526668E-013   8.63200357679953331E-020   1.17757155018953036E-017   5.41469735978945876E-018   5.14020831034892409E-027   9.99999999999999929E-041   1.41521684524821240E-022   4.03149896767981564E-029   1.39294005119613411E-015   6.00920729700176841E-012   3.35621443542873882E-009   8.63969150064209912E-013   5.53176779778828003E-018   9.46398441165941126E-019   7.11515660044420347E-035   7.76521308232487127E-014   3.29754919590259518E-014   2.78063842839106978E-021   1.19504459740251635E-014   1.58232098686183613E-019   3.45493303826164173E-013   1.67285527776189688E-014   1.00000000000000005E-004   1.00000000000000005E-004
   2.75000000000000000E+000   7.17503202349620173E-001   2.56750000000000000E+002   9.92841389999998937E+004   1.22268945542239885E-004   1.50794076027260970E-001   1.49072010004780529E-016   1.20401947675947835E-004   1.33670184387153410E-003   1.90628666457493578E-019   1.22007847488020164E-021   6.58937080965039566E-015   2.00426267128995514E-004   2.99997710658330245E-002   5.05565703019655014E-013   4.26015633004155738E-012   9.99999999999999929E-041   2.47465067476814557E-031   2.83784609202328037E-018   1.72704351330907767E-014   1.19979210377871509E-003   3.04153974383992814E-014   3.56658211588718540E-012   1.94676526890264315E-014   9.22497812360988806E-014   1.16415964702721434E-010   1.40282578164425080E-014   4.68702612127549881E-015   4.35813799060035109E-010   3.70800643414607846E-011   1.18941156274670715E-011   2.24083621976370387E-005   4.05353416847092366E-034   4.77743447766602430E-010   1.72490485654082137E-025   4.35139704396695168E-024   3.01804210849864678E-026   9.47116654996145850E-013   9.99999999999999929E-041   1.65041074731901420E-039   7.67812387768184796E-011   1.89586349288741544E-008   1.95697132373077966E-017   8.84195854328603548E-016   3.25438303578995135E-014   3.83092913351684306E-016   1.12590842989362526E-014   4.24792636623693113E-017   1.61654378477297916E-027   3.12748595124122482E-020   6.45837484476546691E-023   4.25233828707782179E-025   8.30550838464887690E-014   1.94959390617890462E-023   6.08648820660465663E-016   7.21640072595480184E-006   7.50631889348688246E-017   3.57701859936409429E-021   8.32248561127486181E-016   9.78999405300677443E-031   1.71175966548243898E-009   1.75253750446137223E-004   1.01581241575019671E-009   2.12143934998189687E-012   5.72023601740450338E-014   9.56517060714709624E-015   2.04785741619919079E-014   3.36124632205399605E-017   1.46331544568080794E-014   7.59239619518205839E-009   5.47777023828259974E-016   9.37034645917982124E-020   1.20229565422055130E-012   5.56644059993009282E-021   5.07927678943815581E-027   6.26927941627076965E-013   1.03557393002878209E-019   1.33050594711212975E-017   4.70571291810968230E-018   5.14122024528059296E-027   9.99999999999999929E-041   2.27821895590727583E-022   4.70715000906273145E-029   1.86363916909060174E-015   5.96343558915635260E-012   3.35629969780218730E-009   9.65405509723912048E-013   6.27037353419392551E-018   2.30126211652477776E-018   8.95747692854432640E-035   7.77268323793695862E-014   3.15058599638128522E-014   3.78180579472661694E-021   1.22647800595791069E-014   1.50383682415944365E-019   3.45490031119139909E-013   1.68005129878472514E-014   1.00000000000000005E-004   1.00000000000000005E-004
   3.25000000000000000E+000   6.71684541556875736E-001   2.52250000000000000E+002   9.92841389999998937E+004   1.22917978953081849E-004   1.50067721048744246E-001   1.49411053062576380E-016   1.20494660344344447E-004   9.15287448197648571E-004   2.07128190991895613E-019   2.46760146895944321E-021   7.38620801482765059E-015   2.00524562794112250E-004   2.99997182031173440E-002   4.87986740709244448E-013   3.67278590891487948E-012   9.99999999999999929E-041   3.66181598926550879E-031   4.27018763553337760E-018   1.75257272181156399E-014   1.19974416973824276E-003   3.60739614460847408E-014   3.50069959283660256E-012   1.75346909143501151E-014   8.36036744705633425E-014   1.14412723487688936E-010   1.16524757579240434E-014   6.07467049146941720E-015   4.82752310704354492E-010   3.62523729563093127E-011   1.27218905157904238E-011   2.24083639535592048E-005   2.76503991617467495E-034   4.79891205914547404E-010   1.32774474895062166E-025   3.29804213200427537E-024   2.77676983778483082E-026   9.46961438415519966E-013   9.99999999999999929E-041   3.20232417221789760E-038   7.67861653602365397E-011   1.89520374969026225E-008   2.34812769898522463E-017   1.03481621977424695E-015   3.31786200430422953E-014   4.20195490806236728E-016   1.12590836675812926E-014   4.14989555216845323E-017   3.27264108485379041E-027   3.63883426914080456E-020   7.72426687845594776E-023   3.44137920201924247E-025   8.30556804424807244E-014   2.16232262346655344E-023   7.12434993925340025E-016   7.21629132969636192E-006   8.04226933919456039E-017   3.45163941788593268E-021   8.18422770634412874E-016   9.79105189180178417E-031   1.88416080470553156E-009   1.75253756068666060E-004   1.01581150313144926E-009   2.12746234558063536E-012   5.19027784579157979E-014   9.56455079983830268E-015   2.05881018634599959E-014   3.36511126600001573E-017   1.46331130758556540E-014   7.52915097133483271E-009   4.58503786342231215E-016   1.10671457870400107E-019   1.19567748624490889E-012   7.29352757050070439E-021   9.23346739539265348E-027   7.27202382335457795E-013   1.29771477042674464E-019   1.51987037883253110E-017   4.05368622741072032E-018   5.14245512899646908E-027   9.99999999999999929E-041   3.85535637861405801E-022   5.58686014221479034E-029   2.56394764627242220E-015   5.91273249995420398E-012   3.35639376186471618E-009   1.06932275296021194E-012   7.37818961205726584E-018   6.14228015157678931E-018   1.18032443798663896E-034   7.78053734906635237E-014   2.99377966208523852E-014   5.31309555719072556E-021   1.24431370247634043E-014   1.42567971968349938E-019   3.45486382438401315E-013   1.68760402910667241E-014   1.00000000000000005E-004   1.00000000000000005E-004
   3.75000000000000000E+000   6.28068865534074150E-001   2.48000000000000000E+002   9.92841389999998937E+004   1.23625360137845824E-004   1.49249597406372558E-001   1.52063081392528171E-016   1.20592059049012804E-004   6.31893518385481801E-004   2.27321625512853355E-019   4.89525711194920251E-021   8.53758110619278607E-015   2.00627820926899255E-004   2.99996626424324370E-002   4.69688298206218067E-013   3.13783225527365229E-012   9.99999999999999929E-041   5.42092676303781557E-031   6.32647458768535815E-018   1.79686668701172562E-014   1.19969381824505325E-003   4.27537013316344270E-014   3.44201476705037115E-012   1.58129993245868133E-014   7.57810823827915365E-014   1.12053465990781719E-010   9.90943784957342420E-015   7.90224104624825031E-015   5.25050312338102513E-010   3.53898394017105039E-011   1.35844860181672205E-011   2.24083656900217038E-005   1.89755703556587837E-034   4.82147336754472985E-010   1.02836890173761678E-025   2.50832770968335723E-024   2.58688679240730598E-026   9.46790745773747121E-013   9.99999999999999929E-041   4.60190760932580580E-037   7.67917473938948331E-011   1.89442313505103085E-008   2.82702380525587753E-017   1.19993386364044679E-015   3.36370313888831705E-014   4.59162112781463958E-016   1.12590829918294317E-014   3.99774087335904447E-017   6.69703557171415873E-027   4.22310608338588490E-020   9.35304874562632511E-023   2.77828482979577360E-025   8.30563740332429247E-014   2.40940436171967650E-023   8.21436813545085564E-016   7.21616574173209711E-006   8.69194235788563141E-017   3.38934782794541059E-021   8.10578078420190765E-016   9.79235702362686413E-031   2.08058116344551048E-009   1.75253762841193233E-004   1.01581038048698053E-009   2.13539397176254849E-012   4.78592097646126474E-014   9.56387024568254503E-015   2.07217732926955599E-014   3.36949136488540188E-017   1.46330657875112591E-014   7.45806257186333379E-009   3.86235366806540419E-016   1.32255594670181087E-019   1.19741395041911087E-012   9.05381823812139644E-021   1.68834715021732001E-026   8.29741039323142168E-013   1.69550173290969920E-019   1.75434759393463756E-017   3.47155679457390599E-018   5.14391623174285026E-027   2.21242114409337926E-040   6.50198563234215664E-022   6.68452271652847874E-029   3.52063766286886463E-015   5.85785703202864994E-012   3.35649496250482410E-009   1.17350978078055722E-012   9.00606282589038147E-018   1.76678066381755804E-017   1.60804674182732511E-034   7.78876896493033232E-014   2.83146136277605838E-014   7.51937291572932817E-021   1.24502561772152670E-014   1.35002407868106909E-019   3.45482402488479300E-013   1.69553785451732963E-014   1.00000000000000005E-004   1.00000000000000005E-004
   4.25000000000000000E+000   5.86628160253038988E-001   2.44000000000000000E+002   9.92841389999998937E+004   1.24397586513037947E-004   1.48362552662646002E-001   1.56236148158627320E-016   1.20694568605647165E-004   4.40522786979688280E-004   2.50505629923769984E-019   9.44689808203902879E-021   1.01905300734938440E-014   2.00736492617053348E-004   2.99996041389363477E-002   4.50854870773759797E-013   2.65785432798305452E-012   9.99999999999999929E-041   7.95687761097922212E-031   9.19944551622656903E-018   1.85344957117330494E-014   1.19964082960933856E-003   5.06691714574670823E-014   3.39359350717000587E-012   1.43053177040270859E-014   6.88332501930023214E-014   1.09389105626022673E-010   8.58309374717126127E-015   1.03100447829654139E-014   5.62734848537480234E-010   3.44879118376215556E-011   1.44864536701404064E-011   2.24083672571325452E-005   1.31110131771062780E-034   4.84521687179097575E-010   8.01815168365666576E-026   1.91793003380003818E-024   2.43073625171726658E-026   9.46605576920259213E-013   9.99999999999999929E-041   5.19154980454000177E-036   7.67979856471689238E-011   1.89351373296298076E-008   3.40139516949187652E-017   1.37846623292432274E-015   3.41270925969082601E-014   5.00272759955303869E-016   1.12590822672900296E-014   3.83073819884853236E-017   1.37624068381601362E-026   4.89786757322390731E-020   1.14174275583276713E-022   2.26193034682186815E-025   8.30571695902027324E-014   2.69772000314682920E-023   9.36097033237646781E-016   7.21602400403436187E-006   9.43453289565640269E-017   3.34985514467282945E-021   8.03377675451108408E-016   9.79397620232268221E-031   2.30032801927801352E-009   1.75253770840728647E-004   1.01580902220114582E-009   2.14549711158693442E-012   4.47309188710194821E-014   9.56313135200961862E-015   2.08811443009908132E-014   3.37438746556553858E-017   1.46330123250662922E-014   7.37978034377739326E-009   3.27865202062897760E-016   1.58879432246372876E-019   1.20427271069146029E-012   1.07728442955661971E-020   3.06038755879675161E-026   9.34383277831012293E-013   2.30418939602941725E-019   2.03439887680087926E-017   2.96215258374409127E-018   5.14560991896098504E-027   2.75643909414006327E-039   1.08451708976937912E-021   8.01180514476110471E-029   4.79231264251194876E-015   5.79926648529112462E-012   3.35660205106781573E-009   1.27665034324704593E-012   1.13959394888717036E-017   5.39163994107512171E-017   2.24168268598842837E-034   7.79740258008644864E-014   2.66680209719893049E-014   1.06518344213749020E-020   1.22629423122515463E-014   1.27815450595269372E-019   3.45478113356485323E-013   1.70388740201352802E-014   1.00000000000000005E-004   1.00000000000000005E-004
   4.75000000000000000E+000   5.47308052362723618E-001   2.40000000000000000E+002   9.92841389999998937E+004   1.25240604021008625E-004   1.47423126853720388E-001   1.59714186793726295E-016   1.20802602183481072E-004   3.03397975476341530E-004   2.74561409911233348E-019   1.77813188655395936E-020   1.26189949519572683E-014   2.00851016426185463E-004   2.99995424534521930E-002   4.28354199616829269E-013   2.21616357457693565E-012   9.99999999999999929E-041   1.15482992024059770E-030   1.33036045633975469E-017   1.89679451861304789E-014   1.19958499028294642E-003   5.99399391732918389E-014   3.33111664271335642E-012   1.28330171379230556E-014   6.19225335220708176E-014   1.06466763110317932E-010   7.43218705029629174E-015   1.35141225645996112E-014   5.95825971488147901E-010   3.35530835264933246E-011   1.54212972992390320E-011   2.24083685947419372E-005   8.79853585514361756E-035   4.87023831075025266E-010   6.10600250774121351E-026   1.43335203461963238E-024   2.25887311770403826E-026   9.46406438378384594E-013   9.99999999999999929E-041   4.81696338236201071E-035   7.68048879439534082E-011   1.89246731678348180E-008   4.06999311256827019E-017   1.56991259051775074E-015   3.48120341215358603E-014   5.43731443546206855E-016   1.12590814891502695E-014   3.67702134957597037E-017   2.91051048174908322E-026   5.68623361895099251E-020   1.40066254446836775E-022   1.86648874983293231E-025   8.30580733291653028E-014   3.03325018214040289E-023   1.05677973182296529E-015   7.21586604303917398E-006   1.01740888749014900E-016   3.28047737544609060E-021   7.92423571725184777E-016   9.79600495776790403E-031   2.54287748899581514E-009   1.75253780151492396E-004   1.01580740053953251E-009   2.15803308829911505E-012   4.20337423140822054E-014   9.56233449142179566E-015   2.10676031853189369E-014   3.37980593089595788E-017   1.46329521536360178E-014   7.29490023732551078E-009   2.80862207185181182E-016   1.90948209242677775E-019   1.20891466663575707E-012   1.23981000252303026E-020   5.51323174247184805E-026   1.04081476183926970E-012   3.24575416152799704E-019   2.35642865610461567E-017   2.52342897956133818E-018   5.14754357365318112E-027   2.83495710654509300E-038   1.82436408267903933E-021   9.57756564381476379E-029   6.49831348720248924E-015   5.73725918792310618E-012   3.35671395257356041E-009   1.37778811137211808E-012   1.49236946545800190E-017   1.53305954444084133E-016   3.17314956115365519E-034   7.80646868035787016E-014   2.50237167575265015E-014   1.51740971684353776E-020   1.18658006502867852E-014   1.21085999744811752E-019   3.45473525033556307E-013   1.71268633835074572E-014   1.00000000000000005E-004   1.00000000000000005E-004
