   alt                        press                      den                        temp                       eddy                       H2SO4aer                   S8aer                      HCaer1                     HCaer2                     HCaer3                     H                          H2                         H2O                        OH                         O                          O2                         CO                         CO2                        HCO                        H2CO                       C                          CH                         CH2                        CH3                        CH4                        S                          S2                         S3                         S4                         H2S                        HS                         SO                         SO2                        CS                         CS2                        OCS                        CN                         HCN                        N                          NH                         NH2                        NH3                        C2                         C2H                        C2H2                       C2H4                       NO                         HNO                        HO2                        HNCO                       N2O                        H2O2                       O3                         NO2                        NO3                        SO3                        HNO2                       HNO3                       H2SO4                      HCl                        Cl                         Cl2                        HOCl                       N2H4                       ClO                        C2H6                       CH3OH                      CH2CO                      CH3CHO                     C3H4                       C3H6                       C4H2                       C4H4                       OClO                       HCS                        C2H3                       C2H5                       NCO                        1CH2                       HCCO                       NNH                        HSO                        CH3O                       H2COH                      H2CN                       N2H2                       C4H                        HCNOH                      C2H2OH                     CH3CO                      CH2CHO                     C2H3OH                     C2H4OH                     CH3O2                      HSO3                       N2H3                       NH2CO                      HS4                        C4H3                       CH2N2                      CH2CN                      CH3CN                      HCCCN                      H2SO4aer_r                 S8aer_r                    HCaer1_r                   HCaer2_r                   HCaer3_r                   
   2.50000000000000000E-001   9.83622998622563194E-001   2.47244581820807987E+019   2.88149990000000003E+002   1.00000000000000000E+005   1.03936417876564183E-009   9.99999999999999929E-041   9.99999999999999929E-041   3.38257944551117852E-027   9.99999999999999929E-041   9.48509923116928489E-022   5.30000000000000008E-007   1.34445527005547637E-002   1.74201552251285365E-014   6.19500406150407355E-017   2.09999999999999992E-001   1.10000000000000006E-007   3.60000000000000023E-004   1.10287155950368998E-023   3.64227829145796036E-011   9.99999999999999929E-041   9.99999999999999929E-041   8.62728749460732584E-034   3.40535036137779272E-020   1.79999999999999992E-006   6.09328390230367219E-025   7.72345348576409395E-031   9.99999999999999929E-041   9.99999999999999929E-041   3.51275239167000378E-012   2.98736911846111331E-018   1.37033869804272635E-019   2.33676484453908531E-011   9.99999999999999929E-041   9.99999999999999929E-041   2.00441388851034142E-017   4.51791157043416434E-039   4.98796196710063516E-015   9.50182502860589309E-039   1.93509804722195264E-030   4.71355343685338529E-023   4.98863910498505562E-021   9.99999999999999929E-041   9.99999999999999929E-041   2.75028940513388984E-029   9.08056989832335901E-025   4.08801827507472162E-016   1.42123432452572453E-017   6.37582751673201951E-011   1.72658602765995050E-017   3.09999999999999997E-007   8.64874315429549022E-010   2.59658550479207558E-008   1.19634127351641942E-013   1.55890864292623670E-015   7.59414462996784907E-020   9.03437356592930886E-014   4.09399553400388888E-011   1.02981544665772781E-011   2.21141025947937262E-036   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   3.50612912669916827E-031   9.99999999999999929E-041   3.87842677970587462E-023   1.55014930929851232E-017   6.28121374620355614E-025   1.55714272177133356E-025   9.99999999999999929E-041   3.74754968476948760E-038   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   1.71691008574648127E-040   2.04244834843962758E-025   2.68438766771189238E-023   2.68289253739376461E-035   6.05919978639340667E-039   6.68275885778934067E-033   2.67108485975376757E-018   1.01086432600740732E-019   1.26764620497891522E-014   7.97652370004472314E-028   1.16896892818898476E-029   9.99999999999999929E-041   1.32891878065315256E-023   9.99999999999999929E-041   2.79725830527259331E-025   1.38862970204646538E-030   2.25896587473832317E-022   1.51748652291052247E-025   5.29831453052911786E-009   5.60380779433983911E-024   1.40588245721572733E-031   8.01108983790863057E-018   9.99999999999999929E-041   9.99999999999999929E-041   7.86121886013576937E-024   1.20969100943917544E-036   8.61086865013377393E-026   6.37838755365826801E-037   1.00000000000000008E-005   1.00000000000000008E-005   1.00000000000000008E-005   1.00000000000000008E-005   1.00000000000000008E-005
   7.50000000000000000E-001   9.27049344624347071E-001   2.35682142339282166E+019   2.84900289999999984E+002   1.00000000000000000E+005   1.04474905208885071E-009   9.99999999999999929E-041   9.99999999999999929E-041   3.39998242467489057E-027   9.99999999999999929E-041   9.77769143815663639E-022   5.30448898812523622E-007   1.08336613016395428E-002   1.77158529311573753E-014   7.02290879740777332E-017   2.09999993412607472E-001   1.09095552465413134E-007   3.60001874556176485E-004   1.29006327034194115E-023   3.99643756439507645E-011   9.99999999999999929E-041   9.99999999999999929E-041   8.16809535460887815E-034   3.24183601551016525E-020   1.79911681257011147E-006   7.52522802300722936E-025   8.77300700517323136E-031   9.99999999999999929E-041   9.99999999999999929E-041   3.72618312811245847E-012   3.11043136842112107E-018   1.70589259542184968E-019   3.54653549162270720E-011   9.99999999999999929E-041   9.99999999999999929E-041   2.00442255647553537E-017   3.56034918485320832E-039   5.00619711426837460E-015   8.79541647051697186E-039   1.54813133039290607E-030   3.95781422473583909E-023   4.96101485358326108E-021   9.99999999999999929E-041   9.99999999999999929E-041   2.73159451943461980E-029   9.00142106639241075E-025   5.17701669448683756E-016   1.44190412858386893E-017   6.88326444275595750E-011   2.57272669893728443E-017   3.09973680488077878E-007   9.33745622843591488E-010   2.70951422805756579E-008   1.37487923055707090E-013   1.59855903125023751E-015   9.33381092473354088E-020   9.62652821007353858E-014   4.51069097434570284E-011   1.52638144674190576E-011   2.21141020435825276E-036   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   3.01961997378613387E-031   9.99999999999999929E-041   3.88360435211096239E-023   1.53984472169550867E-017   6.50177040875649078E-025   1.55978228499796410E-025   9.99999999999999929E-041   3.70435792136015805E-038   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   1.67905250501240954E-040   2.00449003640334804E-025   5.05107660418083455E-023   2.44685917678263401E-035   6.94460127685249977E-039   5.48371383169827273E-033   3.45783057979454276E-018   1.24113036981810419E-019   1.36435271016769416E-014   7.70275092311460892E-028   1.16409333423332872E-029   9.99999999999999929E-041   1.71822337400501913E-023   9.99999999999999929E-041   3.08660947631171554E-025   1.37505939995058754E-030   2.25896578350480801E-022   1.62133517355365226E-025   5.19339503004081254E-009   8.81557814165297361E-024   1.28635608116202236E-031   8.03769305747093008E-018   9.99999999999999929E-041   9.99999999999999929E-041   6.79261752877223661E-024   1.19720079917832989E-036   8.61013926716610881E-026   6.40125253975427851E-037   1.00000000000000008E-005   1.00000000000000008E-005   1.00000000000000008E-005   1.00000000000000008E-005   1.00000000000000008E-005
   1.25000000000000000E+000   8.73105208941526212E-001   2.24528699170464727E+019   2.81651090000000011E+002   1.00000000000000000E+005   1.05040083104070466E-009   9.99999999999999929E-041   9.99999999999999929E-041   3.41813929882044833E-027   9.99999999999999929E-041   1.01506098865316331E-021   5.30927098159316956E-007   8.68613733387339597E-003   1.80970098438313351E-014   8.01885167025984410E-017   2.09999986472563793E-001   1.08264590897763966E-007   3.60003697396057260E-004   1.52180750178084702E-023   4.41064463503718973E-011   9.99999999999999929E-041   9.99999999999999929E-041   7.76709600050889493E-034   3.09597058907784405E-020   1.79830476238223920E-006   9.14442457126194848E-025   9.80163582449016904E-031   9.99999999999999929E-041   9.99999999999999929E-041   3.90926940898245284E-012   3.19778849711610853E-018   2.11743402698123915E-019   4.62069434746826036E-011   9.99999999999999929E-041   9.99999999999999929E-041   2.00443372480553913E-017   2.80308049742334541E-039   5.02566318737823175E-015   8.28896183224006662E-039   1.25132402636916364E-030   3.03734877094344022E-023   4.92136061548383198E-021   9.99999999999999929E-041   9.99999999999999929E-041   2.69755638193031054E-029   8.85772837397973185E-025   7.02821494223412564E-016   1.48409918255931005E-017   7.06369699595894322E-011   3.42610946080743976E-017   3.09946061072723441E-007   9.84227475308586803E-010   2.84636565604002558E-008   1.66472697039630488E-013   1.76395728281852731E-015   1.01092773388055347E-019   1.08587435482780699E-013   4.94601378118601528E-011   2.00183249509422265E-011   2.21141014426280940E-036   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   2.34281117340320373E-031   9.99999999999999929E-041   3.89417350578736788E-023   1.52286731270685488E-017   6.91535252800443178E-025   1.56145796803691579E-025   9.99999999999999929E-041   3.62998082995399676E-038   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   1.63705833369436045E-040   1.94832899203797579E-025   7.91534079436396246E-023   2.24093455526222396E-035   7.97627773827051397E-039   4.50675500983231168E-033   4.46746060851643522E-018   1.56308808478850263E-019   1.53298563713891226E-014   7.26331607539576698E-028   1.15489587394097958E-029   9.99999999999999929E-041   2.24376735342881224E-023   9.99999999999999929E-041   3.43229824300395636E-025   1.35104746904153844E-030   2.25896568709008286E-022   1.74453705903533697E-025   4.99414084923851257E-009   1.19621597842875656E-023   1.09053863899844463E-031   8.08028361608821733E-018   9.99999999999999929E-041   9.99999999999999929E-041   5.69230828256026087E-024   1.17427402983370486E-036   8.60780970402770754E-026   6.42524629622309887E-037   1.00000000000000008E-005   1.00000000000000008E-005   1.00000000000000008E-005   1.00000000000000008E-005   1.00000000000000008E-005
   1.75000000000000000E+000   8.21705645402471485E-001   2.13776548041371034E+019   2.78402370000000019E+002   1.00000000000000000E+005   1.05633611838274483E-009   9.99999999999999929E-041   9.99999999999999929E-041   3.43711246284206922E-027   9.99999999999999929E-041   1.05281265987928307E-021   5.31430773842623757E-007   6.92822796317978540E-003   1.84107190328129223E-014   9.21129385602460743E-017   2.09999979154196409E-001   1.07501581508438138E-007   3.60005471700629287E-004   1.80772552477822413E-023   4.90971396093523176E-011   9.99999999999999929E-041   9.99999999999999929E-041   7.30818140598945850E-034   2.94061695403155745E-020   1.79755544110091041E-006   1.08797650081979297E-024   1.05798866233621588E-030   9.99999999999999929E-041   9.99999999999999929E-041   4.06541859910956456E-012   3.22835963190519491E-018   2.60348094708336088E-019   5.56698047642526633E-011   9.99999999999999929E-041   9.99999999999999929E-041   2.00444120392086008E-017   2.18560116265018449E-039   5.04641183737151345E-015   7.88497108388704700E-039   1.02148814832469815E-030   2.19217913757653993E-023   4.87812295280226088E-021   9.99999999999999929E-041   9.99999999999999929E-041   2.65122025531217693E-029   8.66477777029327939E-025   9.86690409854393031E-016   1.54937260581006463E-017   7.21920979319368595E-011   4.29040729045588272E-017   3.09917060542269845E-007   1.01993636397325517E-009   3.00678150913299831E-008   2.04961770325326378E-013   1.96447123969986833E-015   1.01488678121254662E-019   1.28218533512721080E-013   5.40127926067279309E-011   2.44283055266016608E-011   2.21141008132445379E-036   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   1.69714271972302698E-031   9.99999999999999929E-041   3.91034608163660672E-023   1.50145788151387974E-017   7.50796851686886141E-025   1.55154223450809980E-025   9.99999999999999929E-041   3.53338797201446545E-038   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   1.57994715278632095E-040   1.88395910779792468E-025   1.05189164449188133E-022   2.03016076642060797E-035   9.17865177611209733E-039   3.67992947444006086E-033   5.72314714639018869E-018   1.99304712109987801E-019   1.76444462752423819E-014   6.73257101937858938E-028   1.14228272992998599E-029   9.99999999999999929E-041   2.93465567382555672E-023   9.99999999999999929E-041   3.81372873023042453E-025   1.31897300346091187E-030   2.25896558504624864E-022   1.85124807569544751E-025   4.71099625076349971E-009   1.49535664741557559E-023   8.71540387276667021E-032   8.13300160525036260E-018   9.99999999999999929E-041   9.99999999999999929E-041   4.69297414630548061E-024   1.14266887662951879E-036   8.60347497874594303E-026   6.45043938334282088E-037   1.00000000000000008E-005   1.00000000000000008E-005   1.00000000000000008E-005   1.00000000000000008E-005   1.00000000000000008E-005
   2.25000000000000000E+000   7.72765318778078747E-001   2.03417488820186931E+019   2.75154139999999984E+002   1.00000000000000000E+005   1.06257271576524917E-009   9.99999999999999929E-041   9.99999999999999929E-041   3.45696814331547365E-027   9.99999999999999929E-041   1.09045218981240631E-021   5.31955476774714764E-007   5.49642359865052787E-003   1.86353294244478423E-014   1.06327826272691242E-016   2.09999971434780663E-001   1.06799610761557904E-007   3.60007201125626757E-004   2.16056781994524862E-023   5.50858641363828034E-011   9.99999999999999929E-041   9.99999999999999929E-041   6.79270465941266199E-034   2.77507262038901118E-020   1.79686065981198486E-006   1.26983733257959625E-024   1.10539437458468941E-030   9.99999999999999929E-041   9.99999999999999929E-041   4.19628216334862390E-012   3.20512614819887634E-018   3.17222411802348251E-019   6.39174982202303506E-011   9.99999999999999929E-041   9.99999999999999929E-041   2.00443898041598966E-017   1.68577304870825556E-039   5.06849857815706521E-015   7.56043174127576932E-039   8.41601051865242688E-031   1.51771709276459525E-023   4.83518208064358729E-021   9.99999999999999929E-041   9.99999999999999929E-041   2.59536650645678183E-029   8.43637210592646405E-025   1.41580098077459699E-015   1.63981935763942041E-017   7.39561614729259713E-011   5.16923893797323670E-017   3.09886591799542933E-007   1.04451690856679845E-009   3.19029140771148360E-008   2.53409760304003083E-013   2.18070177006851434E-015   9.66673283000400542E-020   1.56482552218310705E-013   5.87762906432586256E-011   2.83777674480525312E-011   2.21141001732088084E-036   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   1.17838580264538647E-031   9.99999999999999929E-041   3.93232285203915044E-023   1.47708371664938800E-017   8.27992336372724013E-025   1.52304132512294126E-025   9.99999999999999929E-041   3.42137116546612542E-038   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   1.50981176228194105E-040   1.81649388179590987E-025   1.21419889846253488E-022   1.81607539659864615E-035   1.05793787751393546E-038   2.98373162784065838E-033   7.27318980740055698E-018   2.56084638135652578E-019   2.05681848777059826E-014   6.16161271377655806E-028   1.12724733562468665E-029   9.99999999999999929E-041   3.84136765071110555E-023   9.99999999999999929E-041   4.23036670726912230E-025   1.28076987198062647E-030   2.25896547689639082E-022   1.92757324150662241E-025   4.35518499676069226E-009   1.77305630894860255E-023   6.67251898545550572E-032   8.19269084824797947E-018   9.99999999999999929E-041   9.99999999999999929E-041   3.81449129246615295E-024   1.10398561040873721E-036   8.59726277667729660E-026   6.47690749740443849E-037   1.00000000000000008E-005   1.00000000000000008E-005   1.00000000000000008E-005   1.00000000000000008E-005   1.00000000000000008E-005
   2.75000000000000000E+000   7.26199040010507280E-001   1.93442972860241551E+019   2.71906400000000019E+002   1.00000000000000000E+005   1.06912973070794526E-009   9.99999999999999929E-041   9.99999999999999929E-041   3.47777604510556013E-027   9.99999999999999929E-041   1.12858973613305068E-021   5.32495953859723110E-007   4.33625558017879369E-003   1.87692088504846420E-014   1.23203928233357902E-016   2.09999963293287600E-001   1.06150055730919747E-007   3.60008889912761957E-004   2.59579224470241187E-023   6.22163527096518769E-011   9.99999999999999929E-041   9.99999999999999929E-041   6.23772100313093075E-034   2.60207521023937136E-020   1.79621242896646907E-006   1.45713122279239320E-024   1.12181035872984680E-030   9.99999999999999929E-041   9.99999999999999929E-041   4.30176336460880121E-012   3.13484399678790415E-018   3.83347366157398158E-019   7.09999002461189261E-011   9.99999999999999929E-041   9.99999999999999929E-041   2.00442132295451326E-017   1.28609612354257125E-039   5.09198315090551035E-015   7.30230896630863410E-039   6.99140040024213562E-031   1.02733197990220103E-023   4.79405288492738358E-021   9.99999999999999929E-041   9.99999999999999929E-041   2.53244603075514233E-029   8.18394980086612072E-025   2.07140108822668673E-015   1.75810300473394812E-017   7.60685784586067114E-011   6.06630231540622832E-017   3.09854561336042071E-007   1.06078849272031115E-009   3.39629908699650288E-008   3.13367448649356331E-013   2.40516208789810993E-015   8.85089985106208015E-020   1.95154635700295616E-013   6.37613845042302041E-011   3.17687127794588733E-011   2.21140995130141888E-036   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   7.99133863792488460E-032   9.99999999999999929E-041   3.96029019346821879E-023   1.45073671251103593E-017   9.24535804631557566E-025   1.47407833221070472E-025   9.99999999999999929E-041   3.29900943093271129E-038   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   1.43018252299297267E-040   1.74849824785826088E-025   1.25140287658003529E-022   1.60421493107507622E-035   1.22097191799763438E-038   2.40357332227709888E-033   9.17711015302645701E-018   3.31059564693140413E-019   2.41167872488626441E-014   5.58452041115678345E-028   1.11067437389967953E-029   9.99999999999999929E-041   5.03376899739652014E-023   9.99999999999999929E-041   4.68514886455078315E-025   1.23802757112989411E-030   2.25896536213165154E-022   1.97047994746665362E-025   3.93885522473154464E-009   2.02459590169306969E-023   4.95930777451092638E-032   8.25772169944389229E-018   9.99999999999999929E-041   9.99999999999999929E-041   3.05837532349222889E-024   1.05968299081910079E-036   8.58964638501575599E-026   6.50473193287348053E-037   1.00000000000000008E-005   1.00000000000000008E-005   1.00000000000000008E-005   1.00000000000000008E-005   1.00000000000000008E-005
   3.25000000000000000E+000   6.81922204123590503E-001   1.83844150315938263E+019   2.68659209999999973E+002   1.00000000000000000E+005   1.07602769433959660E-009   9.99999999999999929E-041   9.99999999999999929E-041   3.49960937975408880E-027   9.99999999999999929E-041   1.16829606835991885E-021   5.33045968645227782E-007   3.40124458896603208E-003   1.88161187434522356E-014   1.43161799425989198E-016   2.09999954710612835E-001   1.05542372763850109E-007   3.60010542855654055E-004   3.13199863438986841E-023   7.06402884022775897E-011   9.99999999999999929E-041   9.99999999999999929E-041   5.66233384819397979E-034   2.42484487347768173E-020   1.79560303480954285E-006   1.64676557115096105E-024   1.10895021399634878E-030   9.99999999999999929E-041   9.99999999999999929E-041   4.38019607001546821E-012   3.02481625500977408E-018   4.59684618776936745E-019   7.69541644239248840E-011   9.99999999999999929E-041   9.99999999999999929E-041   2.00438287116964665E-017   9.70594801642920785E-040   5.11693025440340664E-015   7.10006388889953950E-039   5.84897852931466034E-031   6.92437635947087977E-024   4.75516239449468679E-021   9.99999999999999929E-041   9.99999999999999929E-041   2.46454134878773535E-029   7.91653732796647208E-025   3.09403396613901297E-015   1.90753476803018263E-017   7.86349494850997452E-011   6.98542658951202964E-017   3.09820868652814092E-007   1.07057837932186788E-009   3.62405646513056560E-008   3.87130161653359217E-013   2.63222712420411459E-015   7.85740706611218648E-020   2.46507849184460953E-013   6.89785360304931848E-011   3.45208630430031827E-011   2.21140988307527493E-036   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   5.36152931148831543E-032   9.99999999999999929E-041   3.99441983314801254E-023   1.42308098197823176E-017   1.04324303682380774E-024   1.40674568259492787E-025   9.99999999999999929E-041   3.17006289089274887E-038   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   1.34443055036240232E-040   1.68121153878674198E-025   1.18445433628967222E-022   1.39995298152411105E-035   1.41050021508037040E-038   1.92527954558063549E-033   1.15032496199046792E-017   4.30378736894199465E-019   2.83154155175146098E-014   5.02297792706599453E-028   1.09325453621089531E-029   9.99999999999999929E-041   6.60697253887376245E-023   9.99999999999999929E-041   5.18233019488615113E-025   1.19205150153861465E-030   2.25896524020743838E-022   1.98235996208751191E-025   3.47523419834264552E-009   2.24609658151780943E-023   3.61550118757956787E-032   8.32732016335089582E-018   9.99999999999999929E-041   9.99999999999999929E-041   2.41997736516633443E-024   1.01108297262309431E-036   8.58117618183674168E-026   6.53400009155233611E-037   1.00000000000000008E-005   1.00000000000000008E-005   1.00000000000000008E-005   1.00000000000000008E-005   1.00000000000000008E-005
   3.75000000000000000E+000   6.39851137561161520E-001   1.74612042625642762E+019   2.65412559999999985E+002   1.00000000000000000E+005   1.08328868996318658E-009   9.99999999999999929E-041   9.99999999999999929E-041   3.52254514434477545E-027   9.99999999999999929E-041   1.21102462395572687E-021   5.33598092009578064E-007   2.65188081381599779E-003   1.87834419853324743E-014   1.66675606390115828E-016   2.09999945670120924E-001   1.04963875503037445E-007   3.60012165241050492E-004   3.78983642571507530E-023   8.04823589826328788E-011   9.99999999999999929E-041   9.99999999999999929E-041   5.08499363794565375E-034   2.24661125237391526E-020   1.79502511088628996E-006   1.83533951119272773E-024   1.07000172927108503E-030   9.99999999999999929E-041   9.99999999999999929E-041   4.42855757871541710E-012   2.88220860452062142E-018   5.47088238721436677E-019   8.18063315699327361E-011   9.99999999999999929E-041   9.99999999999999929E-041   2.00431870550210883E-017   7.24741713836966599E-040   5.14341035109617077E-015   6.94494795647707591E-039   4.92100354429604075E-031   4.71655080480737194E-024   4.71847909478787186E-021   9.99999999999999929E-041   9.99999999999999929E-041   2.39335874482550625E-029   7.64106213714642129E-025   4.73280463752590724E-015   2.09217826568426401E-017   8.17510712786614125E-011   7.93059397228275503E-017   3.09785405627194417E-007   1.07459054164139541E-009   3.87262715793201664E-008   4.77591139099592557E-013   2.85645709510001061E-015   6.80886499604874135E-020   3.13363826131758699E-013   7.44380560765675914E-011   3.65708340693695111E-011   2.21140981065292780E-036   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   3.58788752244624790E-032   9.99999999999999929E-041   4.03487086215287050E-023   1.39453201050926556E-017   1.18843355280624656E-024   1.32549207803501693E-025   9.99999999999999929E-041   3.03730702316799022E-038   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   1.25554234387055716E-040   1.61520965181247486E-025   1.05564752156331731E-022   1.20778386159721604E-035   1.63050181433557389E-038   1.53498066711416480E-033   1.43280201109252284E-017   5.62314596567001335E-019   3.31750246168672061E-014   4.48974815394157734E-028   1.07547619831112044E-029   9.99999999999999929E-041   8.69155009266720219E-023   9.99999999999999929E-041   5.72755629462224501E-025   1.14391128995369976E-030   2.25896511053896217E-022   1.96797591398981506E-025   2.97887184101529596E-009   2.43460266444800981E-023   2.60531082816748254E-032   8.40118963781116301E-018   9.99999999999999929E-041   9.99999999999999929E-041   1.89095309138102697E-024   9.59375806806950004E-037   8.57229931218015781E-026   6.56480603938801294E-037   1.00000000000000008E-005   1.00000000000000008E-005   1.00000000000000008E-005   1.00000000000000008E-005   1.00000000000000008E-005
   4.25000000000000000E+000   5.99903368724770458E-001   1.65737571496918221E+019   2.62166409999999985E+002   1.00000000000000000E+005   1.09093649312509625E-009   9.99999999999999929E-041   9.99999999999999929E-041   3.54666456520602490E-027   9.99999999999999929E-041   1.25860794150388297E-021   5.34143478520409480E-007   2.05476447814255045E-003   1.86835051663317154E-014   1.94276433714478555E-016   2.09999936158347084E-001   1.04399511533468492E-007   3.60013762781684560E-004   4.58787947948385466E-023   9.17501284725739993E-011   9.99999999999999929E-041   9.99999999999999929E-041   4.52305362340986184E-034   2.07063598947782269E-020   1.79447169190546387E-006   2.01928223302627096E-024   1.00928606164035439E-030   9.99999999999999929E-041   9.99999999999999929E-041   4.44270934756679147E-012   2.71403791671070544E-018   6.46263428000022291E-019   8.55735261261414387E-011   9.99999999999999929E-041   9.99999999999999929E-041   2.00422439933124406E-017   5.35655208086248655E-040   5.17150050740935754E-015   6.83059173756517211E-039   4.15760378297870267E-031   3.27430507536376831E-024   4.68379239515409469E-021   9.99999999999999929E-041   9.99999999999999929E-041   2.32024365908180587E-029   7.36276284545069751E-025   7.44565544750381258E-015   2.31696245736994178E-017   8.54766331256228210E-011   8.90594792136248882E-017   3.09748055821574488E-007   1.07222802606174062E-009   4.14084050989205469E-008   5.88092971532541845E-013   3.07313617646654486E-015   5.79636902691228102E-020   3.99142774390782226E-013   8.01502028088999754E-011   3.78708496328948987E-011   2.21140973359327343E-036   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   2.40608995351220329E-032   9.99999999999999929E-041   4.08179373567252012E-023   1.36530477956770315E-017   1.36610842333447906E-024   1.23582839482322763E-025   9.99999999999999929E-041   2.90280327419284691E-038   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   1.16619392297688436E-040   1.55078399481086993E-025   9.03753920229617110E-023   1.03128108673378436E-035   1.88543194047096300E-038   1.21946154123201890E-033   1.77361066361299052E-017   7.37435695812342749E-019   3.86651695907640477E-014   3.99126950983139384E-028   1.05765442555164476E-029   9.99999999999999929E-041   1.14698774542057224E-022   9.99999999999999929E-041   6.32887137102373896E-025   1.09448631562250151E-030   2.25896497249617722E-022   1.93273058137912783E-025   2.46596676551198869E-009   2.58843638344713600E-023   1.86557122669650916E-032   8.47930056898118821E-018   9.99999999999999929E-041   9.99999999999999929E-041   1.46076497750267173E-024   9.05626774259834347E-037   8.56330456966372334E-026   6.59725111416328606E-037   1.00000000000000008E-005   1.00000000000000008E-005   1.00000000000000008E-005   1.00000000000000008E-005   1.00000000000000008E-005
   4.75000000000000000E+000   5.61997847554905117E-001   1.57211579107879711E+019   2.58920740000000023E+002   1.00000000000000000E+005   1.09899672699229699E-009   9.99999999999999929E-041   9.99999999999999929E-041   3.57205366082808269E-027   9.99999999999999929E-041   1.31329013563504993E-021   5.34671687365602119E-007   1.58181606236017496E-003   1.85393437996833549E-014   2.26554510874404420E-016   2.09999926165806344E-001   1.03831719920519355E-007   3.60015341536818725E-004   5.53285245469709636E-023   1.04158212511397028E-010   9.99999999999999929E-041   9.99999999999999929E-041   3.99409267741644724E-034   1.90064812229626349E-020   1.79393625212852655E-006   2.19562525412882401E-024   9.32389278535968427E-031   9.99999999999999929E-041   9.99999999999999929E-041   4.41768695942566753E-012   2.52780083529237385E-018   7.57936720720975869E-019   8.82667468137229961E-011   9.99999999999999929E-041   9.99999999999999929E-041   2.00409605190868239E-017   3.92241923172324429E-040   5.20128528359580059E-015   6.75497634839654884E-039   3.52195136284453430E-031   2.32065462897442323E-024   4.65082923586570362E-021   9.99999999999999929E-041   9.99999999999999929E-041   2.24621156112549661E-029   7.08557003270635914E-025   1.21114873587770640E-014   2.58776610424841761E-017   8.97697284379936226E-011   9.91579491566659121E-017   3.09708693715379631E-007   1.06138699742779572E-009   4.42723861754683592E-008   7.22102866598549132E-013   3.28052816319726392E-015   4.88359397214040709E-020   5.07908027146858599E-013   8.61253604135452646E-011   3.83869928179848309E-011   2.21140965167541817E-036   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   1.62037039885742988E-032   9.99999999999999929E-041   4.13533620574497131E-023   1.33544928918278733E-017   1.58418858398024065E-024   1.14357867899702261E-025   9.99999999999999929E-041   2.76810869046608979E-038   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   1.07907287393765984E-040   1.48818354597176819E-025   7.54496653547857050E-023   8.73462455571491758E-036   2.18023451901486436E-038   9.66510698265300533E-034   2.18266982519281063E-017   9.67837943277605359E-019   4.46799676170724123E-014   3.52959671708655179E-028   1.03997100624799987E-029   9.99999999999999929E-041   1.52058854885869766E-022   9.99999999999999929E-041   6.99995243675556658E-025   1.04451189087873211E-030   2.25896482539818406E-022   1.88180050644525988E-025   1.95472482413635224E-009   2.70822589957151821E-023   1.33173771149178460E-032   8.56177551564322170E-018   9.99999999999999929E-041   9.99999999999999929E-041   1.11818134429698483E-024   8.50784245803519523E-037   8.55434280982785647E-026   6.63144460030395532E-037   1.00000000000000008E-005   1.00000000000000008E-005   1.00000000000000008E-005   1.00000000000000008E-005   1.00000000000000008E-005
