alt                 temp                eddy                
0.00000e+00         9.43451e+01         1.94793e+03         
1.41414e+01         8.18579e+01         1.93620e+03         
2.82828e+01         7.51194e+01         1.92455e+03         
4.24242e+01         7.28196e+01         1.91296e+03         
5.65657e+01         7.67266e+01         1.90144e+03         
7.07071e+01         1.02705e+02         1.89000e+03         
8.48485e+01         1.26272e+02         1.87862e+03         
9.89899e+01         1.43049e+02         2.25868e+03         
1.13131e+02         1.50765e+02         6.52342e+03         
1.27273e+02         1.57218e+02         1.21195e+04         
1.41414e+02         1.61459e+02         2.25163e+04         
1.55556e+02         1.65700e+02         4.18319e+04         
1.69697e+02         1.69941e+02         7.77174e+04         
1.83838e+02         1.72202e+02         1.26609e+05         
1.97980e+02         1.74320e+02         2.03169e+05         
2.12121e+02         1.76437e+02         3.26024e+05         
2.26263e+02         1.77858e+02         5.23169e+05         
2.40404e+02         1.78801e+02         7.15370e+05         
2.54545e+02         1.79745e+02         9.43808e+05         
2.68687e+02         1.80689e+02         1.24519e+06         
2.82828e+02         1.81339e+02         1.64282e+06         
2.96970e+02         1.80720e+02         2.16741e+06         
3.11111e+02         1.80556e+02         2.55198e+06         
3.25253e+02         1.79958e+02         2.96183e+06         
3.39394e+02         1.79361e+02         3.43751e+06         
3.53535e+02         1.78764e+02         3.98958e+06         
3.67677e+02         1.78167e+02         4.63032e+06         
3.81818e+02         1.77570e+02         5.37396e+06         
3.95960e+02         1.76767e+02         6.19448e+06         
4.10101e+02         1.75870e+02         6.65286e+06         
4.24242e+02         1.74973e+02         7.14515e+06         
4.38384e+02         1.74076e+02         7.67387e+06         
4.52525e+02         1.72650e+02         8.24172e+06         
4.66667e+02         1.70656e+02         8.85158e+06         
4.80808e+02         1.68661e+02         9.50658e+06         
4.94949e+02         1.66563e+02         1.01576e+07         
5.09091e+02         1.64453e+02         1.07163e+07         
5.23232e+02         1.62331e+02         1.13058e+07         
5.37374e+02         1.60183e+02         1.19277e+07         
5.51515e+02         1.58070e+02         1.25838e+07         
5.65657e+02         1.56683e+02         1.32760e+07         
5.79798e+02         1.55295e+02         1.40063e+07         
5.93939e+02         1.53907e+02         1.47767e+07         
6.08081e+02         1.52633e+02         1.55895e+07         
6.22222e+02         1.51590e+02         1.64471e+07         
6.36364e+02         1.50546e+02         1.73518e+07         
6.50505e+02         1.49532e+02         1.83063e+07         
6.64646e+02         1.48796e+02         1.93132e+07         
6.78788e+02         1.48059e+02         2.03756e+07         
6.92929e+02         1.47323e+02         2.14964e+07         
7.07071e+02         1.46608e+02         2.26789e+07         
7.21212e+02         1.46264e+02         2.37026e+07         
7.35354e+02         1.45920e+02         2.47216e+07         
7.49495e+02         1.45577e+02         2.57843e+07         
7.63636e+02         1.45238e+02         2.68927e+07         
7.77778e+02         1.45217e+02         2.80488e+07         
7.91919e+02         1.45195e+02         2.92546e+07         
8.06061e+02         1.45174e+02         3.05122e+07         
8.20202e+02         1.45153e+02         3.18239e+07         
8.34343e+02         1.45211e+02         3.31919e+07         
8.48485e+02         1.45431e+02         3.46188e+07         
8.62626e+02         1.45652e+02         3.61070e+07         
8.76768e+02         1.45872e+02         3.76592e+07         
8.90909e+02         1.46092e+02         3.92781e+07         
9.05051e+02         1.46313e+02         4.09666e+07         
9.19192e+02         1.46538e+02         4.27277e+07         
9.33333e+02         1.46971e+02         4.45645e+07         
9.47475e+02         1.47405e+02         4.64802e+07         
9.61616e+02         1.47838e+02         4.84783e+07         
9.75758e+02         1.48271e+02         5.05623e+07         
9.89899e+02         1.48704e+02         5.27359e+07         
1.00404e+03         1.49417e+02         5.50030e+07         
1.01818e+03         1.50378e+02         5.73675e+07         
1.03232e+03         1.51340e+02         5.98336e+07         
1.04646e+03         1.52301e+02         6.24058e+07         
1.06061e+03         1.53263e+02         6.50885e+07         
1.07475e+03         1.54059e+02         6.78865e+07         
1.08889e+03         1.54778e+02         7.08049e+07         
1.10303e+03         1.55497e+02         7.38486e+07         
1.11717e+03         1.56215e+02         7.70233e+07         
1.13131e+03         1.56934e+02         8.03344e+07         
1.14545e+03         1.57652e+02         8.37878e+07         
1.15960e+03         1.58377e+02         8.73898e+07         
1.17374e+03         1.59206e+02         9.08957e+07         
1.18788e+03         1.60036e+02         9.33843e+07         
1.20202e+03         1.60865e+02         9.59411e+07         
1.21616e+03         1.61694e+02         9.85678e+07         
1.23030e+03         1.62524e+02         1.01266e+08         
1.24444e+03         1.63374e+02         1.04039e+08         
1.25859e+03         1.64500e+02         1.06887e+08         
1.27273e+03         1.65625e+02         1.09814e+08         
1.28687e+03         1.66750e+02         1.12820e+08         
1.30101e+03         1.67876e+02         1.15909e+08         
1.31515e+03         1.69001e+02         1.19083e+08         
1.32929e+03         1.70087e+02         1.22343e+08         
1.34343e+03         1.71056e+02         1.25693e+08         
1.35758e+03         1.72025e+02         1.29134e+08         
1.37172e+03         1.72912e+02         1.32669e+08         
1.38586e+03         1.73431e+02         1.36302e+08         
1.40000e+03         1.73909e+02         1.40034e+08         
