CO2 + hv => CO + O (wavelength = nm, qy = unitless)
wavelength          300K                
1.00000000e-01      0.00000000e+00      
4.00000000e-01      0.00000000e+00      
7.50000000e-01      0.00000000e+00      
1.25000000e+00      0.00000000e+00      
1.90000000e+00      0.00000000e+00      
2.69000000e+00      0.00000000e+00      
3.60000000e+00      0.00000000e+00      
5.15000000e+00      0.00000000e+00      
7.25000000e+00      0.00000000e+00      
9.30000000e+00      0.00000000e+00      
1.20500000e+01      0.00000000e+00      
1.51500000e+01      0.00000000e+00      
1.72500000e+01      0.00000000e+00      
1.85000000e+01      0.00000000e+00      
1.97500000e+01      0.00000000e+00      
2.12500000e+01      0.00000000e+00      
2.30000000e+01      0.00000000e+00      
2.50000000e+01      0.00000000e+00      
2.57000000e+01      0.00000000e+00      
2.70000000e+01      0.00000000e+00      
3.03800000e+01      0.00000000e+00      
4.35000000e+01      0.00000000e+00      
5.07400000e+01      0.00000000e+00      
5.07700000e+01      0.00000000e+00      
5.08200000e+01      0.00000000e+00      
5.22200000e+01      0.00000000e+00      
5.25800000e+01      0.00000000e+00      
5.37000000e+01      0.00000000e+00      
5.53300000e+01      0.00000000e+00      
5.54100000e+01      0.00000000e+00      
5.54500000e+01      0.00000000e+00      
5.55300000e+01      0.00000000e+00      
5.82700000e+01      0.00000000e+00      
5.85200000e+01      0.00000000e+00      
5.90000000e+01      0.00000000e+00      
6.05000000e+01      0.00000000e+00      
6.10000000e+01      0.00000000e+00      
6.15000000e+01      0.00000000e+00      
6.20000000e+01      0.00000000e+00      
6.25000000e+01      0.00000000e+00      
6.30000000e+01      0.00000000e+00      
6.36900000e+01      0.00000000e+00      
6.40000000e+01      0.00000000e+00      
6.50000000e+01      0.00000000e+00      
6.59500000e+01      0.00000000e+00      
6.65000000e+01      0.00000000e+00      
6.70000000e+01      0.00000000e+00      
6.75000000e+01      0.00000000e+00      
6.77000000e+01      0.00000000e+00      
6.80000000e+01      0.00000000e+00      
6.82000000e+01      0.00000000e+00      
6.83000000e+01      0.00000000e+00      
6.85000000e+01      0.00000000e+00      
6.86000000e+01      0.00000000e+00      
6.87000000e+01      0.00000000e+00      
6.88700000e+01      0.00000000e+00      
6.89300000e+01      0.00000000e+00      
6.89600000e+01      0.00000000e+00      
6.90000000e+01      0.00000000e+00      
6.90400000e+01      0.00000000e+00      
6.90900000e+01      0.00000000e+00      
6.91500000e+01      0.00000000e+00      
6.92100000e+01      0.00000000e+00      
6.92400000e+01      0.00000000e+00      
6.92900000e+01      0.00000000e+00      
6.93200000e+01      0.00000000e+00      
6.93600000e+01      0.00000000e+00      
6.94100000e+01      0.00000000e+00      
6.94400000e+01      0.00000000e+00      
6.94800000e+01      0.00000000e+00      
6.95700000e+01      0.00000000e+00      
6.96200000e+01      0.00000000e+00      
6.96600000e+01      0.00000000e+00      
6.97000000e+01      0.00000000e+00      
6.97300000e+01      0.00000000e+00      
6.97800000e+01      0.00000000e+00      
6.98500000e+01      0.00000000e+00      
6.99000000e+01      0.00000000e+00      
6.99500000e+01      0.00000000e+00      
7.00000000e+01      0.00000000e+00      
7.00500000e+01      0.00000000e+00      
7.01400000e+01      0.00000000e+00      
7.01900000e+01      0.00000000e+00      
7.02300000e+01      0.00000000e+00      
7.03000000e+01      0.00000000e+00      
7.03600000e+01      0.00000000e+00      
7.04100000e+01      0.00000000e+00      
7.04600000e+01      0.00000000e+00      
7.05000000e+01      0.00000000e+00      
7.05800000e+01      0.00000000e+00      
7.06300000e+01      0.00000000e+00      
7.07000000e+01      0.00000000e+00      
7.07600000e+01      0.00000000e+00      
7.08000000e+01      0.00000000e+00      
7.08500000e+01      0.00000000e+00      
7.09000000e+01      0.00000000e+00      
7.09300000e+01      0.00000000e+00      
7.09800000e+01      0.00000000e+00      
7.10600000e+01      0.00000000e+00      
7.11400000e+01      0.00000000e+00      
7.11700000e+01      0.00000000e+00      
7.12000000e+01      0.00000000e+00      
7.12400000e+01      0.00000000e+00      
7.12900000e+01      0.00000000e+00      
7.13300000e+01      0.00000000e+00      
